Unfunny,Somewhat funny,Funny,Caption
45,4,0,
45,8,1,Still no endorsement.
47,6,1,I still envy your pension and benefits package.
46,6,0,This castle was once owned by Goliath
40,1,0,"President Assad, I am informed to warn you: ""Damocles' Damascus,' the moral of the story remains."
48,10,0,It's a gift from your cousin Damocles.
42,7,1,That would be Damocles with a capital D
48,14,0,Are you sure you said 100 medium-sized daggers and not one dagger that was 100 times the medium size?
60,19,6,"It says: 'Dear King, Happy birthday. Love, The Trojans.'"
64,14,8,It's a tribute by the National Sword Guild in honor of Your Highness' impending Open Carry Proclamation.
47,7,1,"The Royal Stationer can locate no mightier quill, sire."
47,4,1,...and his reign introduced 'cutting edge' ideas and practices...
59,26,6,"Sire, the kingdom has gone without an accident for three hundred days."
46,4,0,dont be afraid im always open to new ideas
55,12,4,"It's from your cousin Damocles; the note reads only ""Enjoy."""
43,8,2,"And, finally, here is some news about Damocles."
50,12,1,"Giant pranksters spotted in the area, sire."
44,4,1,"Sire, the Killer Rabbit of Caerbannog awaits."
53,16,2,"Your majesty, your loyal subjects would like to borrow the giant knife so they can cut the giant cake."
69,26,18,It's a recall notice from the Acme Twine and Rope company.
48,3,2,It says here if you tell a lie the knife will fall.
46,5,0,"It's a royal execution, sir."
44,7,0,"A well regulated Militia, being necessary to the security of a free State, the right of the people to keep and bear Arms, shall not be infringed."
49,15,2,"A gift from the knife lobby, Sire."
46,6,1,"And 400 British pounds to fix the fraying rope dangling the large sword above your head, so long as feel that's necessary, Your Excellency."
72,31,16,The pen won't stand a chance sir.
44,6,1,"There are six listings under Dagger Removal, your highness. Do you have a preference?"
44,0,0,"Oh, it is only a legend, another name for ""caption""."
58,18,6,It's the bill from the sword sharpener. Wow!
51,16,2,"The good news is that the extra-strength thread was 60% off on Prime day. The bad news, it's on backorder."
59,8,8,"It's a collection notice from the Damocles Sign Company, and it says they're going to cut you off."
45,6,0,"Yes sire, I'll rush this summon to Damocles."
46,5,1,"To be known as the King - Mightier - Than - The - Sword , hide the Wizard's magnet and cut the rope."
52,15,3,Good news your majesty! Your subjects have voted 4311 to drop the sword and 4311 to wait.
50,7,2,"...and finally, announcing recall #530 for 'Floating Dagger' from Pimp Your Throne..."
46,4,1,The last person to sign out the scissors was one Donald Trump...
44,4,0,"Etcetera, etcetera, etcetera, etcetera, and that's it."
44,6,0,"According to this week's Gallop, the clear choice of the people is Off with His Head."
49,12,2,"It's from Damocles. He says, 'You win.'"
46,6,1,Your audition tape for Game of Thrones was rejected as too trite...
43,6,0,"""Speed up or I'll cut it short""."
41,4,1,Sword of Trump!
67,23,11,The serfs chipped in and said you'd know where to stick it.
62,36,9,The people say they're fine with you staying on the throne
47,4,1,Bad news; Brussels needs the sword back.
49,9,5,Breaking news...the queen is heading to her hier appointment
57,19,5,"Your Highness, the Swiss army approaches."
44,2,1,"Sire, someone named Crowdsourcing asks you grant them a royal seal of approval to raise funds for a maker of improved thread."
48,15,1,"And furthermore, be it known that His Majesty's sense of humor doth hang by a thread."
61,23,8,"I think, sir, you were supposed to fall on your sword."
