Unfunny,Somewhat funny,Funny,Caption
5,0,0,I know the class was hard for you, Mr. Shmedly, but I won't stand for your using that Killim.
5,0,0,Persian is down the hall.
5,0,0,I am so sick of manspreading.
5,1,0,I'm afraid that's too much of a stretch.
4,1,0,Don't Judge a Yogi By Their Mat
4,1,0,Everything about your downward dog was so wrong.
5,0,0,I appreciate your cultural heritage but size does matter.
4,0,1,Persian yoga is next door.
4,0,0,I don't care if it is Yoda's yoga mat, it's too musty to use here!
5,0,0,I keep telling you, size doesn't matter.
6,0,0,'Let me guess -- it's either this or detention."
3,2,0,I'm not judging, but your chakras are blocked.
4,0,0,It needs restretching.
5,0,0,So you were told a yak mat will enhance your peace of mind and release tension? H'om...
5,0,0,No, we don't need a fuller rug.
5,0,0,Actually, my karma says to take your Grateful Dead rug elsewhere.
3,2,0,Man-spreading is at 11:30.
5,0,0,Magic carpet ride? Nice try.
5,0,0,Namaste yourself, big boy. Get out of my studio.
2,4,0,No, it won't tie the room together Mr. L.
3,2,0,We're a wimps-only establishment.
4,1,0,NO-mistah.
5,0,0,Sorry, Hoedoen Yoga is in the Barn on Carrol Street.
2,1,1,We don't encourage manspreading here.
5,0,0,No, you're still going to do the vacuuming this week.
3,2,0,Is that organic natural fiber?
3,0,2,Lose the hat, shirt, shorts, socks, and that rug, and we'll teach you how to be more accepting.
4,1,0,Yes, matspreading is a thing.
4,1,0,Men or rugs, Wendell, you’re the reason I’m taking a break from Caucasians.
4,0,0,If you do downward dog on the carpet again, I will hit you on the nose with this rolled up newspaper.
5,0,0,I understand that you have the biggest one in the gym, but you are not going to put it in MY spot.
3,1,0,I presume you're from left field.
3,1,0,Where did you get your paleo, non-GMO, organic, latex-free mat?
4,1,0,I thought you meant you had a toupee.
4,0,0,Tell me – is this to compensate for something..?
4,1,0,Just fly in, Aladdin?
4,0,0,The baseball tryouts are in the field behind this building..... I believe they asked that you bring your own BAT.
5,0,0,Sorry, in this studio, size doesn't matter.
4,1,0,Hard-core, are ya?
4,1,0,Rough and Tumble Yoga meets on Tuesdays.
4,1,0,Now, remember, ditch the body, burn the rug, and disappear for a couple of days!
5,0,0,Just because it's from India, that doesn't make it a yoga mat.
3,2,0,This is Hatha. You want Berra.
4,0,0,Is this your first yoga class?
3,2,0,Body disposal is out back.
5,0,0,Eric, your claim of a flying carpet is a bit of a stretch and has no charka value with me
5,0,0,I don't believe that "killing two birds with one prayer rug" is how the old saying goes, sir.
4,1,0,Where do you want this prayer rug?
5,0,0,You may have special needs, I have a rug in my lobby.
5,0,0,I don't think you're THAT flexible.
4,1,0,When you learn to meditate, you'll be able to fly without that carpet.
5,0,0,Sorry, but you will not be enabled by yoga to make your carpet fly.
3,1,0,Our full contact body slam yoga class is on Tuesday nights.
5,0,0,Alladin's class is cancelled. He had to take off.
5,0,0,This is a " Yoga Meditation Exercise Gym Class", not a Muslim "Call To Prayer"-- No shouting out, " Allah-ou-Akbar ! Please !?!
6,0,0,The Big Lebowski body roll class begins Saturday.
4,1,0,Sorry, you can't wear sneakers in here.
4,1,0,You're right on time. Luxury Yoga starts in 10 minutes.
4,1,0,So when you unfurl it's emblazoned with a big Chicago Cubs logo?
4,0,0,My wife is lost in thought. Can you please tell her that she promised the kid's that she would take them to the park today?
4,0,0,Your website said to bring your own mat
5,0,0,"Too bad about the size of your penis".
4,0,0,Yoga keeps us grounded. Flying carpets is next week.
5,0,0,Sorry, IRANIAN yoga rug.
6,0,0,Breathe deeply before you respond.
4,0,0,Sir, this is yoga. Size does not matter.
4,1,0,Flying lessons are extra
4,1,0,"You can try, sir, but I question if you and your rug are a fit for our program.
5,0,1,First yoga class?
6,0,0,Not sure what happened to her but the body is in the back room.
5,0,0,This 'bigger is better' mantra you live by is getting old.
4,1,0,A fancy Persian rug will not get you to a higher level of conciousness in my yoga class.
3,2,0,That's not exactly what I meant by "orient your mat."
5,0,0,We took the family pack
6,0,0,Magic Carpet rides are two doors down on the left.
4,0,0,No, that is NOT 'just stretching things'.
4,1,0,"You can't wear shoes in here.
5,0,1,No, I don't want a magic carpet ride.
5,0,0,I specifically ordered 3-inch memory foam padding beneath. Where is it?
4,0,0,I guess we have different definitions of 'authentic'.
4,0,1,Listen Aladdin, this is a yoga class, not a flight school.
5,0,0,Sorry - for rug carry you need Cross Fit down the street.
4,1,0,You're welcome to use that rug, but I'll have to charge you for two people.
5,0,0,“winning isn’t about carrying a mountain and moving a step-but about carrying Pebble and taking a leap”.
4,1,0,I'm fine with your choice of yoga mat. But the table and chairs will have to stay outside.
5,0,0,You don't have the right standard equipment for this class.
5,0,0,It's not my fault your downward-facing dog isn't house trained.
3,0,0,A "first class" yoga section using Oriental rugs instead of mats is not an idea I'd be interested in considering.
3,1,1,You'll still need to take your shoes off.
5,0,0,Welcome to Bow Down Yoga, where we really, really try not to be judgmental.
3,2,0,Is this your first day?
5,0,0,I'm pretty sure inner peace doesn't come with free installation.
3,1,0,No, Donald. I do not believe that the size of your mat is proportional to the size of your penis.
4,1,0,Broga meets on the 2nd floor.
5,0,0,Is there a child in that carpet, trying to escape from your rape shed?
5,0,0,No...Astro...Turf.
4,1,0,Still living with your parents?
5,0,0,You've been here before.
4,0,0,No, we do not clean rugs.
5,0,0,I think you're looking for the advanced class.
5,0,0,You can take the rug, Mr. Howard, but you must leave Miss Randolph here.
4,1,0,Well, okay....if it's from India.
3,1,0,Please remove your hat and shoes, and place your mat under the coffee table.
5,0,0,Heck of a doobie Mr. Anderson.
5,0,0,No, I do not want to shag, thank you.
4,1,0,Bigger is not better
5,0,0,Home Depot does not have an exercise department.
4,1,0,No shoes in the yoga class
5,0,0,Everyone, the Wheat Grass is here.
5,0,0,You don't have the proper smile on your face to participate!
4,0,0,Magic Carpets is two doors down.
5,0,0,Ah, great Persian carpet; much roomier. Good price, too. Couple of questions though... . Has the Mecca GPS device been disabled? (Off-screen) "And ask him if you should get a CARPET BOMB Rider on your insurance while you're at it."
5,0,0,So it's finally here: Dharman-spreading.'
6,0,0,What is it about "Size doesn't matter" that you don't understand?
4,0,1,It was either this or the front door mat
5,0,0,If Tina Fey can have a California King, I can have a California King
3,0,0,Supersized spots pay a supersized fee.
2,2,0,Compensating?
4,0,0,I want to see these sun salutations of yours.
4,1,0,Might I suggest the outside facing dog?
4,0,0,You must be here for Aladdin.
4,0,0,Bow Down features happy baby downward dog today.
5,0,0,Military yoga is down the hall.
4,1,0,No, I'm sorry sir, but I can show you a position called "downward facing dork".
4,1,0,No thanks, I think I'll walk.
4,1,0,You need to give that thing a shave.
4,1,0,You're one of those subway manspreaders, aren't you?
3,2,0,I am here to do Mr. Trumps workout for him. Where shall I put his mat?
3,2,0,So Cleopatra would like to unroll in our class?
4,0,0,Is this Cleopatra's first yoga class?
5,0,0,No. There is no center square.
4,1,0,Flying carpet yoga is next door...
4,0,0,I'm sorry, the 'flying carpet' class was canceled due to lack of enlightenment
3,2,1,That mat needs to stay in our lobby, sir.
5,0,0,You're looking for the broga studio.
3,2,0,Please tell Aladdin that we have spare mats he can use.
5,0,0,If you can't confine your yoga mat to a 2'x5' space, you will have to pay a double registration fee...or promise never to return until you are in a state of enlightenment.
5,0,0,I don't care if your name is 'Big Matt,' your Chakra today is 'scram.'
2,2,0,I don't care if you did fly in on it; you can fly yourself out on it.
6,0,0,King of the Hill did a funnier version of this joke 12 years ago.
5,0,0,I'm sorry, the 'Elect Donald Trump Yoga Fundraiser' doesn't start for another hour.
4,1,0,Just how much personal space do you need?
5,0,0,You know what they say about guys with big yoga mats.
5,0,0,We actually don't give a damn about natural fibers.
4,0,0,We're not here for a slideshow.
5,0,0,Yoga for The Carpetbagger meets in the basement.
5,0,0,Post modern is no longer in.
3,2,0,OK Aladdin! But if it leaves the ground, you're out of here!
3,2,0,You know, yoga just might not be your thing.
4,0,1,You're sure it's the one you came in with, and not my missing office rug?
5,0,0,Did you really take rug weaving at Trump University?
5,0,0,No hats allowed until October.
4,0,0,Why not? I do some of my best moves on this carpet.
4,0,0,It's the finest, pure breed, free-roaming Himalayan Yak hair.
4,1,0,Yoga for idiots is tomorrow.
5,0,0,What do you mean by "hulk out?"
5,0,0,What I told you last night about size does not apply here
4,1,0,Let me guess--You bought your mat at Costco?
5,0,0,No mats eh?
5,0,0,But this class will simply not be rugged enough for you.
4,1,0,So, I take you're new to yoga?
4,1,0,OMG! I hope that is not the one from the living room
5,0,0,It's 3 doors down for the men's class.
2,3,0,This must be your first and last time.
4,1,0,Hatha Yoga is known, but few know carpet yoga.
3,0,0,I don't care if it Aladdin swore by it, you'll have to use a yoga mat like the rest of us.
4,0,0,Your name might be Matt, but it's still a rug.
5,0,0,Wow, I'll bet you are the mood for some rhythmic breathing.
5,0,0,Your rug or mine?
4,1,0,I know no one likes to be called on the carpet...
5,0,0,No, you can't "tail-gaze" while we do Downward Dog
3,2,0,I don't care if it really ties the room together!
6,0,0,You want the flying lessons; that's up on the roof level.
4,1,0,Take her, and put her in the garbage truck.
5,0,0,Honey how many times do I have too tell you? Stop stealing our neighbors carpet for your own personal use.
5,0,0,At Bow Down we do not allow the picking up of a partner.
4,0,1,And did you bring you 5 gallon water bottle?
4,0,0,Soft and fuzzy? I think you have been misinformed.
3,2,0,It's no picnic! Believe me!
5,0,0,I need the bigger mat because they say yoga makes you expand.
4,1,0,Surprisingly, I'm not at all surprised.
5,0,0,Bring him to Room. (The true story.)
3,1,1,It is a gorgeous rug, but I think you'd be happier at "ElephantYoga" down the street.
6,0,0,Bow Down Yoga is a no manspreading zone.
4,0,1,Let's start by unrolling your wife.
5,0,0,At this point, she realized that the relationship was not going to work.
4,1,0,I know it's a bit oversized, but the salesperson assured me it's 100% organic.
5,0,0,I studied in Iran.
4,1,0,I don't care if it is Oriental.
4,0,0,We get it. Your hands are big, the rug is big, just take of the Make America Great hat so we can get started.
5,0,0,I don't care if it's Cleopatra in there, she's still going to pay for the classes.
3,1,0,When I said, 'Feel the burn,' I wasn't talking about rug burn.
3,1,0,Sorry sir, but Mondays, Wednesdays and Fridays are reserved for allergen-free workouts.
3,2,0,I say no to rugs.
4,1,0,Oh, you downward dog, you.
4,0,1,Let me guess, downward facing dog ate your mat?
5,0,0,I'm sorry, but there's still no group discount.
5,0,0,Okay, if you got it smoke it.
4,1,0,Put that down here, I like to let others know how important I am while waiting for enlightenment.
4,0,1,I admire your ambition.
5,0,0,Oh, I forgot, Ben. You skipped second grade to play baseball, and second grade is when we learned the difference between a rug and a mat.
5,0,0,We lie on our mats not fly on them.
5,0,0,I don't care how wealthy you are, you can't use a your expensive Persian rug in this class.
4,0,0,How much bliss do you need?
4,1,0,I thought manspreading was bad enough on the subway!
3,2,0,I think you're looking for Yogi Berra Yoga down the block.
5,0,0,I guarantee you, a small rug is wonderful, there's no problem, I guarantee you.
5,0,0,'Ill be honest, your hat says Golf,your rug says Judo,your shoes say Tennis,are you prepared for another failure?
4,1,0,The introduction to pre-yoga class is tomorrow.
5,0,0,That's the mat you're using? Yoga-tta be kidding me!
4,1,0,No mat, no tights, no service.
5,0,0,I'm so pleased that your little sister is interested in yoga. Did you bring her with you?
6,0,0,Yo. Go.
3,0,1,Rug is optional, no hat and shoes, definitely no white socks.
5,0,0,Ah, you found Mr. Trump's toupee.
5,0,0,I doubt that you'll do any better with a magic carpet than with an ordinary yoga mat.
4,1,0,Do you know what a yoga mat is?
4,1,0,You have given me "cartoon caption writers block"
4,0,1,The 'Make Yoga Great Again!' class is downstairs.
5,0,0,We don't do downward facing elephant.
3,2,0,I honor the uniqueness in you. I honor your desire to learn the ancient art form. I do not honor your mat.
5,0,0,It your OM. It's not vibrating at the correct frequency.
5,0,0,Sorry Bart there is no ménage a trios in my yoga class.
4,1,0,It's all the same.
4,0,0,Listen, I've put up with you bringing your sod to class the last few weeks, but keeping your shoes on? I simply cannot allow that in my class
5,0,0,Most expensive mat is not a part of our program.
4,0,1,I’m afraid I have to call you on the carpet.
5,0,0,No thanks--we're completely satisfied with natural polyester.
5,0,0,This is Bow Down Yoga, Fly Down Yoga is next door.
5,0,0,You here for Persian yoga, or Oriental?
3,1,1,Can I borrow a scissors?
5,0,0,I wanted ruggedly handsome, not handsomely rugged.
4,2,0,Yes, I can see there is room for two on your mat.
4,1,0,The rug can stay,but that hat has to go
5,0,0,It's not Lululemon, but it'll do.
5,0,0,Vinyasa League spring training meets in our Mookie Wilson studio down the hall.
5,0,0,I figured that you weren’t gay, even before you asked me out.
4,1,0,It's not the rug that concerns me.
3,2,0,Normally I'd bend over backwards...
3,1,1,Don’t ‘Lotus flower’ me.
4,1,0,The competitive yoga class is upstairs.
3,1,1,Yes we do have beginner's classes.
4,1,0,I'm guessing this is your first time?
5,0,0,The Trump Yoga class is next door.
4,1,0,You're about to feel an inner piece.
4,0,0,Sorry sir, only sandwich-grade mats are allowed in this club.
4,1,0,You know you're paying for an extra slot, right?
5,0,0,Sir, if it's not an organic alpaca blend we can't have it here.
3,1,0,Bro-ga is tomorrow.
4,1,0,"Downward dog" isn't what you think it is.
5,0,0,Was the doorman asleep again because that looks a lot like the rug in the lobby?
4,0,0,How long have you had these anger issues?
1,1,3,Sorry, that mat won't fly here.
5,0,0,Cleopatra, is that you?
5,0,0,No, your hemp mat will not get the class high, but you are welcome to use it.
5,0,0,Isn't it the best place to sleep?
5,0,0,I don't care how big Trump's yoga mat is - I still say he has small hands.
4,0,0,No, I ordered five one-foot mats.
4,1,0,You may be disappointed to learn that lululemon has recalled all those see-through ladies yoga pants.
5,0,0,your Yoga mat IS your magic carpet, not the other way
4,0,0,No hats allowed.
4,2,0,It's okay, as long as you sit on it and don't light up.
4,1,0,No, this workout won't take you on a magic carpet ride.
4,0,0,Who are you, Casey at the Mat?
4,0,1,No, I don't know "Magic Carpet Ride".
5,0,1,Sorry, your mat's not gluten-free.
4,0,1,When I said that it was okay to bring a big, bushy carpet I was talking to the women in the class.
4,1,0,The non-conformist yoga instructor doesn’t stick to a regular schedule, but you’re welcome to join my class.
5,0,0,You do understand, "mat" isn't short for "mattress"?
4,0,0,The bariatric yoga salon is across the street
5,0,0,We have decided to go with the laminate.
5,0,0,It's okay. Umm. . . did anyone see you come in?
4,0,1,Are you new to yoga?
5,0,0,I see that you're still living with your mother.
