Unfunny,Somewhat funny,Funny,Caption
37,12,1,
38,5,1,Do YOU know what's going to happen in November?
38,14,3,I think I've lost my grip!
45,4,6,"The key to ""air climbing"" is getting your second wind !"
39,2,3,They said that I needed this for my social media campaign.
36,3,1,Just following the Dow Jones!
35,6,0,I guess this is what he meant by playing Virtual Climbs.
37,14,1,One last hold and I am out of this frame
38,7,2,That must be one of those Pokemon the kids are all trying to catch.
37,2,2,"Training. If he wins, we're the ones that are going to be climbing over the wall."
40,10,2,Why Amazon prefers drones.
48,19,9,"Don't worry, I'm not one of those fools who climb a mountain 'because it's there.'"
41,5,3,Tell Sipress to get back here on the double.
36,5,1,You drove me here.
32,1,0,The air is too thin up here!
34,4,0,"I didn't mean ""Climb the corporate ladder,"" literally"
58,38,26,Can you lend me a few bucks? I have no visible means of support.
43,7,6,"And you thought ""nothing but air"" was impressive in basketball."
40,11,1,"This mime isn't very good, I can't figure out if he's climbing a wall or if he's parachuting ."
43,6,6,"Because it's there, and it's my wife's idea...isn't that right honey?"
43,8,5,Let me know when I geet near the top.
34,2,1,"I have a great imagination. You see what you want to see, hear what you want to hear. Ever been to Paris?"
42,8,5,How do I know? It's just a cartoon.
36,3,0,That's a new vertical leap record for a man with a duck in a sack on his back!
39,6,2,"Hey, forget the Google VR headsets."
43,20,5,"Yes, but look at me through your smartphone."
37,4,2,"You miss the Mexicans, don't you?"
34,4,0,And my wife said these crampons were a bad investment
36,6,0,Cancel my second bulletproof coffee.
43,10,4,I don't want anyone talking about a 'slippery slope.'
36,10,1,"""Buy these shoes at ""WallMexico.com""."
36,3,1,It's my first attempt scaling Mt. Helium.
40,8,5,"It's like air guitar, but for rock climbers."
41,12,3,...it's NOT there?!?
41,6,7,Trump's wall will look exactly like this.
40,16,2,I thought you said 'less gravitas'!
38,7,2,what wall?
46,8,5,What's the hold up?
34,2,0,Trying to escape this place!
33,4,0,Quick someone bring me the human fly swatter!
37,5,0,Say -- what are you doing way down there??
32,1,0,I didn't realize you were so claustrophobic needed full gear to climb the walls.
34,1,0,It's gonna hurt when he looses his footing
37,6,2,"Don't just stand there, find me a rock face!"
38,12,1,I'm getting ready for the air guitar championships.
35,3,0,"""My sherpa said 'because it's there', isn't that right Nawang?"
39,8,2,The elevator doesn't stop at the thirteenth story. I want to see what they're hiding.
35,6,0,It's part of mime doctorate dissertation.
40,5,3,An electric fence for the Canadians feels excessive.
38,11,0,I'm taking 'free climbing' to a whole new level.
38,7,2,Sipress never finishes what he starts!
32,2,0,"I wanted to spend our vacation budget scaling Everest, but my wife wanted to go to a spa. We compromised. I get to scale the living room while she is at the spa."
36,4,1,"Look, I'm climbing an ""air wall""!"
38,8,2,I gotta' get outta here; I'm climbing the walls!
46,19,10,I'm climbing the economic ladder. It's only visible to the 1%.
47,24,9,"It's okay, there's a green screen."
35,2,1,A sign says - Toll Gate Ahead
43,15,4,Up is the easy part.
42,25,7,"It's called ""Mock Climbing""!"
42,5,3,"I will need to see your license, proof of insurance and registration"
36,6,0,Do you think people will be able to tell it's a computer generated cartoon effect?
37,9,1,Somebody take me out of this week's contest!
48,18,9,My chute didn't open. But so far so good.
39,15,2,The trick is mind over splatter.
37,6,1,"Well, I see you haven't lost your grip."
34,4,0,Despite politicians' attempts to prove otherwise we can confirm with certaintly that gravity does in fact exist.
37,10,2,My bucket list ain't no ordinary bucket list!
39,6,3,She told me the glass ceiling was here somewhere.
41,14,3,'I'm just trying to get back to last weeks cartoon'
36,5,0,Make up your mind: climbing the corporate ladder or shattering the glass ceiling?
36,6,1,"First there is a mountain, then there is no mountain, then there is, everybody now!"
35,6,0,"By any chance, is your name Harold?"
35,4,1,Glacial thaw's a myth!
50,12,6,Creative use of white space is so overrated.
40,14,4,This Pokémon Go thing is getting out of control.
41,11,3,Quick! Draw me some mountains!!
43,8,3,"I thought the caption was going to be a bad one, and I just wanted out."
39,6,3,I' okay as long as I don't look down!
40,11,3,I was hired to test if it's migrant-proof.
34,1,1,I'm wearing my new Air Hillarys.
45,13,6,I'm afraid this dream isn't going to end well.
35,7,0,They told me to dream dangerously.
42,12,2,"OK, maybe I only THOUGHT it was there."
43,10,7,"Keep your gravity, I'm out of here."
36,5,1,Invisible fences are surprisingly slippery!
49,35,9,It's as simple as mime over matter.
37,6,2,"If I can climb an imaginary a rock face, you can imagine me reaching the summit."
44,6,7,The cartoonist is on a break
37,6,1,"You don't have to climb a wall. You can use the door, you know."
43,11,5,"Because it's there, dummy."
36,5,1,Hitting THE wall is always a challenge to an athlete.
33,2,1,The cost of gasoline to drive to the grocery store has me climbing the walls.
34,1,0,"I know, but a flight to Canada would be faster."
35,5,0,where did Mt. Sanders go?
34,2,0,Call the personal injury attorney. His number's on the back of my parachute.
37,6,2,Wait! What?
43,21,4,Problem is knowing where the summit is.
42,13,4,this is a bad time to discuss the laws of gravity.
49,14,5,It's a blind summit.
35,2,0,"I Want To Talk To Him When He Come's Down, If It Isn't To Hard, Then I'll Call an Ambulance."
35,2,0,"No fair! You're supposed roll the boulder, not carry it you back."
39,8,0,It's not an actual glass ceiling.
43,29,5,And I'm burning 55 virtual calories
36,4,2,Tony Robbins says gravity is only a theory.
34,3,0,"Quick, tell Sipress to draw an inflatable stunt bag!"
40,5,3,"""I climb therefore I am""? Cohen, you're an accountant."
40,13,4,Nothing challenges me anymore.
34,7,0,"Air rock climbing, second stage of Tony Robbins' motivational seminars after walking over coals."
42,15,2,Walking on water was getting old!
35,2,1,Mr. Trump Get off that wall!
36,4,3,Heading for a PokeStop.
35,7,0,Not slippery at all.
44,17,7,These virtual reality lenses are amazing!
43,11,3,One of us is drunk.
53,20,15,Mexico paid for it.
38,7,2,"Don't just stand there, help me catch this Pokémon!"
43,18,5,Getting down is always the hard part.
36,11,1,Just use your imagination.
36,5,1,Just because you haven't reached the third dimension doesn't mean I can't.
40,12,3,It's all about visualization....and helium-filled pants.
46,19,6,I'm trying to overcome my fear of heights and open spaces at the same time.
45,15,5,I got my start playing air guitar.
35,8,1,"...then she said, ""if you believe there's a wall here, there's a wall here."""
52,14,12,The stock market does it. Why shouldn't I?
37,5,2,Forget Your Wall?
41,13,5,On paper I'm halfway there.
40,9,4,because it's not there yet
37,8,1,"Don't just stand there, throw me a mime!"
40,12,3,I'm climbing the fourth wall out of this joke.
38,8,2,I graduated from imaginary friends years ago.
45,13,6,Is this the wall Mexico paid for?
36,4,1,I need you as my backup while checking to see if this meets specs.
38,15,0,You've taken miming to a whole new level.
42,21,5,Your wife just called to remind you to take your meds.
37,5,1,"You do realize that ""what goes up must come down?"""
40,6,2,It's 'The Great Wall of Buddah!
36,7,0,Am I in outer space yet?
39,7,2,I love these new hiking boots!
38,3,3,What? Haven't you ever seen a placebo-wall climber before?
38,11,1,I'm the last member of the Skydiving Mimes club...
43,3,5,The Self-Rapturing Mime
41,7,5,That's not what I meant by a leap of faith...
40,10,4,If this is a virtual wall why am I really scared?
37,10,1,Has he started drawing the frozen waterfall yet?
37,3,2,"I'm almost there, so shut the fuck up!"
35,2,1,Get me out of this daydream-I want one about Margot Robbie.
39,11,3,Do me a favor and catch me.
40,11,3,Don't look at me like that. Go climb your own imaginary mountain.
38,7,1,It has to be somewhere in this area...could you please dial my number again?
40,9,3,It's an impressionist mountain.
42,17,4,I just knew I was forgetting something - gravity !
38,5,2,I've got to get out of this glass box.
38,5,2,free air climbing again?
44,22,7,Because it is virtually there.
37,9,1,"So,where's the molehill.?"
37,10,1,I'm good with heights. It's the low visibility that gets to me.
32,4,0,Where'd the mountain go? Where'd the mountain go?!
35,6,0,Climbing a post QE wall of worry
41,12,4,i'm getting air sick...
37,7,1,I'm done with the New Yorker. I'm New Yexiting.
67,24,35,Because it's not there.
38,7,1,"Then, my Dad experienced the kiss of the spider woman."
39,6,2,In the brochure it looked level with the ground.
47,16,8,I just climb socially.
31,1,0,I need a boost to get this egg to the roost!
45,12,6,I told you there was no there there.
51,31,12,"Don't just stand there, draw the damn ladder."
36,7,1,Who needs to build a wall?
38,15,1,I just read Sartre's Being and Nothingness.
34,2,0,What?!?....I'm getting away from that man-eating grizzly bear!
38,8,1,I learned this from Hertz ads in the '60s.
41,7,3,David approached the trickiest part of the climb.
34,1,0,Elon Musk?
42,16,4,I am the poor man's spider man.
40,19,3,Could you pass me my imaginary rope?
35,2,1,"When it is this clear out, finding the path can get to be a bit of a problem."
37,8,2,There's always something I forget to pack.
41,10,5,The App said Pokemon is up here!
40,21,3,"Shhh, I'm mountain miming..."
33,0,0,Any higher and I'll hit the ceiling. The perspective from other side is scarier than I thought.
35,4,0,I finally got on the Silver Screen!
30,3,0,"With ""mind over matter,"" he thinks he's climbing the Trump Tower."
