Unfunny,Somewhat funny,Funny,Caption
49,10,6,"Mr. McDonald, my name is E-I-E-I-Oh."
50,17,8,"Yes, I promise to come back and get you if he wins."
40,1,2,"You have your wall, we have our asteroid belt- we'll see who keeps out who. or You forget this stupid wall thing to keep out aliens and we'll consider dismantling our asteroid belt."
38,3,1,you look exactly like my cousin from Alpha Centari....!
38,1,0,You're not the guest that I was expecting to see!
39,5,0,I think this is taking role play too far
37,2,0,Thank you for your vote
37,0,0,That's why Mr. Paul is counting on people just like you.
44,14,2,You're gonna love what I did with corn field 4
37,0,0,"What makes this thing go? As long as it isn't electricity, I'll take some."
37,2,0,You're real! May I bring the wife and kids? They never believed me.
37,5,0,My wife's a hoarder
44,6,3,"Thanks again, those crop circles really do make it easier to land!"
38,2,0,"Marvin, I presume."
43,8,3,We need milk.
38,3,0,"Yes , the service is out of this world ..."
46,9,2,We saw the light on
51,19,7,We want to pick your brain for a minute.
50,3,8,"Howdy neighbor, I'm going to eat your kids."
44,6,3,"Sure stranger, you're welcome to spend the night. But, I have to tell you, I don't have any daughters."
39,4,0,I used to say Heaven can Wait but now I'm sorry I did.
41,7,1,"I would take you to my leader, but she's plowing the back forty."
44,6,3,Deal. 1 planet for a handful of magic beans.
40,4,2,Welcome! I'm glad you understand my crop circle message. Can I offer you a drink?
40,6,1,""" Can you take me to your planet,Trump is going to be our president""."
40,3,1,"Trust me, don't tell anyone we were here."
49,11,6,"Bob, we're taking farm-to-table to the next dimension!"
40,5,1,"hi, I am Ali, your uber driver today..."
44,9,2,Would you like to meet my spaced-out daughter?
42,3,2,Have I got a tractor beam for you.
48,7,7,"You may stay the night, Earthling, but make no tactile contact with my female offspring."
46,12,3,I look weird? You're not exactly Matt Damon yourself.
39,1,2,"~Hey, Brother....Does you Hi-Test contain Methylcyclopentadienyl manganese tricarbonyl?~"
38,7,0,"Greetings, now how do you get such big tomatoes?"
48,11,5,"Yeah, I just started as a Lyft driver a few weeks ago."
37,4,0,You'll be back in a mere 500 years.
50,21,5,"Welcome aboard. We know you could have flown with anybody, but thank you for choosing us."
40,8,0,Where would you like the crop circle this time?
42,7,1,"The trip was fantastic, but I couldn't use my mileage."
39,4,0,Welcome survivor.
43,5,2,OK. We'll be back in November.
50,26,5,"What happens on Venus, stays on Venus."
41,5,1,Have you given any thought as to who you might support in the 2096 Iowa Caucuses?
38,1,0,Finally! Someone who understands GMOs.
42,13,1,Please wipe your feet
45,5,3,We're trying to save as many as we can from that Donald Trump.
41,6,1,We've been admiring your crop circles.
41,9,0,It was literally out-of-this-world Airbnb experience.
42,5,3,Just know that saying 'Take me to your leader' can cause a fight around these parts.
47,13,3,"This 6 month spa getaway will involve relaxing physical probing, rejuvenating mind melds, and complimentary cucumber masks."
43,3,2,"Hold on... Before we go, let me grab my cow."
43,7,2,Welcome to Planetary Uber. Where are you headed today? Speak up man. And stop looking at me like that.
40,1,1,I'd like to apply for your organic farm worker exchange for lodging.
40,4,1,We have come to your planet to serve man. Have you ever considered purchasing a retirement annuity?
38,4,0,Amish-ed you sooooo much.
38,4,0,"Welcome, but unfortunately, today we aren't accepting ""Take me to your leader"" requests."
40,4,2,I won't eat you—I'm a Vegan.
