Unfunny,Somewhat funny,Funny,Caption
27,10,2,You know, In case of cats and dogs.
0,0,0,
20,2,0,On a clear day it fits on the picnic table for shade.
26,4,2,So now you know what half a star on Priceline looks like.
17,0,0,apparently it's hydrophilic
39,8,8,I allowed for shrinkage.
18,1,0,Honey , I wish you had a bigger briefcase.
25,7,1,It's a crowd pleaser, but I worry about the wind.
34,12,4,It's great. Caught a breeze yesterday from Columbus Circle to Murray Hill.
23,7,0,You should see my house
20,1,0,Is it because of El Nino? No.
26,7,1,All it takes is anything above a zephyr and I've got my Mary Poppins moment.
27,7,2,At least when it rains I feel like one of the one percent.
46,21,8,But it came with free WiFi.
33,10,5,If the country club wanted it to stay over the patio table, they wouldn't have put a handle on it.
27,8,1,Now are you glad I shop at Costco?
30,7,3,It's the smallest IUmbrella guaranteed to keep the IPhone 7 Plus dry.
19,2,0,This is my reign.
39,10,6,Sure, I get tired some times -- but at least the rent is manageable.
34,10,5,They're only sold during the El Niño years.
26,9,1,It's an Armageddon umbrella. You can also use it as a boat and it is bullet proof.
27,7,1,I compensate in other ways too.
20,3,1,I knew it was going to rain this bad today. Trump wins and even God cries a bit.
19,2,0,Can’t Goose anybody with this model.
26,7,1,I contain multitudes.
19,3,0,Because I've always believed bigger is better.
21,2,1,It's called a "Dumbrella".....
18,1,0,Galoshes became too impractical.
30,4,4,Be honest, Margot, think the umbrella guy tried to upsell me?
21,3,0,The rain in Spain stays mainly in the plain. Here, we just have a large umbrella.
24,3,1,GO AWAY... Ombrophobic and Claustrophobic.
21,2,1,But honey, I got it at Costco.
24,7,2,It's my apres moi, le deluge look.
37,15,5,After I come up with another $49,900 I can get the hot dog cart to go with it.
28,10,1,We also offer term and whole life.
26,4,2,10 people signed up for the event I created on Facebook...
21,0,1,I told you it was a boat.
20,4,0,These Progressive-Era umbrellas really do a good job of defeating the "trickle down" entities
30,7,3,For only $75 more, I doubled my umbrella coverage.
49,12,12,They're calling for scattered cats with a fifty percent chance of dog.
36,12,6,They call it 'The Trumpbrella'.
15,1,0,You need to avoid devouring narcissists.
19,0,0,"Wanna hear joke?" asked Henry "Sure." responded Linda "The wage gap." replied Henry with a smirk That was the last we every heard from Henry
26,5,3,They call it 'The Donald' model.
24,5,1,I got it at a Trump store. Keep America dry.
24,3,1,Does our umbrella policy cover us on sunny days too?
21,2,1,Groupon's deal-of-the-day.
20,3,0,The bigger the umbrella coverage, the lower the rates.
35,7,5,It's time to downsize.
26,8,1,Screw that 'let a smile be your umbrella' crap.
21,6,1,I DONT CARE WHAT SIR WALTER RALEIGH DID, WALK AROUND IT.
34,6,6,It has a large margin of error.
29,8,3,It's a Trumpbrella and it's awesome.
26,8,1,Let's go; the others are a no show.
50,19,12,Well, Mom always warned us smoking would stunt our growth.
24,3,2,I just don't hear the laughter in the rain anymore since you bought this stupid thing.
33,12,3,Well, it isn't the golden parachute I was hoping for.
28,8,2,Maybe we should downsize, now that the sextuplets are grown.
20,3,0,Here. This big enough for the both of us.
26,6,2,before they get banned by the mayor
28,3,3,"You can stand under my umbrella...Ella...Ella...Ella...Ella...Ella...Ella...Ella...Ella...Ella...Ella...Ella...Ella...Ella...Ella...Ella...Ella...
39,20,5,They predicted wide spread rain.
24,1,2,The wifi password is 'bobsbigumbrella'.
18,1,0,Rain drops just keep falling on us.
23,5,0,You've given a whole new meaning to "manspreading."
26,4,2,I got it for two bucks at King Kong's estate sale.
18,1,0,I got it from Big Head Todd
40,22,5,I just got tired of losing them
20,3,0,My insurance agent told me I need to carry a larger umbrella.
24,2,2,Oh, it's shoe size it correlates with ?
29,9,2,My insurance agent recommended more coverage.
30,11,1,I'm sure your hair will be just fine.
15,0,0,If this inverts I'm out twelve this and dollars.
30,8,3,It's from the gift shop at Trump Towers.
37,18,4,If the wind catches it I'll just meet you in New Jersey.
20,4,0,Today is my first day selling climate change insurance. I'm still getting used to the scope of it.
22,3,1,For guys with big hands.
18,0,0,We can go back and get it. I'll do it for you.
20,3,0,Must be prepare for Trump's promise of the increase in The Pennys from heaven.
23,5,1,Why didn't you bring the big umbrella?
34,7,5,Perfect for the cloud.
22,5,1,My insurance company recommended an increase in my coverage.
23,3,1,Nice umbrella, but so one percent.
27,6,2,You said our umbrella coverage policy should be bigger.
29,10,2,As we have promised: you would get full coverage.
23,3,1,A puddle... I should've prepared Nancy, I'm sorry... let's turn back now before we get wet.
18,1,0,I think I'm coming down with rabies.
18,1,1,I work for Travelers Insurance, may I interest you in a policy?
28,3,3,I once worked in a lab. I spilled Growth Hormone all over my briefcase.
21,5,1,I keep it on the patio table at home.
22,4,1,Fo' drizzle.
21,4,0,I received it as an early payout on my life insurance policy.
25,8,1,You can't be too careful when wearing an Apple Watch.
18,1,0,New swag from my insurance company.
22,3,0,Where should we take our invisible family to?
33,9,4,So you're a minimalist?
40,22,5,Wall Street bonuses sure aren't what they used to be.
20,3,0,You must go. Here comes Trump's ego.
16,2,0,This umbrella is like Big Government. Too much for so little.
21,3,0,Should this be returned to Jeb! campaign headquarters?
24,1,2,I purchased it for my ex-wife. She was quite large.
35,20,3,It was crowd sourced.
24,6,0,I found it on uberbrella.com.
27,6,2,Picked it up at Neiman Marcus; Dallas.
32,12,3,Actually I am a weather forecaster.
25,5,2,And when you press this button it turns into a waterbed!
25,4,3,Opening this indoors creates more problems than just bad luck.
20,5,0,Are you looking for umbrella insurance?
24,5,1,I feel so much better after losing all that weight.
17,1,0,I think I've taken enabling to a new level.
