,Unfunny,Somewhat funny,Funny,Caption,Score,Precision
1731,80,56,39,"Well, your profile pic doesn't look much like you either.",1.7657142857142858,0.05993819633405312
456,74,38,38,"You voted ‘Leave,’ didn’t you?",1.76,0.06800447412574094
2340,82,33,39,"Well, I never believed in you either.",1.7207792207792207,0.0680133609598613
550,73,26,34,We have observed you in the barn. So many questions.,1.7067669172932332,0.07377923854935436
2678,81,19,36,"Greetings, and let go of my penis.",1.6691176470588236,0.074575886588349
3773,74,31,29,Probe you? I hardly know you.,1.664179104477612,0.07022418678873209
1943,76,30,30,Your cows speak highly of you.,1.661764705882353,0.07018539736900173
3696,71,32,27,"You look surprised, John. Have I really changed that much since high school?",1.6615384615384616,0.07039698839733113
3127,63,29,23,Thank God we found you. What the hell is quinoa?,1.6521739130434783,0.07415270518240542
2485,76,25,30,"Welcome aboard! First stop, Uranus.",1.6488549618320612,0.07263488606159674
3948,73,25,28,"Think of us as ""Proctologists Without Borders"".",1.6428571428571428,0.07343221533790947
1760,63,44,18,We said we would return when Cleveland won a championship.,1.64,0.06465790872963897
730,69,35,23,Keep me from your leader.,1.6377952755905512,0.06861539847737756
2018,71,19,28,"If you enjoyed your anal probe as much as we did, please ""Like"" us on Facebook.",1.6355932203389831,0.07769052950152211
4275,69,30,24,I had a great time tonight. Can I call you?,1.6341463414634145,0.07141707684331744
3959,66,31,22,I'm sure we can settle this without involving the insurance companies.,1.6302521008403361,0.07147254358370729
1460,67,26,23,"Wow, small universe! My name is also John.",1.6206896551724137,0.07413182918301663
3531,70,27,24,You've been served.,1.6198347107438016,0.07259096919136375
3612,69,19,25,"Just remember, what happens on Vega stays on Vega.",1.6106194690265487,0.07793319077779282
2500,65,30,20,"We've met your leaders and, well, you should come with us.",1.608695652173913,0.07169693417281371
1845,66,35,18,"We've seen your leaders, and we have absolutely no interest in being taken to them.",1.596638655462185,0.06784715990669968
1491,65,29,19,"Yes, it is nice to meet you Earthling, but please let go of my reproductive organ.",1.592920353982301,0.07181629550808487
3333,65,29,19,"Thank you for a great weekend, but I'm just not good at long distance relationships.",1.592920353982301,0.07181629550808487
4103,63,29,18,Are you the one who grows the weed?,1.5909090909090908,0.07225136197330992
2982,61,33,15,Hate to probe and run...,1.5779816513761469,0.06933201253060937
1848,52,40,9,"You're right, it's more like a tureen than a saucer.",1.5742574257425743,0.06501566399755249
4555,58,31,14,"We came in peace, but now we just want to leave.",1.5728155339805825,0.07116279032965835
1385,66,21,20,"Sorry about all the circles, my wife was driving.",1.5700934579439252,0.07641240408877602
2549,68,17,22,We learned everything about you from Facebook; the probing was just for me.,1.5700934579439252,0.07868625664712174
2083,67,15,22,We don’t probe any more. You fill out a short questionnaire when you leave.,1.5673076923076923,0.08056515168694917
2694,63,26,17,What happens on Vega stays on Vega.,1.5660377358490567,0.07344539496893901
1255,59,27,15,We're planning on building a wall around your planet and we want you to pay for it.,1.5643564356435644,0.0736809305154022
173,61,26,16,I hear you hire illegal aliens.,1.5631067961165048,0.0738770271235363
1371,61,19,18,Can you direct us to a planet with intelligent life?,1.5612244897959184,0.07953463232076563
1009,55,32,11,"Excuse me, do you have jumper cables?",1.5510204081632653,0.06974820057311763
433,67,11,22,"So you must be the interstellar legend, the Farmer in the Dell.",1.55,0.08333333333333333
2633,62,21,17,We come to take your jobs.,1.55,0.07703468981143129
1422,62,24,16,'Is that what you're wearing? ',1.5490196078431373,0.07454964245738935
81,63,15,19,Welcome. I am a genetically modified potato from the future.,1.5463917525773196,0.08162416300058307
2968,62,23,16,"Sorry about the crop circles, I needed to jot something down.",1.5445544554455446,0.07515627609642908
1363,53,31,10,"Sorry you had to climb the stairs, our abduction beam is broken.",1.5425531914893618,0.07040246691523941
1482,56,31,11,"Not to worry. What happens on Venus, stays on Venus.",1.5408163265306123,0.06981742193934723
2649,56,31,11,"You look just like all our movies, too!",1.5408163265306123,0.06981742193934723
767,59,25,14,What do I have to do to get you into this spaceship today?,1.5408163265306123,0.07420008566997251
4064,55,33,10,Remember that what happens on Venus stays on Venus.,1.5408163265306123,0.06829406248373308
1895,60,23,15,"Getting so many volunteers is nice, but truthfully I miss the abductions.",1.5408163265306123,0.07560453788732568
2511,64,18,18,Welcome aboard. It's good to eat you.,1.54,0.07839294959021854
2271,61,24,15,I have travelled the galaxy in search of another species that wears one-piece clothing.,1.54,0.0744271048704297
3159,62,22,16,"Well, no. The truth is we won't probe you anywhere unless your primary care physician has made a referral to us for that sort of thing.",1.54,0.07577211981602562
278,63,23,16,Your crop circle design won. Please come with us.,1.5392156862745099,0.07460706441653131
212,63,16,18,Take me to your lesser of two evils,1.5360824742268042,0.08035287251608195
3601,59,27,13,We just come down here once in a while to feel good about ourselves.,1.5353535353535352,0.07223660035084459
1179,54,30,10,Lets keep in touch on Spacebook.,1.5319148936170213,0.07046293901282416
2249,59,20,15,"Hello, do you have a moment to talk about Jesus Christ?",1.5319148936170213,0.07815963645866598
2357,60,21,15,"In our civilization, we reproduce through handshakes.",1.53125,0.07688155192447528
1333,59,22,14,E. I. E. I. O. Signal received.,1.5263157894736843,0.07607697119404792
610,58,24,13,"Don't worry Sir, I will have her home by 11 p.m.",1.5263157894736843,0.07459049121923327
2791,55,26,11,"Honey, dinner's here.",1.5217391304347827,0.07327937246229366
1316,59,24,13,"Nah, we're a weather balloon.",1.5208333333333333,0.07401275178576044
3299,63,16,17,EIEIO,1.5208333333333333,0.07971875820255059
2235,57,15,15,Can I use your bathroom? It's been a long trip.,1.5172413793103448,0.08314531416731243
3381,56,23,12,Welcome. We've heard amazing jokes about your daughter.,1.5164835164835164,0.07553252113571869
1693,55,28,10,Congratulations! You're our one millionth abductee!,1.5161290322580645,0.07107815797318978
354,59,20,14,We heard you had universal health care.,1.5161290322580645,0.07737648805449929
190,60,18,15,"No, anal probe is just a common alien surname",1.5161290322580645,0.07887252369706867
4348,58,25,12,"Where I'm from, everybody is genetically modified.",1.5157894736842106,0.07310603429034505
1442,64,13,18,Since you did have polyps removed I will have to see you again in 5 years.,1.5157894736842106,0.0817818882397686
2211,62,20,15,We've come to bring the Kardashians home.,1.5154639175257731,0.07631071474640018
2472,60,14,16,It's nothing you've done -- We're just going in a different direction with our abductions.,1.511111111111111,0.08247792341770609
1892,53,28,9,"You should have no more problems with your satellite service now, sir.",1.511111111111111,0.07109706478002936
3603,54,26,10,We're not from around here.,1.511111111111111,0.07283186466425955
1846,55,24,11,Your cows said very nice things about you.,1.511111111111111,0.07452629335080571
1700,58,21,13,Take me from my leaders.,1.5108695652173914,0.07649538865683334
1938,58,21,13,Pull my finger.,1.5108695652173914,0.07649538865683334
2276,59,22,13,Would you like to watch a 30-minute video about a time-share opportunity?,1.5106382978723405,0.07524030115035443
4220,59,12,16,I speak your language... E I E I O!,1.5057471264367817,0.08475567227308224
994,57,19,13,"We live fifty seven light years away, so we just started receiving Bonanza.",1.5056179775280898,0.07848735203472189
3835,61,11,17,"'Oh no, it's an earthling!' Just kidding, we've probed you and erased your memory like 50 times. Come on in.",1.5056179775280898,0.08474499919803569
4397,59,15,15,We come in peace - and for the cronuts.,1.5056179775280898,0.08167612661756626
2458,54,25,10,Are you the farmer who has the daughter' we've heard so much about?,1.5056179775280898,0.07344505827271725
2856,55,23,11,Sorry about the crop circles. We were just messing with you.,1.5056179775280898,0.07516341663067219
3756,57,22,12,"Hi, we're the new owners.",1.5054945054945055,0.07555028304569633
1176,59,18,14,We're here to help. We understand there's something the matter with Kansas.,1.5054945054945055,0.07871623566130001
4131,60,16,15,We've come for all the extra gluten.,1.5054945054945055,0.08025238937804632
397,60,19,14,There's a two drink minimum.,1.5053763440860215,0.07739272826625426
3461,61,20,14,Your race isn't as orange as your television signals had us believe.,1.5052631578947369,0.07612343987670361
3702,56,30,9,I suppose my dating profile was a bit misleading.,1.5052631578947369,0.06837365918242709
2221,58,19,13,"Take me to your leader - just kidding, we're abducting you.",1.5,0.0778134393008702
1985,55,22,11,Sorry we do have a dress code.,1.5,0.07580980435789034
3376,55,22,11,Is there a gender neutral bathroom around here?,1.5,0.07580980435789034
2553,62,11,17,Then it's agreed--we'll take you away from here no matter who wins in November.,1.5,0.08398620658405477
1386,66,17,16,Welcome aboard--Just a reminder that Economy class is self-probing.,1.494949494949495,0.07647907647907648
4095,61,24,12,"Don't worry, we're not Mexican or Muslim.",1.4948453608247423,0.07198061878231413
3209,58,21,12,I bet your almanac didn't predict this.,1.4945054945054945,0.07555028304569633
2800,57,20,12,"And you've only had clear liquids for the past 24 hours, correct?",1.4943820224719102,0.07684335894863775
3485,61,12,16,"Don’t worry, you won’t remember a thing.",1.4943820224719102,0.08322470951683696
1546,53,28,8,It was so nice of your wife to volunteer you.,1.4943820224719102,0.06988169542059264
3724,55,21,11,"Congratulations, just attend one timeshare presentation, and we’ll have you home by yesterday!",1.4942528735632183,0.07646556709168151
4435,58,12,15,E-I-E-I-O' I presume?,1.4941176470588236,0.08471988679750293
1331,51,26,8,I don't probe on the first abduction.,1.4941176470588236,0.07222655263306024
4010,62,12,16,"Whoa, wait, you guys are the masters of this planet? We had our money on Jack Russell terriers!",1.488888888888889,0.08247792341770609
2629,55,23,10,We're looking forward to meeting your daughter...,1.4886363636363635,0.07405679670635239
4104,57,16,13,Klaatu barada nikto . . . just messing with you.,1.4883720930232558,0.08059998344582292
4331,58,14,14,"Congratulations, you've won the Caption Contest.",1.4883720930232558,0.08227973713305385
2222,57,16,13,Does Earth still have any leaders worth taking me to?,1.4883720930232558,0.08059998344582292
1323,55,17,12,You look like the type of gentleman who knows a good deal on a time share when he sees one. Am I right?,1.4880952380952381,0.08032858441548751
4065,54,19,11,We come seeking peas.,1.4880952380952381,0.07852273391541612
2897,53,26,8,"What I meant was, we would like to have you stay for dinner.",1.4827586206896552,0.07100694207926107
2824,60,12,15,I come in peace. And also for your job.,1.4827586206896552,0.08314531416731243
296,56,20,11,"And, I promise to make the universe great again.",1.4827586206896552,0.07644547365628225
753,57,18,12,Actually we can't claim any credit for the pyramids but we shared some ideas with that guy who developed the lava lamp,1.4827586206896552,0.07817428380800989
4503,53,23,9,"Hello there, is this your first ride with Uber?",1.4823529411764707,0.07411809167978328
4186,55,16,12,Our intelligence says you're supposed to introduce me to your daughter and offer me a place to sleep tonight.,1.4819277108433735,0.08106230807906749
952,53,20,10,"Before annihilating your planet, may I use your facilities?",1.4819277108433735,0.0773523178099076
654,48,24,7,Are you organic?,1.481012658227848,0.0739763190388416
2427,60,14,14,"Normally, I say, 'Take me to your leader,' but we've been following your election process, so don't bother.",1.4772727272727273,0.08077678120756704
3109,52,24,8,I should have called first.,1.4761904761904763,0.07280186819496158
2999,59,10,15,Just stopped by to let you know that we will be using crop SQUARES from now on...,1.4761904761904763,0.08548768414918383
1603,56,13,13,"Alien? No, no, no. I'm Mexican. I just used this to get over your wall.",1.475609756097561,0.08362750202823561
1405,50,22,8,Do they still think you're Amish?,1.475,0.07542076066469036
3185,54,28,7,Come on in. I have candy.,1.4719101123595506,0.06796676402000262
398,60,13,14,Another choosing anal probes over President Trump!,1.471264367816092,0.08148429324342787
2470,51,28,6,We heard you hire alien workers.,1.4705882352941178,0.06816571358209496
2858,57,16,12,Your GMO corn called us: we need to replace your field management chip.,1.4705882352941178,0.07954392985680157
1611,53,24,8,I got your friend request.,1.4705882352941178,0.07215808061327615
1899,61,8,16,"Thank God you’re still here.....you haven’t noticed any keys rattling around in your anus, have you?",1.4705882352941178,0.08629997077830025
4098,56,15,12,We have come to take your jobs.,1.4698795180722892,0.08101862049406781
1252,52,20,9,You're over analyzing it. Sometimes a crop circle is just a crop circle.,1.4691358024691359,0.07675200514750397
3101,55,14,12,Mr. Hoffa will see you now.,1.4691358024691359,0.0825638917450504
2726,54,13,12,"Congrats, you're our one millionth abductee!",1.4683544303797469,0.08418508503306028
1401,50,21,8,"Oh, no thank you. Just tell your leaders that we say, ""Hi.""",1.4683544303797469,0.07608448437579868
4248,53,15,11,Mr. MacDonald? My name is EIEIO. I hear you've been trying to reach me for some time.,1.4683544303797469,0.08223477729768885
3542,53,23,8,Does your planet have species neutral bathrooms?,1.4642857142857142,0.07274320903774967
1162,58,13,13,"Sir I know you are very confused right now but please, can I use your bathroom?",1.4642857142857142,0.082011481661619
2566,59,11,14,"You're welcome aboard, so long as you stay away from my daughters.",1.4642857142857142,0.0837421331050203
2192,57,15,12,"Hi! You're Craigslist ad said, ""M, F or surprise me.",1.4642857142857142,0.08024351308167661
3492,55,19,10,"So... can I, uh, call you?",1.4642857142857142,0.07658523308314387
732,53,20,9,"I'm Glen, your Uber driver.",1.4634146341463414,0.07602580021195411
790,54,18,10,"While you've been growing broccoli, we've been growing you.",1.4634146341463414,0.0779810003790686
4357,53,20,9,"Hello, Mr. Anderson, do not be alarmed. Your H.M.O. has outsourced to us your annual 'After-50' colonoscopy.",1.4634146341463414,0.07602580021195411
3168,53,20,9,Come help make Mars great again.,1.4634146341463414,0.07602580021195411
3179,52,22,8,"I'm sorry , my wife insists you take off your shoes.",1.4634146341463414,0.0740189717276296
4002,56,14,12,Our new menu is farmer-to-table.,1.4634146341463414,0.08175123647153579
