,rank,caption,score,precision,count,unfunny,somewhat_funny,funny
0,1,Should we tell her she's wearing two different shoes?,1.841571609632446,0.028618118244020233,789.0,327.0,260.0,202.0
1,2,She is Henry's only surviving wife.,1.7296137339055797,0.03683015151104168,466.0,227.0,138.0,101.0
2,3,Should we tell her it's on backwards?,1.6962962962962962,0.03952755807943421,405.0,208.0,112.0,85.0
3,4,So that's where all of the coffee filters went.,1.6773333333333331,0.041017133356174094,375.0,198.0,100.0,77.0
4,5,"Well, it does make her waist look smaller.",1.6702702702702703,0.038822198068438965,370.0,184.0,124.0,62.0
5,6,It deployed when her carriage rear-ended an ox cart.,1.6619718309859155,0.04043180432104124,355.0,183.0,109.0,63.0
6,7,"Nah, count the rings. She's definitely pushing 30.",1.6468842729970326,0.043165349415888725,337.0,186.0,84.0,67.0
7,8,It DOES make her butt look smaller.,1.6258064516129032,0.043898347541465016,310.0,172.0,82.0,56.0
8,9,"Well, look who went out with Lord Hickey last night",1.6197718631178708,0.04539215094704314,263.0,140.0,83.0,40.0
9,10,I know her but we were never close.,1.6168831168831168,0.04250005384819374,308.0,167.0,92.0,49.0
10,11,That reminds me...we're out of coffee filters.,1.6041666666666667,0.04411711330550935,288.0,160.0,82.0,46.0
11,12,I hate fashion week.,1.6013986013986017,0.04706571424075361,286.0,170.0,60.0,56.0
12,13,It does make her waist look smaller.,1.597864768683274,0.04241662758451263,281.0,150.0,94.0,37.0
13,14,You should see the chastity belt.,1.5949820788530469,0.04698607865644112,279.0,165.0,62.0,52.0
14,15,I attempted an ear nibble and her collar bag deployed.,1.5935251798561152,0.045734382121893055,278.0,160.0,71.0,47.0
15,16,They have been selling off the charts since Ann Boleyn lost her head.,1.5897435897435896,0.043737786803197516,273.0,150.0,85.0,38.0
16,17,"Actually, I think that's YOUR wife.",1.5851851851851853,0.045978393590259986,270.0,156.0,70.0,44.0
17,18,New money.,1.58364312267658,0.047017232757369895,269.0,159.0,63.0,47.0
18,19,And that is why it's so important to know the difference between the radius and the diameter.,1.5795454545454546,0.045275962705601525,264.0,150.0,75.0,39.0
19,20,She hath a hickie.,1.5779467680608366,0.046990540781314656,263.0,155.0,64.0,44.0
20,21,If I read the rings right she's 26.,1.5730769230769233,0.046180444766018916,260.0,151.0,69.0,40.0
21,22,That's Mary Queen of Scots Tissue...,1.5669291338582678,0.04772405664692754,254.0,152.0,60.0,42.0
22,23,"Why that's Mary, Queen of Scott Tissues.",1.5669291338582678,0.04772405664692754,254.0,152.0,60.0,42.0
23,24,"Oh, that's just Mary, Queen of Scott tissue.",1.5634920634920637,0.048369370602927536,252.0,153.0,56.0,43.0
24,25,We're going to need a bigger guillotine.,1.562248995983936,0.04715049455976422,249.0,147.0,64.0,38.0
25,26,She's the only surviving wife of Henry the VIII.,1.562248995983936,0.0485048409659746,249.0,151.0,56.0,42.0
26,27,You can tell how old she is by counting the rings.,1.562248995983936,0.04816982439410024,249.0,150.0,58.0,41.0
27,28,""" Yon witch doth prophesy 'whiplash' "".",1.562248995983936,0.04680578513660808,249.0,146.0,66.0,37.0
28,29,It looked smaller on line.,1.556910569105691,0.046210872090826534,246.0,143.0,69.0,34.0
29,30,"Well, he did behead two of his wives.",1.5551020408163263,0.04848078786889108,245.0,149.0,56.0,40.0
30,31,Never sit behind her at the Globe.,1.5551020408163263,0.04708038626622103,245.0,145.0,64.0,36.0
31,32,"Forsooth, she has not a tooth.",1.5551020408163263,0.05371855245663077,245.0,165.0,24.0,56.0
32,33,Get a load of those ridiculous shoes.,1.5518672199170125,0.04769979813986253,241.0,144.0,61.0,36.0
33,34,You should see what they are doing with codpieces this fall.,1.5510204081632653,0.0478042884926976,245.0,148.0,59.0,38.0
34,35,You should see her chastity belt.,1.5481171548117154,0.04946829783928377,239.0,148.0,51.0,40.0
35,36,That's Lady Goodyear.,1.546218487394958,0.04707363725079786,238.0,141.0,64.0,33.0
36,37,Go ahead and ask her out. She won't bite.,1.5443037974683544,0.048355789527891435,237.0,144.0,57.0,36.0
37,38,It's a verbosity belt.,1.5423728813559323,0.045054014780730185,236.0,135.0,74.0,27.0
38,39,"If that's not a white collar crime, I don't know what is.",1.5347826086956522,0.04991386907083599,230.0,144.0,49.0,37.0
39,40,how long before she realizes her shoes don't match?,1.5330396475770924,0.0488657760852898,227.0,139.0,55.0,33.0
40,41,That is SO sixteen seventies.,1.5330396475770924,0.0500481625748174,227.0,142.0,49.0,36.0
