Unfunny,Somewhat funny,Funny,Caption
9,1,0,Now that I've retired I miss being walked on. Thanks.
9,1,0,Oh God... They're everywhere!
10,1,0,I just needed a nap; I was sure no one would notice.
9,0,0,I think I prefer a more verticle perspective.
9,1,0,My travel allowance doesn't cover lodging.
9,1,0,Hey pal, can I interest you in a reverse mortgage?
9,1,0,Y'know, things DO look different from this end of the skyscraper!
9,1,0,At least no one says 'How are you?' here.
9,0,0,In retrospect, I think I prefer mandatory minimums over innovative sentencing.
10,2,0,Not my best airbnb stay, but also not my worst.
9,0,0,Our research team is studying this "new normal" thing.
9,0,0,I do my best thinking when I’m alone.
10,3,0,I'll tell you one thing. I'll never use airbnb again.
9,1,0,Never a dull moment
9,0,0,I just realized my insurance covers sidewalk accidents.
8,0,0,A flash mob people pleaser expression.
11,0,1,So, when does the meditation part of this class start ?
9,0,0,I'm starting to think Shiatsu massage isn't for me.
8,0,0,It's a walk stoppage.
10,3,0,Stop that man--he stole my pillow!
9,0,0,Next time, I should tweet this.
9,0,0,Bill immediately noticed the benefits of yoga.
9,0,0,Soon, the American people will see that I'm the only logical GOP candidate.
12,6,1,You would not believe what I pay for this place.
9,0,0,101, 102...
10,0,0,I'm leaving today. I want to depart from it. Those vagabond shoes trod on me every day. I cannot sleep because the hill was too steep. These big city blues are melting away. So bye bye to ole New York, New York!
9,0,0,Carpet Diem
9,0,0,Don"t mind me, the park was full
9,1,0,So... do you think Speed Bump Man would be an exciting superhero?
9,1,0,My inferiority complex, Doc? I feel like I'm always being stepped over.
9,0,0,Ah, 90 degrees in the shade New York style.
8,0,0,Living in the moment
9,0,0,When did they gentrify this park
9,0,0,Horsepersons, Pass By
9,0,0,What's hoppin?
9,0,0,I’m proving Heisenberg’s uncertainty principle.
9,0,0,Trump's in town again
9,0,0,Watch the pocket! I still have some Twinkies!
9,0,0,Let's see what my Fitbit has to say about this!
9,0,0,Now I see what you see in Donald Trump.
9,1,0,Step on a crack and break your mother's, I mean, my back.
9,0,0,Oh well, if you can't be part of the solution, be part of the problem!"
9,0,0,It was to be a polar bear but PETA intervened.
9,0,0,Meditation helps me relax.
11,2,1,Step 1: Imagine myself on a Caribbean beach...
9,0,0,Ah, a little higher.... Oh, man, that feels great!"
9,0,0,I thought he was going back to Jersey to take a deep breath?
9,1,0,I thought the saying was "over my dead body."
9,1,0,Welcome to my staycation.
9,0,0,They said the streets are paved with Gord, so I'm just doing my part.
11,1,1,This is how it must feel to be Jeb Bush at a Trump rally !
11,5,0,Don't tread on me, I'm from New Hampshire.
9,0,0,Hurry up! Woof, woof! Come on! Step on it!
10,2,0,I do it to myself, I do. And that's what really hurts
9,0,0,"Why do people walk all over me"?
9,0,0,My name is Matt with a double 'T'!
9,0,0,She keeps saying I let people walk all over me...where's she getting that?
9,1,0,Slow down and smell the sidewalk.
9,1,0,Say, you wouldn't happen to have a pillow, would you?
9,0,0,Maybe I took a wrong turn getting to Central Park
7,0,0,I'm a lobbyist.
9,0,0,Caution, walk across.
9,1,0,Pro: dropped pizza. Con: boot to the groin.
11,0,1,Step on a crack, break your broker's back.
9,0,0,They're all pursuing happiness.
10,2,0,Guess I didn't have to be embarrassed about falling down.
9,1,0,Step on a crack, break my MOTHER'S back...oh what the hell, go for it anyway.
9,0,0,My name is Gulliver - got strings?
9,1,0,Now I know how Jeb Bush feels.
9,0,0,(music notes) "...On a Sunday morning sidewalk, I'm wishing, Lord, that I was stoned..." (music notes)
9,1,0,My cubicle is a bit cramped, and I needed to stretch my legs.
10,2,0,Step on a crack, break my back.
9,1,0,My therapist said I need to change the way I look at the world…and it is working.
8,0,0,Yes,doctor I do feel freer and more in control.
9,0,0,Hey mister, you have gum stuck to the bottom of your shoe!
8,0,0,So I thought, 'Why bother going up 42 stories just to come right back down again'.
9,0,0,I'm for The Donald. Don't Tread on Me.
11,0,1,The weird part is that I made it 43 years WITHOUT stepping on a crack .
9,1,0,I'm a Wall Street Executive Masochist.
11,1,1,Unbelievable! Waiting to be cuffed here at my bank since 2008.
9,0,0,This is not what I meant by being, "Being run over by Life".
9,0,0,Laissez-Faire Capitalism
9,1,0,Owwwmmmmmmmmmmmm.
9,0,0,That cloud looks like a shoe...That cloud looks like a boot...
9,0,0,Yes, sir, I can see your drone delivery now....
9,0,0,And that cloud looks like a man!
9,0,0,That cloud looks like a bear.
9,0,0,You know you can't keep a good man down.
10,2,0,Hi! I'm what they call "pedestrian friendly!"
9,0,0,It's a new Yoga technique!
9,1,0,I am tired of being an outlier.
9,0,0,Aaaah, urban America.
9,0,0,People, people who need people, Are the luckiest people in the world.
10,0,0,I guess I just feel like the world is passing me by.
11,1,1,I'm a speed chump.
10,1,0,Haven't you ever seen a pedestrian crossing?
9,0,0,Making this deal is gonna be a cakewalk.
9,0,0,Sometimes you just gotta go with it.
10,2,0,Clouds sure look different when you're an adult.
9,1,0,And I am the only candidate who knows the pain of being downtrodden!
10,3,0,The white noise helps me sleep.
