Unfunny,Somewhat funny,Funny,Caption
3,1,0,They say that the vibe in the upstairs section is more exciting
5,1,0,I'm on the block meal plan, how about you?
3,0,0,Just be honest, Pete. Whaddya think of my new hair plugs?
3,0,0,"Well, whaddya know. Prayers do get answered".
3,0,0,I feel a splitting headache coming on.
4,1,0,Should I... Nah he'll be fine.
3,0,0,So, then I asked God to give me a sign . . .
3,0,0,Yes, if you need to leave, please go NOW!!!
3,0,0,As I was saying, we were a block from Iraq when suddenly...
3,0,0,Can I trust you to keep a secret?
3,2,0,Only three days until my retirement portfolio matures.
3,0,0,Honest, Jim, the idea is so obvious, it's like being hit on the head by a falling box....
3,1,0,And your obsession with Henny Penny gives me a headache.
3,1,0,Calm down, I still have a couple of seconds.
3,1,0,You got yours for here, I got mine to go.
3,1,0,I want to be more open-minded.
3,0,0,I used to not believe hard luck stories, and then it hit me.
3,0,0,Why don't you change seats, Mr. Bossy Pants.
3,0,0,I can feel my luck running out.
3,0,0,My broker's view of the stock market sounds like Chicken Little. He thinks the sky is falling!
3,0,0,I never believed in Henny Penny's theory............
3,0,0,And then she says I am like Chicken Little, always afraid the sky is falling...
4,0,0,Sorry, but it's 'lights-out' for you Republicans.
3,0,0,...when suddenly, this revolutionary idea hit me like...
4,2,1,No, the restraining order didn't specifically prohibit contact by drone...
3,0,0,It's a no-brainer.
4,2,1,I can't drink coffee. It's bad for my health.
3,0,0,Thank God, he hasn't signed it yet.
3,0,0,So I said to myself, "Why don't I just spend the rest of the day getting stoned?"
3,0,0,There, that's a big weight off my shoulders.
3,1,0,I've got to stop waiting for the other shoe to drop.
8,0,0,Ah, Arnie, LEAN BACK QUICKLY!
3,0,0,Do you ever get tired of living in a two-dimensional world?
4,0,0,There is a fly in my coke!
3,0,0,Why are you surprised I fired that coyote from the ACME group.
3,0,0,Is there something I've overlooked?
3,0,0,Well, according to this, nothing could possibly go wrong.
4,2,0,Sorry, what did you just say about the duck.
3,1,0,So, if we can just steer clear of the unforeseen...
3,1,0,I thought Acme went out of business when kids all got their own iPads.
3,0,0,Why is that brick falling?
3,0,0,Goes prophecy move up or down?
3,0,0,im just going to drink this coffee and relax ,lifes to short to be worried about everything
3,0,0,Apparently,... things are looking up.
3,0,0,Karma is kind of a brick.
3,0,0,You ever feel like something big is about to happen?
3,0,0,It's as though a great weight has been lifted from me. Or maybe the other way around.
3,0,0,This job is literally killing me.
3,0,0,So that's the end of my story. How's things with you?
3,0,0,This is starting to be a real headache.
3,0,0,Those pancakes feel like a brick in my stomach.
5,3,3,Materials to build a wall of that size don't just fall out of the sky, ya know?
4,0,0,Did you ever have an uncontrollable feeling of impending doom?
5,0,2,So you've never been sick, never worn a seat belt and you don't believe in fate?
3,0,0,You really think that things are starting to look up?
3,0,0,Putting this deal together may be harder than we thought.
4,0,1,Yes, Obama Care. Why?
3,1,0,"Heads" what?
4,0,0,There can't be anything worse than writer's block
3,0,0,At least I won't have to listen to him complain about the flu anymore.
3,0,0,Bob wondered if his iPhone 6-plus might have an overly robust block feature.
3,0,0,I guess a 25% tip won't kill me.
4,0,1,That's when it hit me.
3,1,0,Did you ever have one of those days when you wished that it would all end?
3,1,0,What are you mumbling about?
4,1,1,I can't see what else could go wrong.
3,0,0,One more time: 'The Breaking of Pelvis 1 2 3', Take 13. Ready? Action!
5,1,0,This was no "Cinder"ella ending
4,0,0,We have a shortage of cement.
3,0,0,I ordered a karma latte.
3,2,0,Ever feel like something bad is about to happen?
3,0,0,oh.....so THAT'S why my wife told me to sit there..
3,1,0,Don't move.
3,0,0,Brace for impact!
4,0,1,So I told her, 'Here's a tip, honey. Get a real job.'
3,1,0,Don't get excited. The Daily News Wasn't Bought
3,0,0,I need hard evidence before I act.
3,0,0,So what are your plans for the rest of the afternoon?
3,0,0,I was informed by The New Yorker that I'd be blocked if I submitted an additional "Cartoon Caption Contest" entries.
6,2,0,You won't believe what happened today.
4,0,0,I only know something's true when I get something concrete.
3,0,0,Do you have any appointments this afternoon ?
