caption,unfunny,somewhat_funny,funny,count,contest
"I know a specialist, but he's in prison.",61.0,28.0,25.0,114.0,540
When was your last dial movement?,50.0,23.0,18.0,91.0,540
I will need to see the family jewels at some point.,56.0,17.0,21.0,94.0,540
"Well, frankly, I think it's a combination of things...",63.0,23.0,22.0,108.0,540
I'll leave the room while you get unlocked.,59.0,33.0,17.0,109.0,540
You're lucky someone was on the sidewalk to break your fall.,57.0,26.0,17.0,100.0,540
Are you having night deposits? Suspicious withdrawals?,68.0,27.0,21.0,116.0,540
"Well, the family jewels are fine.",58.0,25.0,17.0,100.0,540
Maybe escape artist wasn't the best career choice for you.,52.0,25.0,13.0,90.0,540
Are you allergic to any explosives?,52.0,30.0,11.0,93.0,540
Well...it could be a combination of things.,58.0,21.0,16.0,95.0,540
"In my medical opinion, it's a combination of things.",53.0,30.0,11.0,94.0,540
And now I'm afraid I'm going to have to check the family jewels.,64.0,29.0,15.0,108.0,540
I'm going to refer you to a locksmith.,68.0,30.0,16.0,114.0,540
I'm referring you to a locksmith for a second opinion.,57.0,34.0,10.0,101.0,540
Let's talk about safe sex.,61.0,13.0,18.0,92.0,540
"The last time I saw you, you were just a piggy bank.",55.0,27.0,11.0,93.0,540
And how long have you felt you'd rather be sorry?,63.0,14.0,18.0,95.0,540
We need to get your numbers down.,62.0,25.0,14.0,101.0,540
I'd say it's a combination of things,61.0,27.0,13.0,101.0,540
When was your last fiscal?,54.0,22.0,12.0,88.0,540
...and have you been having safe sex?,60.0,22.0,14.0,96.0,540
Have you been engaging in any unsafe behaviors?,66.0,22.0,16.0,104.0,540
Okay. Time to examine the family jewels.,65.0,24.0,15.0,104.0,540
You sound like a million bucks.,59.0,23.0,13.0,95.0,540
"Well, I think we can rule out an iron deficiency.",53.0,22.0,11.0,86.0,540
Your problem may be a combination of things.,57.0,26.0,11.0,94.0,540
Is that to my right or your right?,60.0,20.0,14.0,94.0,540
"Next time, warn your Mommy before you practice your magic act.",64.0,21.0,15.0,100.0,540
I'm also going to need a jewel sample.,60.0,16.0,15.0,91.0,540
Well it's probably a combination of things,63.0,28.0,12.0,103.0,540
"If you don't open up, I can't help you.",67.0,20.0,16.0,103.0,540
"When I told you to practice safe sex, I didn't mean it literally",73.0,29.0,15.0,117.0,540
The specialist you need is doing 5 to 10.,75.0,27.0,16.0,118.0,540
I'd say you are suffering from a combination of things.,60.0,24.0,12.0,96.0,540
"Well, I'd say you have a combination of problems.",75.0,33.0,14.0,122.0,540
I'm a bit concerned about the 1250 pounds for your 3' height.,68.0,20.0,16.0,104.0,540
