caption,unfunny,somewhat_funny,funny,count,contest,target_id
Like it would have killed you to ask him for directions.,144,78,52,274,647,5749
"Don’t bring a camera, you said.  Just enjoy the experience, you said.",177,69,65,311,647,6069
"Oh, shit! What if your sister-in-law is also right about God?",165,76,57,298,647,5536
He just walked by like he thinks we don't exist.,143,69,48,260,647,17
"Unplug"" you said. ""Leave the phones in the car"" you said",170,75,56,301,647,4070
He asked that we please wait while he gets his camera or his friends will never believe him.,149,64,49,262,647,326
He said it’s not him but he gets asked that all the time.,153,80,45,278,647,1062
He walked past me like I  didn’t exist.,153,72,47,272,647,3395
He asked for us to wait here while he gets his camera.,165,75,51,291,647,3100
"Oh, so first he doesn't exist and now he's flirting with me?",161,75,49,285,647,3275
"Once and for all, Bob, stop following us. It’s over.",165,79,49,293,647,163
He wants us to wait here while he gets his camera. He doesn't think think anyone will believe him.,156,78,45,279,647,5243
He doesn’t believe in us either.,152,66,45,263,647,4523
He says we're only allowed to take blurry photos.,174,71,52,297,647,1456
He said he didn't believe in us either.,145,63,42,250,647,2053
He acted like we don't even exist.,161,75,45,281,647,3010
He said he doesn’t believe in us either.,162,71,46,279,647,406
"Oh, he says he doesn't believe in you either.",151,85,36,272,647,895
I believe you owe me a dollar.,159,77,41,277,647,3085
"""Leave the phone in the car,""  you said!
""There'll be no time for photos,"" you said!",158,64,44,266,647,321
"Before you meet my family, there's something I need to tell you.",179,82,47,308,647,1731
"Would it kill you to, just once, ask someone for directions?",177,77,47,301,647,5186
He said  he always believed we existed.,157,77,39,273,647,4593
"Yeah, he saw us, but they'll never believe him",172,76,45,293,647,1344
He said he's not surprised; he's questioned his own existence his whole life.,156,59,43,258,647,262
He said that he doesn't believe in us either.,170,70,45,285,647,5527
I think we should start seeing other species.,163,90,36,289,647,2230
We went on one date! How was I supposed to know we would run into him here?,149,58,40,247,647,1331
He's a lot less blurry in person.,153,79,35,267,647,539
Still think we should have left our phones in the car Mr. Be In The Moment?,167,64,45,276,647,1970
He’s leaving. Apparently he’s late for a summit meeting.,170,87,39,296,647,4824
He says he never really believed in us either.,166,71,42,279,647,5124
He can't believe we're real. He's going to get a camera.,162,72,40,274,647,2639
He was going to come down until I told him who the president is.,167,40,51,258,647,5802
He ignored us like we didn't even exist.,169,64,43,276,647,5095
"'We'll leave our smartphones in the car,' you said. 'Let's really be in the moment this time,' you said.",168,65,42,275,647,2887
"He said if anyone asks, we haven’t seen him.",149,71,33,253,647,3178
"Nice try, but I'm not falling for ""made you look"" again!",185,67,47,299,647,768
Just man up and ask him for directions,172,70,41,283,647,2011
"He asked us to wait here while he got his camera.  He said if he doesn't take our picture, his friends won't believe we exist.",181,77,42,300,647,4854
"Sure, Rich, and Santa Claus is right behind you. Now can we please get back to talking about what happened last night?",173,86,36,295,647,4821
He's really let himself go since the impeachment. In fact I wasn't sure it was really him till he grabbed my ass,185,55,50,290,647,2873
"He says the real abomination is your cargo pants.""",176,85,37,298,647,3904
First person we see in days and you STILL won't ask for directions!,162,71,36,269,647,2627
He said there’s no such thing as human beings and no one will believe he saw us.,158,66,36,260,647,2696
"The difference is, he, unlike you, is evolving.",160,65,37,262,647,1940
"He said, due to the government shutdown, the rest rooms are closed.",181,54,48,283,647,5424
He's going to try 'outdoorsy' instead of 'abominable' in his dating profile,166,83,33,282,647,6033
"No! I will not ""look behind me"", and stop trying to change the subject.",177,60,44,281,647,4262
He's a legend around here.,165,74,35,274,647,104
"It's 2019. We don't use the word ""abominable"" anymore.",153,73,31,257,647,2506
I’m not falling for that “he’s right behind you” trick.,170,70,38,278,647,5497
He’s less blurry in person.,158,69,34,261,647,1
"As soon as he's out of the way, can you take my picture ?",175,59,43,277,647,1011
"Sorry, but I was cold, he's covered in fur. It just happened.",172,77,36,285,647,2175
I obviously made my decision! Please stop following us!,177,60,43,280,647,567
