caption,funny,somewhat_funny,unfunny,count,score,precision,rank
Now that I've retired I miss being walked on. Thanks.,0.0,1.0,10.0,11.0,1.0909090909090908,0.09534625892455922,1468
Oh God... They're everywhere!,0.0,1.0,9.0,10.0,1.1,0.10540925533894598,1174
I just needed a nap; I was sure no one would notice.,0.0,0.0,11.0,11.0,1.0,0.09534625892455922,2157
I think I prefer a more verticle perspective.,0.0,0.0,11.0,11.0,1.0,0.09534625892455922,2157
My travel allowance doesn't cover lodging.,0.0,4.0,7.0,11.0,1.3636363636363635,0.1521200048243774,131
"Hey pal, can I interest you in a reverse mortgage?",0.0,0.0,10.0,10.0,1.0,0.10540925533894598,2157
"Y'know, things DO look different from this end of the skyscraper!",0.0,0.0,11.0,11.0,1.0,0.09534625892455922,2157
At least no one says 'How are you?' here.,0.0,1.0,9.0,10.0,1.1,0.10540925533894598,1174
"In retrospect, I think I prefer mandatory minimums over innovative sentencing.",1.0,1.0,9.0,11.0,1.2727272727272727,0.1949782780866111,322
"Not my best airbnb stay, but also not my worst.",0.0,1.0,10.0,11.0,1.0909090909090908,0.09534625892455922,1468
"Our research team is studying this ""new normal"" thing.",0.0,0.0,10.0,10.0,1.0,0.10540925533894598,2157
I do my best thinking when I’m alone.,0.0,0.0,10.0,10.0,1.0,0.10540925533894598,2157
I'll tell you one thing. I'll never use airbnb again.,0.0,3.0,8.0,11.0,1.2727272727272727,0.14083575804390613,322
Never a dull moment,0.0,0.0,11.0,11.0,1.0,0.09534625892455922,2157
I just realized my insurance covers sidewalk accidents.,0.0,0.0,11.0,11.0,1.0,0.09534625892455922,2157
A flash mob people pleaser expression.,0.0,0.0,10.0,10.0,1.0,0.10540925533894598,2157
"So, when does the meditation part of this class start ?",0.0,2.0,8.0,10.0,1.2,0.13333333333333333,551
I'm starting to think Shiatsu massage isn't for me.,0.0,0.0,11.0,11.0,1.0,0.09534625892455922,2157
It's a walk stoppage.,0.0,0.0,11.0,11.0,1.0,0.09534625892455922,2157
Stop that man--he stole my pillow!,0.0,2.0,8.0,10.0,1.2,0.13333333333333333,551
"Next time, I should tweet this.",0.0,0.0,11.0,11.0,1.0,0.09534625892455922,2157
Bill immediately noticed the benefits of yoga.,0.0,0.0,10.0,10.0,1.0,0.10540925533894598,2157
"Soon, the American people will see that I'm the only logical GOP candidate.",0.0,1.0,8.0,9.0,1.1111111111111112,0.11785113019775792,1126
You would not believe what I pay for this place.,0.0,1.0,9.0,10.0,1.1,0.10540925533894598,1174
"101, 102...",1.0,1.0,9.0,11.0,1.2727272727272727,0.1949782780866111,322
"I'm leaving today. I want to depart from it. Those vagabond shoes trod on me every day. I cannot sleep because the hill was too steep. These big city blues are melting away. So bye bye to ole New York, New York!",0.0,0.0,11.0,11.0,1.0,0.09534625892455922,2157
Carpet Diem,1.0,3.0,6.0,10.0,1.5,0.22360679774997896,48
"Don""t mind me, the park was full",0.0,1.0,9.0,10.0,1.1,0.10540925533894598,1174
So... do you think Speed Bump Man would be an exciting superhero?,1.0,0.0,9.0,10.0,1.2,0.2,551
"My inferiority complex, Doc? I feel like I'm always being stepped over.",0.0,2.0,8.0,10.0,1.2,0.13333333333333333,551
"Ah, 90 degrees in the shade New York style.",0.0,0.0,10.0,10.0,1.0,0.10540925533894598,2157
Living in the moment,2.0,0.0,7.0,9.0,1.4444444444444444,0.2939723678960656,93
When did they gentrify this park,1.0,0.0,9.0,10.0,1.2,0.2,551
"Horsepersons, Pass By",0.0,0.0,11.0,11.0,1.0,0.09534625892455922,2157
What's hoppin?,0.0,0.0,11.0,11.0,1.0,0.09534625892455922,2157
I’m proving Heisenberg’s uncertainty principle.,0.0,1.0,10.0,11.0,1.0909090909090908,0.09534625892455922,1468
Trump's in town again,0.0,0.0,11.0,11.0,1.0,0.09534625892455922,2157
Watch the pocket! I still have some Twinkies!,0.0,0.0,11.0,11.0,1.0,0.09534625892455922,2157
Let's see what my Fitbit has to say about this!,1.0,0.0,10.0,11.0,1.181818181818182,0.18181818181818185,700
Now I see what you see in Donald Trump.,0.0,1.0,10.0,11.0,1.0909090909090908,0.09534625892455922,1468
"Step on a crack and break your mother's, I mean, my back.",0.0,1.0,10.0,11.0,1.0909090909090908,0.09534625892455922,1468
"Oh well, if you can't be part of the solution, be part of the problem!""",0.0,3.0,8.0,11.0,1.2727272727272727,0.14083575804390613,322
It was to be a polar bear but PETA intervened.,0.0,0.0,10.0,10.0,1.0,0.10540925533894598,2157
Meditation helps me relax.,1.0,0.0,10.0,11.0,1.181818181818182,0.18181818181818185,700
Step 1: Imagine myself on a Caribbean beach...,0.0,1.0,10.0,11.0,1.0909090909090908,0.09534625892455922,1468
"Ah, a little higher.... Oh, man, that feels great!""",0.0,0.0,10.0,10.0,1.0,0.10540925533894598,2157
I thought he was going back to Jersey to take a deep breath?,0.0,0.0,10.0,10.0,1.0,0.10540925533894598,2157
"I thought the saying was ""over my dead body.""",0.0,2.0,9.0,11.0,1.181818181818182,0.12196734422726127,700
Welcome to my staycation.,1.0,1.0,8.0,10.0,1.3,0.21343747458109502,249
"They said the streets are paved with Gord, so I'm just doing my part.",0.0,0.0,11.0,11.0,1.0,0.09534625892455922,2157
This is how it must feel to be Jeb Bush at a Trump rally !,1.0,1.0,9.0,11.0,1.2727272727272727,0.1949782780866111,322
"Don't tread on me, I'm from New Hampshire.",0.0,0.0,9.0,9.0,1.0,0.11785113019775792,2157
"Hurry up! Woof, woof! Come on! Step on it!",0.0,1.0,10.0,11.0,1.0909090909090908,0.09534625892455922,1468
"I do it to myself, I do. And that's what really hurts",1.0,0.0,10.0,11.0,1.181818181818182,0.18181818181818185,700
"""Why do people walk all over me""?",0.0,0.0,11.0,11.0,1.0,0.09534625892455922,2157
My name is Matt with a double 'T'!,0.0,0.0,11.0,11.0,1.0,0.09534625892455922,2157
She keeps saying I let people walk all over me...where's she getting that?,0.0,1.0,10.0,11.0,1.0909090909090908,0.09534625892455922,1468
Slow down and smell the sidewalk.,0.0,3.0,8.0,11.0,1.2727272727272727,0.14083575804390613,322
"Say, you wouldn't happen to have a pillow, would you?",0.0,1.0,10.0,11.0,1.0909090909090908,0.09534625892455922,1468
Maybe I took a wrong turn getting to Central Park,0.0,0.0,11.0,11.0,1.0,0.09534625892455922,2157
I'm a lobbyist.,0.0,1.0,10.0,11.0,1.0909090909090908,0.09534625892455922,1468
"Caution, walk across.",0.0,0.0,11.0,11.0,1.0,0.09534625892455922,2157
Pro: dropped pizza. Con: boot to the groin.,0.0,0.0,9.0,9.0,1.0,0.11785113019775792,2157
"Step on a crack, break your broker's back.",0.0,0.0,11.0,11.0,1.0,0.09534625892455922,2157
They're all pursuing happiness.,0.0,0.0,11.0,11.0,1.0,0.09534625892455922,2157
Guess I didn't have to be embarrassed about falling down.,0.0,1.0,10.0,11.0,1.0909090909090908,0.09534625892455922,1468
"Step on a crack, break my MOTHER'S back...oh what the hell, go for it anyway.",0.0,0.0,11.0,11.0,1.0,0.09534625892455922,2157
My name is Gulliver - got strings?,0.0,1.0,9.0,10.0,1.1,0.10540925533894598,1174
Now I know how Jeb Bush feels.,0.0,2.0,9.0,11.0,1.181818181818182,0.12196734422726127,700
"(music notes) ""...On a Sunday morning sidewalk, I'm wishing, Lord, that I was stoned..."" (music notes)",0.0,0.0,11.0,11.0,1.0,0.09534625892455922,2157
"My cubicle is a bit cramped, and I needed to stretch my legs.",0.0,1.0,10.0,11.0,1.0909090909090908,0.09534625892455922,1468
"Step on a crack, break my back.",0.0,0.0,10.0,10.0,1.0,0.10540925533894598,2157
My therapist said I need to change the way I look at the world…and it is working.,0.0,0.0,11.0,11.0,1.0,0.09534625892455922,2157
"Yes,doctor I do feel freer and more in control.",0.0,2.0,8.0,10.0,1.2,0.13333333333333333,551
"Hey mister, you have gum stuck to the bottom of your shoe!",0.0,1.0,9.0,10.0,1.1,0.10540925533894598,1174
"So I thought, 'Why bother going up 42 stories just to come right back down again'.",0.0,1.0,10.0,11.0,1.0909090909090908,0.09534625892455922,1468
I'm for The Donald. Don't Tread on Me.,0.0,0.0,11.0,11.0,1.0,0.09534625892455922,2157
The weird part is that I made it 43 years WITHOUT stepping on a crack .,1.0,1.0,9.0,11.0,1.2727272727272727,0.1949782780866111,322
I'm a Wall Street Executive Masochist.,0.0,1.0,10.0,11.0,1.0909090909090908,0.09534625892455922,1468
Unbelievable! Waiting to be cuffed here at my bank since 2008.,0.0,0.0,11.0,11.0,1.0,0.09534625892455922,2157
"This is not what I meant by being, ""Being run over by Life"".",0.0,1.0,10.0,11.0,1.0909090909090908,0.09534625892455922,1468
Laissez-Faire Capitalism,0.0,0.0,11.0,11.0,1.0,0.09534625892455922,2157
Owwwmmmmmmmmmmmm.,0.0,1.0,10.0,11.0,1.0909090909090908,0.09534625892455922,1468
That cloud looks like a shoe...That cloud looks like a boot...,1.0,0.0,10.0,11.0,1.181818181818182,0.18181818181818185,700
"Yes, sir, I can see your drone delivery now....",0.0,2.0,8.0,10.0,1.2,0.13333333333333333,551
And that cloud looks like a man!,0.0,1.0,10.0,11.0,1.0909090909090908,0.09534625892455922,1468
That cloud looks like a bear.,0.0,2.0,9.0,11.0,1.181818181818182,0.12196734422726127,700
You know you can't keep a good man down.,0.0,1.0,9.0,10.0,1.1,0.10540925533894598,1174
"Hi! I'm what they call ""pedestrian friendly!""",1.0,0.0,9.0,10.0,1.2,0.2,551
It's a new Yoga technique!,0.0,2.0,9.0,11.0,1.181818181818182,0.12196734422726127,700
I am tired of being an outlier.,0.0,0.0,10.0,10.0,1.0,0.10540925533894598,2157
"Aaaah, urban America.",0.0,0.0,11.0,11.0,1.0,0.09534625892455922,2157
"People, people who need people, Are the luckiest people in the world.",0.0,0.0,11.0,11.0,1.0,0.09534625892455922,2157
I guess I just feel like the world is passing me by.,0.0,1.0,10.0,11.0,1.0909090909090908,0.09534625892455922,1468
I'm a speed chump.,1.0,0.0,9.0,10.0,1.2,0.2,551
Haven't you ever seen a pedestrian crossing?,0.0,2.0,8.0,10.0,1.2,0.13333333333333333,551
Making this deal is gonna be a cakewalk.,0.0,1.0,9.0,10.0,1.1,0.10540925533894598,1174
Sometimes you just gotta go with it.,0.0,0.0,8.0,8.0,1.0,0.1336306209562122,2157
Clouds sure look different when you're an adult.,0.0,1.0,10.0,11.0,1.0909090909090908,0.09534625892455922,1468
And I am the only candidate who knows the pain of being downtrodden!,0.0,1.0,9.0,10.0,1.1,0.10540925533894598,1174
The white noise helps me sleep.,0.0,1.0,9.0,10.0,1.1,0.10540925533894598,1174
I trust you. I trust you. I trust you. Wait a minute!,0.0,0.0,11.0,11.0,1.0,0.09534625892455922,2157
"Go ahead, take your time, weigh your options, but I would certainly appreciate your vote on Super Tuesday.",0.0,0.0,11.0,11.0,1.0,0.09534625892455922,2157
"Cool, I am invisible, nobody sees me. I can do whatever I do.",0.0,1.0,10.0,11.0,1.0909090909090908,0.09534625892455922,1468
It's just nice to be connecting with people.,0.0,0.0,11.0,11.0,1.0,0.09534625892455922,2157
"Pretty bad optical illusion, isn't it? People are walking all over it.",0.0,0.0,11.0,11.0,1.0,0.09534625892455922,2157
"I'm testing the Ted Cruz theory of ""New York Values"".",0.0,1.0,10.0,11.0,1.0909090909090908,0.09534625892455922,1468
