rank,funny,somewhat_funny,unfunny,count,score,precision,contest,caption
1,2,3,0,5,2.4,0.24494897427831774,512,That won't fly in here.
1,3,1,1,5,2.4,0.39999999999999997,512,"Sorry, that mat won't fly here."
3,2,1,1,4,2.25,0.47871355387816905,512,"Sorry, sir. We don't allow...hats."
3,1,3,0,4,2.25,0.28867513459481287,512,We try to leave our rugged individualism at the door.
3,1,3,0,4,2.25,0.28867513459481287,512,I don't care whether or not it ties the room together.
3,2,1,1,4,2.25,0.47871355387816905,512,Our fees are based on square footage.
7,2,2,1,5,2.2,0.37416573867739417,512,We get it. You're straight.
7,3,0,2,5,2.2,0.48989794855663565,512,You must be the guy from Om Depot.
7,2,2,1,5,2.2,0.37416573867739417,512,"So first we breath slowly. And we are mindful. Then, we talk about your mat."
10,3,1,2,6,2.1666666666666665,0.40138648595974313,512,The Dude lives downstairs.
11,2,1,2,5,2.0,0.4472135954999579,512,"Namaste. And, I suppose, Boo-yah!'"
11,2,1,2,5,2.0,0.4472135954999579,512,"First, I must thank you for leaving the recliner and TV at home this week."
11,2,1,2,5,2.0,0.4472135954999579,512,"Hey ladies, I think I figured out who left the seat up."
11,2,1,2,5,2.0,0.4472135954999579,512,"Size doesn't matter here, either."
11,1,3,1,5,2.0,0.31622776601683794,512,"Unless you can make it fly, it's still a no."
11,1,2,1,4,2.0,0.408248290463863,512,"We meditate, not levitate."
11,1,2,1,4,2.0,0.408248290463863,512,"Sir, your wife wasn't finished meditating."
11,2,0,2,4,2.0,0.5773502691896257,512,"Sir, please put that back in the lobby and use this one."
11,1,3,1,5,2.0,0.31622776601683794,512,"Namaste, carpet diem"
11,1,3,1,5,2.0,0.31622776601683794,512,The body is in the office. Maybe use the back door on your way out.
11,2,1,2,5,2.0,0.4472135954999579,512,"No, broga is on Thursdays."
11,0,2,0,2,2.0,0.7071067811865476,512,No problem—we're very flexible.
11,1,1,1,3,2.0,0.5773502691896257,512,The Magic Carpet class is down the hall.
11,2,0,2,4,2.0,0.5773502691896257,512,"What do you mean, 'Make Yoga Great Again'?"
11,2,1,2,5,2.0,0.4472135954999579,512,"No, no, no. Not “namaste”. I said you and the rug must not stay."
11,2,1,2,5,2.0,0.4472135954999579,512,Your downward dog made a mess on the carpet.
11,2,1,2,5,2.0,0.4472135954999579,512,I know it's you first yoga experience but you don't need a training mat.
11,2,1,2,5,2.0,0.4472135954999579,512,Let me explain how many different ways you're not going to meet any girls here.
11,1,3,1,5,2.0,0.31622776601683794,512,"I told you to bring your own, that's from our lobby."
11,2,1,2,5,2.0,0.4472135954999579,512,We don’t shag here.
11,1,3,1,5,2.0,0.31622776601683794,512,Our position on this is inflexible.
11,2,1,2,5,2.0,0.4472135954999579,512,"Actually, nobody says that about the size of a man's yoga mat."
11,2,1,2,5,2.0,0.4472135954999579,512,"Sorry, we're not that flexible."
11,2,0,2,4,2.0,0.5773502691896257,512,I take that you aren't here for the yoga class
35,1,3,2,6,1.8333333333333333,0.30731814857642953,512,You must be our lucky 'free trial' winner.
36,1,2,2,5,1.8,0.37416573867739417,512,"So, I understand you were home schooled."
36,1,2,2,5,1.8,0.37416573867739417,512,That's just so people won't know you weren't on your way to yoga?
36,1,2,2,5,1.8,0.37416573867739417,512,I take it you roll your own?
36,1,2,2,5,1.8,0.37416573867739417,512,"""No.....one mat with 8 people does not get you a group discount""."
36,0,4,1,5,1.8,0.22360679774997896,512,Is this your first class?
36,1,2,2,5,1.8,0.37416573867739417,512,Bet you bring a typewriter to Starbucks too.
36,2,0,3,5,1.8,0.48989794855663565,512,The Spirit within me is asking you to just leave.
36,1,2,2,5,1.8,0.37416573867739417,512,What is it with men and size?
36,1,2,2,5,1.8,0.37416573867739417,512,Blue collar yoga is Thursday night.
36,2,0,3,5,1.8,0.48989794855663565,512,"You heard me, into the river. And if anyone asks, she came here in the corpse pose"
36,1,2,2,5,1.8,0.37416573867739417,512,First visit?
36,1,2,2,5,1.8,0.37416573867739417,512,Your failure to follow instructions is restricting my infinite bliss.
36,2,0,3,5,1.8,0.48989794855663565,512,Hey there Aladdin. Here to see a whole new world?
36,1,2,2,5,1.8,0.37416573867739417,512,"If you can make that carpet fly, yes. Otherwise, no."
36,1,2,2,5,1.8,0.37416573867739417,512,No you can't run out to your car and get your six pack.
36,1,2,2,5,1.8,0.37416573867739417,512,"Sorry, but President Trump has banned all Middle Eastern rugs entering yoga studios."
36,0,4,1,5,1.8,0.22360679774997896,512,First time?
36,1,2,2,5,1.8,0.37416573867739417,512,"So tell me, does Aladdin know you took his carpet?"
36,1,2,2,5,1.8,0.37416573867739417,512,Your first lesson will be about how less can be more.
36,1,2,2,5,1.8,0.37416573867739417,512,The bro-ga class was moved to 2:30.
36,1,2,2,5,1.8,0.37416573867739417,512,You're lucky I'm flexible.
36,1,2,2,5,1.8,0.37416573867739417,512,"Okay, you win. We can go back to doing less things together."
36,1,2,2,5,1.8,0.37416573867739417,512,Put it back in the foyer.
36,0,4,1,5,1.8,0.22360679774997896,512,Our ancient practice requires a polypropylene mat.
36,1,2,2,5,1.8,0.37416573867739417,512,I see that you roll your own.
36,2,0,3,5,1.8,0.48989794855663565,512,Feel free to leave your yoga mat camouflage at the door.
36,2,0,3,5,1.8,0.48989794855663565,512,"Let her out, Fred."
36,0,4,1,5,1.8,0.22360679774997896,512,We think you'd be happier at our Brooklyn studio.
36,1,2,2,5,1.8,0.37416573867739417,512,Do you have a note from your wife?
36,1,2,2,5,1.8,0.37416573867739417,512,"We're here to stretch, Jimmy, not to fly."
36,1,2,2,5,1.8,0.37416573867739417,512,Put her back.
36,1,2,2,5,1.8,0.37416573867739417,512,Compensating for low chi?
36,1,2,2,5,1.8,0.37416573867739417,512,Just place it down over here by placing your left foot onto your right shoulder.
36,1,2,2,5,1.8,0.37416573867739417,512,"Except for the hat, the shorts, the socks, the shoes, and the carpet everything else is fine"
36,2,0,3,5,1.8,0.48989794855663565,512,We strongely urge beginners to look the part.
36,1,2,2,5,1.8,0.37416573867739417,512,"Ok, mansplain this one."
36,2,0,3,5,1.8,0.48989794855663565,512,No rugrats in yoga.
36,1,2,2,5,1.8,0.37416573867739417,512,"Yeah, I'm sure it's fine. They let me use this papyrus scroll."
36,2,0,3,5,1.8,0.48989794855663565,512,"I'm surprisingly OK with the hat, wrist bands, and rug, but I just can't look past the tube socks."
