caption,funny,somewhat_funny,unfunny,count,score,precision,rank,contest
"Come on, sheriff, it was only a piggy bank.",8.0,11.0,4.0,23.0,2.1739130434782608,0.14946775020702793,1,514
PETA is ruining this for everyone.,9.0,8.0,6.0,23.0,2.130434782608696,0.16991450798580768,2,514
It was just a piggy bank!,10.0,7.0,8.0,25.0,2.08,0.1724335620850342,3,514
"Is it just my imagination, or are they gaining on us?",8.0,12.0,6.0,26.0,2.0769230769230766,0.14595127662315593,4,514
We could just make a run for it.,6.0,12.0,5.0,23.0,2.0434782608695654,0.14715028038724334,5,514
"Sheriff, all this back and forth is getting us nowhere.",9.0,9.0,8.0,26.0,2.0384615384615383,0.16153846153846158,6,514
"For goodness sake, it was only a piggy bank!",10.0,7.0,9.0,26.0,2.0384615384615383,0.1707969485474963,6,514
"Back off, sheriff, or we walk.",6.0,13.0,6.0,25.0,2.0,0.1414213562373095,8,514
"Ride like the wind, Mahogany!",7.0,8.0,7.0,22.0,2.0,0.17407765595569785,8,514
They're toying with us.,8.0,10.0,8.0,26.0,2.0,0.15689290811054726,8,514
This is absolutely my last low-budget western.,8.0,8.0,9.0,25.0,1.96,0.16812693617224653,11,514
"Don't ask me how, but they're gaining on us.",9.0,6.0,10.0,25.0,1.96,0.17776388834631174,11,514
They're just toying with us.,6.0,11.0,7.0,24.0,1.9583333333333333,0.1532163227136512,13,514
They call me 'The Kid.' What's your excuse?,7.0,9.0,8.0,24.0,1.9583333333333333,0.16461600758034078,13,514
"Don't worry, the camera's only shooting from the waist up.",7.0,4.0,8.0,19.0,1.947368421052632,0.2090592155756664,15,514
We're losing them ... they're gaining ... we're losing them ... they're gaining ...,7.0,10.0,9.0,26.0,1.9230769230769231,0.15613679330911104,16,514
I thought you said the sheriff was off his rocker!,7.0,9.0,9.0,25.0,1.92,0.16248076809271922,17,514
With any luck we'll lose 'em by nap time.,6.0,11.0,8.0,25.0,1.92,0.15187714333192692,17,514
Wild West Reality Camp is disappointing on so many levels.,9.0,5.0,11.0,25.0,1.92,0.1818424226264781,17,514
PETA really killed these reenactments.,6.0,10.0,8.0,24.0,1.9166666666666667,0.15830472663009762,20,514
"Billy the Kid: ""The Early Years""",8.0,6.0,10.0,24.0,1.9166666666666667,0.17974082253351392,20,514
"Ralph, they're gettin' closer...now farther...now closer...now farther...",6.0,10.0,8.0,24.0,1.9166666666666667,0.15830472663009762,20,514
They're gaining on us...they're falling back...they're gaining on us...they're falling back...,8.0,6.0,10.0,24.0,1.9166666666666667,0.17974082253351392,20,514
I think they're toying with us.,7.0,7.0,9.0,23.0,1.9130434782608696,0.1768526270450363,24,514
They're still a day's ride behind us.,7.0,7.0,9.0,23.0,1.9130434782608696,0.1768526270450363,24,514
You fellers okay with a half hour nap break?,5.0,11.0,7.0,23.0,1.9130434782608696,0.1528780996507013,24,514
This is my last low budget film.,6.0,8.0,8.0,22.0,1.9090909090909087,0.1729435874929712,27,514
"Surrender? Sheriff, you must be off your rocker.",6.0,12.0,9.0,27.0,1.8888888888888888,0.14454303013066466,28,514
"Don't worry, we'll lose 'em during nap time.",6.0,11.0,9.0,26.0,1.8846153846153848,0.15014785612263953,29,514
"One more low-budget role, and I'm firing my agent.",5.0,13.0,8.0,26.0,1.8846153846153848,0.13952582420936202,29,514
Personally I think the Humane Society's demands are getting unreasonable.,8.0,7.0,11.0,26.0,1.8846153846153848,0.16940550419650188,29,514
"You're right, we should have gone with the pogo sticks.",6.0,11.0,9.0,26.0,1.8846153846153848,0.15014785612263953,29,514
We stole them from Billy the Kid.,8.0,7.0,11.0,26.0,1.8846153846153848,0.16940550419650188,29,514
"Eat our sawdust, Sheriff!",6.0,10.0,9.0,25.0,1.88,0.1562049935181331,34,514
"Don't worry, they're carrying toy guns.",7.0,8.0,10.0,25.0,1.88,0.1665332799572906,34,514
I reckon they'll be on us by snack time.,7.0,8.0,10.0,25.0,1.88,0.1665332799572906,34,514
"They're gaining on us, release the termites.",6.0,10.0,9.0,25.0,1.88,0.1562049935181331,34,514
"Sheriff, I feel like we're just going through the motions here.",7.0,7.0,10.0,24.0,1.875,0.17354467327805945,38,514
Nope. They're still there.,6.0,9.0,9.0,24.0,1.875,0.16277151230295586,38,514
I'd say at least a two hour lead.,7.0,7.0,10.0,24.0,1.875,0.17354467327805945,38,514
I'm Billy the Kid. What's your excuse?,7.0,6.0,10.0,23.0,1.8695652173913044,0.1811725950413572,41,514
"If you don't stop following us, I'm calling my mom!",4.0,11.0,7.0,22.0,1.8636363636363635,0.15140688772746894,42,514
It feels like they're toying with us,5.0,9.0,8.0,22.0,1.8636363636363635,0.1650849780577346,42,514
I told you sheriff - I ain't never going back to Time-Out!,6.0,11.0,10.0,27.0,1.851851851851852,0.14814814814814814,44,514
I said I hope you get a splinter.,6.0,11.0,10.0,27.0,1.851851851851852,0.14814814814814814,44,514
Whatever happens I'm not going back to serve another time-out.,7.0,8.0,11.0,26.0,1.8461538461538465,0.1635407048113023,46,514
I just hate these low budget Westerns!,4.0,14.0,8.0,26.0,1.8461538461538465,0.13234346564680965,46,514
When the West was really young.,8.0,6.0,12.0,26.0,1.8461538461538465,0.17269187938956654,46,514
Quick! Put in another quarter.,8.0,6.0,12.0,26.0,1.8461538461538465,0.17269187938956654,46,514
Head for the carousel! It's our only chance!,7.0,8.0,11.0,26.0,1.8461538461538465,0.1635407048113023,46,514
Looks like we're going nowhere faster than you're going nowhere!,7.0,7.0,11.0,25.0,1.84,0.17009801096230764,51,514
"If ya think yer gonna catch us, yer off yer rocker.",7.0,7.0,11.0,25.0,1.84,0.17009801096230764,51,514
We'll lose 'em on the carousel.,7.0,7.0,11.0,25.0,1.84,0.17009801096230764,51,514
You're right. We shoulda taken the trikes.,8.0,5.0,12.0,25.0,1.84,0.17962924780409972,51,514
Can't we settle our differences like adults?,5.0,10.0,9.0,24.0,1.8333333333333333,0.15541746804005227,55,514
This doesn't bode well for the brothel scene.,5.0,10.0,9.0,24.0,1.8333333333333333,0.15541746804005227,55,514
"I got a squirt gun, and I ain't afraid to use it!",5.0,10.0,9.0,24.0,1.8333333333333333,0.15541746804005227,55,514
This is my first low-budget film.,5.0,9.0,9.0,23.0,1.826086956521739,0.16215171143688548,58,514
"Ain't no horse thief, it's just a hobby.",3.0,13.0,7.0,23.0,1.826086956521739,0.1356025043352446,58,514
We may never catch you but you'll never get away!,6.0,7.0,10.0,23.0,1.826086956521739,0.17391304347826084,58,514
We'll cut 'em off at the sandbox.,4.0,10.0,8.0,22.0,1.818181818181818,0.1562044896334953,61,514
Let's dismount and run for it.,7.0,8.0,12.0,27.0,1.8148148148148149,0.16045729732568348,62,514
Mom said when we're done we have to go back to Congress.,6.0,9.0,11.0,26.0,1.807692307692308,0.15708136812817025,63,514
"I've been outrunnin' you for 12 hours, Sheriff. When you gonna give up?",7.0,7.0,12.0,26.0,1.807692307692308,0.16658775252082855,63,514
We need fresh horses. Ride for the lumber yard.,5.0,11.0,10.0,26.0,1.807692307692308,0.14696133211186765,63,514
"It takes a while, but there's virtually no carbon footprint.",5.0,11.0,10.0,26.0,1.807692307692308,0.14696133211186765,63,514
"We may look ridiculous, but we're still ahead of you.",6.0,9.0,11.0,26.0,1.807692307692308,0.15708136812817025,63,514
"Quit toying with us, sheriff!",6.0,9.0,11.0,26.0,1.807692307692308,0.15708136812817025,63,514
We'll lose them at the day care center!,4.0,12.0,9.0,25.0,1.8,0.1414213562373095,69,514
