caption,funny,somewhat_funny,unfunny,count,score,precision,rank,contest
"I have to ask, do you feel that you could be a danger to others?",235.0,319.0,190.0,744.0,2.060483870967742,0.02763875457331828,1,520
"Now that you've opened up, let's talk about what's eating you.",738.0,858.0,631.0,2227.0,2.048046699595869,0.016586778645924817,2,520
It's normal to feel empty after a split.,228.0,285.0,272.0,785.0,1.9439490445859875,0.02843272056845765,3,520
You're right; some of us bruise easier than others.,58.0,104.0,73.0,235.0,1.9361702127659568,0.048629620900655104,4,520
Would you feel more comfortable on the floor ?,137.0,181.0,173.0,491.0,1.9266802443991853,0.03574252527985605,5,520
I am required to report those bruises.,73.0,104.0,112.0,289.0,1.8650519031141868,0.046470100133617714,6,520
You say you've been feeling empty since the split?,83.0,97.0,140.0,320.0,1.821875,0.045662880954888435,7,520
Maybe you'd be more comfortable on the floor.,52.0,80.0,92.0,224.0,1.821428571428572,0.05234284133728842,8,520
I'm going to be brutally honest. You're an accident waiting to happen.,53.0,76.0,95.0,224.0,1.8125,0.05296407258950028,9,520
And you blame yourself for the split?,57.0,62.0,101.0,220.0,1.8,0.05564818623250184,10,520
How was life after the split?,50.0,103.0,102.0,255.0,1.7960784313725489,0.046723109038174934,11,520
What I think isn't important. Do you think you're an accident waiting to happen?,39.0,77.0,81.0,197.0,1.7868020304568528,0.05362776474107128,12,520
Perhaps you're hanging around with the wrong bunch.,36.0,72.0,76.0,184.0,1.7826086956521738,0.055389168269374005,13,520
I can tell that something's been eating at you.,38.0,77.0,81.0,196.0,1.7806122448979589,0.05354182980380108,14,520
Do you need a moment to compost yourself?,34.0,51.0,68.0,153.0,1.7777777777777777,0.06372659274182271,15,520
You may have a split personality.,44.0,58.0,90.0,192.0,1.7604166666666667,0.05790932129145932,16,520
I'm so tired of people blaming me for their slip-ups.,26.0,54.0,60.0,140.0,1.7571428571428571,0.06320607625199111,17,520
So you feel the best part of you is gone.,25.0,59.0,60.0,144.0,1.7569444444444444,0.0609483201172468,18,520
I'd like to see you again next sundae.,39.0,55.0,85.0,179.0,1.7430167597765365,0.05933607597765553,19,520
You appear to be suffering from an Edible Complex.,18.0,30.0,41.0,89.0,1.7415730337078652,0.08230602895511158,20,520
You can't go on like this. You're an accident waiting to happen.,35.0,52.0,78.0,165.0,1.7393939393939395,0.061333403445384974,21,520
I think this results from an edible complex.,27.0,53.0,65.0,145.0,1.7379310344827583,0.06268321013533784,22,520
Success is not measured by the number of people you bring down.,25.0,59.0,64.0,148.0,1.7364864864864864,0.060153543872797414,23,520
This is fruitless.,32.0,52.0,75.0,159.0,1.729559748427673,0.0616142576162093,24,520
So you caused a Freudian slip?,25.0,52.0,63.0,140.0,1.7285714285714286,0.06318284299399171,25,520
"So, was it a painful split?",31.0,57.0,76.0,164.0,1.7256097560975612,0.05950455044935968,26,520
So what's been eating you lately?,29.0,44.0,68.0,141.0,1.7234042553191489,0.06608641833862003,27,520
