,unfunny,somewhat funny,funny,caption,score,precision
0,80,56,39,"Well, your profile pic doesn't look much like you either.",1.7657142857142858,0.059938196334053125
1,74,38,38,"You voted ‘Leave,’ didn’t you?",1.76,0.06800447412574094
2,82,33,39,"Well, I never believed in you either.",1.7207792207792207,0.0680133609598613
3,73,26,34,We have observed you in the barn. So many questions.,1.7067669172932332,0.07377923854935436
4,81,19,36,"Greetings, and let go of my penis.",1.6691176470588236,0.074575886588349
5,74,31,29,Probe you? I hardly know you.,1.6641791044776117,0.07022418678873209
6,76,30,30,Your cows speak highly of you.,1.6617647058823528,0.07018539736900173
7,71,32,27,"You look surprised, John. Have I really changed that much since high school?",1.6615384615384616,0.07039698839733112
8,63,29,23,Thank God we found you. What the hell is quinoa?,1.6521739130434785,0.07415270518240542
9,76,25,30,"Welcome aboard! First stop, Uranus.",1.6488549618320612,0.07263488606159674
10,73,25,28,"Think of us as ""Proctologists Without Borders"".",1.6428571428571428,0.07343221533790947
11,63,44,18,We said we would return when Cleveland won a championship.,1.64,0.06465790872963897
12,69,35,23,Keep me from your leader.,1.6377952755905512,0.06861539847737756
13,71,19,28,"If you enjoyed your anal probe as much as we did, please ""Like"" us on Facebook.",1.6355932203389831,0.07769052950152211
14,69,30,24,I had a great time tonight. Can I call you?,1.6341463414634143,0.07141707684331744
15,66,31,22,I'm sure we can settle this without involving the insurance companies.,1.630252100840336,0.07147254358370729
16,67,26,23,"Wow, small universe! My name is also John.",1.6206896551724137,0.07413182918301663
17,70,27,24,You've been served.,1.6198347107438016,0.07259096919136375
18,69,19,25,"Just remember, what happens on Vega stays on Vega.",1.6106194690265487,0.07793319077779283
19,65,30,20,"We've met your leaders and, well, you should come with us.",1.608695652173913,0.07169693417281371
20,66,35,18,"We've seen your leaders, and we have absolutely no interest in being taken to them.",1.5966386554621852,0.06784715990669968
21,65,29,19,"Yes, it is nice to meet you Earthling, but please let go of my reproductive organ.",1.5929203539823011,0.07181629550808488
22,65,29,19,"Thank you for a great weekend, but I'm just not good at long distance relationships.",1.5929203539823011,0.07181629550808488
23,63,29,18,Are you the one who grows the weed?,1.5909090909090908,0.07225136197330992
24,61,33,15,Hate to probe and run...,1.5779816513761469,0.06933201253060937
25,52,40,9,"You're right, it's more like a tureen than a saucer.",1.5742574257425743,0.06501566399755249
26,58,31,14,"We came in peace, but now we just want to leave.",1.5728155339805825,0.07116279032965835
27,66,21,20,"Sorry about all the circles, my wife was driving.",1.5700934579439252,0.07641240408877603
28,68,17,22,We learned everything about you from Facebook; the probing was just for me.,1.5700934579439252,0.07868625664712174
29,67,15,22,We don’t probe any more. You fill out a short questionnaire when you leave.,1.5673076923076923,0.08056515168694918
30,63,26,17,What happens on Vega stays on Vega.,1.5660377358490567,0.07344539496893901
31,59,27,15,We're planning on building a wall around your planet and we want you to pay for it.,1.5643564356435644,0.0736809305154022
