,rank,caption,score,precision,count,unfunny,somewhat_funny,funny
0,1,"If you see something, say something.",1.9327902240325865,0.041621308681402784,491.0,226.0,72.0,193.0
1,2,Our chef trained at the Paris Metro.,1.7910958904109588,0.04681857659598174,292.0,130.0,93.0,69.0
2,3,"Sorry for the wait, but it's been like Grand Central Station in here.",1.7666666666666666,0.0489881085470437,270.0,126.0,81.0,63.0
3,4,Before this I was a bus-boy.,1.7640449438202248,0.05008157456157688,267.0,128.0,74.0,65.0
4,5,"I can arrange a violinist for 25¢. For $1, I can make him go away.",1.751937984496124,0.05005411830171684,258.0,123.0,76.0,59.0
5,6,"Let me guess, you don't like this table either?",1.75,0.050729965619589236,256.0,124.0,72.0,60.0
6,7,"The restroom is located just behind you, sir.",1.7470355731225296,0.053400913076535016,253.0,131.0,55.0,67.0
7,8,Is this far enough away from the kitchen for you?,1.745019920318725,0.0498094016470448,251.0,118.0,79.0,54.0
8,9,Is this far enough away from the kitchen?,1.7344398340248963,0.05143247956944151,241.0,117.0,71.0,53.0
9,10,"""Your drinks will arrive at 7:03, appetizers at 7:22, entrees at 7:52, dessert and coffee at 8:41.",1.7173913043478262,0.04903287854031885,230.0,105.0,85.0,40.0
10,11,I trust this is far enough away from the kitchen?,1.7085201793721974,0.05394279662030122,223.0,114.0,60.0,49.0
11,12,Celebrating a not-so-special occasion?,1.7058823529411764,0.05439967290904983,221.0,114.0,58.0,49.0
12,13,"My name is Terence, and I'm one of many people who will be asking you for money tonight.",1.6859903381642511,0.05700936195910624,207.0,112.0,48.0,47.0
13,14,"Is this far enough away from the kitchen for you, sir?",1.6859903381642511,0.05273562551189087,207.0,102.0,68.0,37.0
14,15,Is this table far enough from the kitchen for you?,1.6716417910447758,0.055612455700845366,201.0,106.0,55.0,40.0
15,16,"Sorry, sir, we only accept Metrocard.",1.6649746192893402,0.05478462508196813,197.0,102.0,59.0,36.0
16,17,"Good evening, my name is Charles and I will be your waiter for the next twelve minutes.",1.6615384615384616,0.05284942837290491,195.0,97.0,67.0,31.0
17,18,"For a Long Island Iced Tea, you'll have to go to the next stop. How about a Manhattan?",1.65625,0.0575155766518221,192.0,105.0,48.0,39.0
18,19,"Oh, that's not the price. That's when it arrives.",1.6526315789473685,0.053053170843245484,190.0,95.0,66.0,29.0
19,20,Another waiter will be along every ten minutes or so.,1.6507936507936507,0.057859775328343674,189.0,104.0,47.0,38.0
20,21,Apologies for the delay. We have limited service on the weekends.,1.6507936507936507,0.05330260770429357,189.0,95.0,65.0,29.0
21,22,"If you'd like vegetarian, you'll have to transfer to the green line.",1.6507936507936507,0.05277196886366826,189.0,94.0,67.0,28.0
22,23,"Next time, maybe you shouldn't complain about being seated near the kitchen.",1.6451612903225807,0.05820642029032001,186.0,103.0,46.0,37.0
23,24,Would you like that charbroiled or third-railed?,1.6327683615819208,0.056410436755072874,177.0,94.0,54.0,29.0
24,25,"We accept American Express, Visa, and MetroCard.",1.6306818181818181,0.05435403370430903,176.0,90.0,61.0,25.0
25,26,Look at these prices! I told you we should have gone to the bus station.,1.6306818181818181,0.05782708162737898,176.0,96.0,49.0,31.0
26,27,"I'm sorry, this is not my station",1.6306818181818181,0.05726287020927685,176.0,95.0,51.0,30.0
27,28,Would you like to see our wino list?,1.6306818181818181,0.05782708162737898,176.0,96.0,49.0,31.0
28,29,"You forgot to tip the maître d', didn't you?",1.6285714285714286,0.05868206140111164,175.0,97.0,46.0,32.0
29,30,"We accept Visa, Discover, and MetroCard.",1.6242774566473988,0.0587137625332479,173.0,96.0,46.0,31.0
30,31,"I'll take your order, but this is not my station.",1.622093023255814,0.056663920575584864,172.0,92.0,53.0,27.0
31,32,"Hi, my name's Terry. I'll be waiting with you this evening.",1.622093023255814,0.057851523808840975,172.0,94.0,49.0,29.0
32,33,A night out under the town?,1.6162790697674418,0.054908160716866425,172.0,90.0,58.0,24.0
33,34,Will you be paying with your MetroCard?,1.6153846153846154,0.05692406691545807,169.0,91.0,52.0,26.0
34,35,Would you like to see the dessert trolley?,1.613095238095238,0.05845018353103321,168.0,93.0,47.0,28.0
35,36,The third rail special is to die for.,1.6107784431137724,0.06290602156650246,167.0,100.0,32.0,35.0
36,37,All our wines are served with a complimentary brown bag,1.608433734939759,0.059062961922125075,166.0,93.0,45.0,28.0
37,38,"No, we've never dined here. We come from the other side of the tracks.",1.606060606060606,0.058748319909281824,165.0,92.0,46.0,27.0
38,39,Of course the food is great. Nobody comes here for the ambiance.,1.606060606060606,0.05747647720718919,165.0,90.0,50.0,25.0
39,40,We take Visa and Metrocard.,1.606060606060606,0.055514105794170585,165.0,87.0,56.0,22.0
40,41,You should tip the maitre d' next time.,1.606060606060606,0.06121277981102381,165.0,96.0,38.0,31.0
41,42,"Tap, sparkling, or dripping from the ceiling?",1.6036585365853655,0.057777495596324,164.0,90.0,49.0,25.0
42,43,You will be experiencing random delays in service throughout the evening.,1.5962732919254659,0.058698938420608075,161.0,90.0,46.0,25.0
43,44,May I take your wallets?,1.5962732919254659,0.06254121745715469,161.0,96.0,34.0,31.0
44,45,"It's a little quiet now, but this place really picks up around five o'clock.",1.5962732919254659,0.05935659292158819,161.0,91.0,44.0,26.0
45,46,Sorry for the wait. We're experiencing service delays.,1.59375,0.05834245773203111,160.0,89.0,47.0,24.0
46,47,"It's slow now, but by 8 this place will be like Grand Central Station.",1.59375,0.05834245773203111,160.0,89.0,47.0,24.0
47,48,"Visa, cash, or Metrocard.",1.5875,0.05973440956044174,160.0,92.0,42.0,26.0
48,49,"Yes, it's delivered fresh every five minutes.",1.5849056603773586,0.060713774965323875,159.0,93.0,39.0,27.0
49,50,This is the place where all the locals come.,1.5833333333333333,0.06165509694072613,156.0,92.0,37.0,27.0
50,51,The special tonight is running 10 minutes late.,1.5833333333333333,0.06232225898271921,156.0,93.0,35.0,28.0
51,52,We no longer take Metrocard.,1.5779220779220782,0.05955331814804157,154.0,88.0,43.0,23.0
52,53,"Yes, we accept Visa, MasterCard, and MetroCard.",1.5751633986928104,0.05987948743035704,153.0,88.0,42.0,23.0
53,54,"Technically speaking, they're all subway sandwiches.",1.5751633986928104,0.06129887143278654,153.0,90.0,38.0,25.0
