rank,funny,somewhat_funny,unfunny,count,score,precision,contest,caption
1,25,28,61,114,1.6842105263157894,0.07611489761628426,540,"I know a specialist, but he's in prison."
2,18,23,50,91,1.6483516483516483,0.08323969299130105,540,When was your last dial movement?
3,21,17,56,94,1.627659574468085,0.08554138429274818,540,I will need to see the family jewels at some point.
4,22,23,63,108,1.6203703703703705,0.07751505017232346,540,"Well, frankly, I think it's a combination of things..."
5,17,33,59,109,1.614678899082569,0.07128291024280159,540,I'll leave the room while you get unlocked.
6,17,26,57,100,1.6,0.07654139963827326,540,You're lucky someone was on the sidewalk to break your fall.
7,21,27,68,116,1.5948275862068966,0.07241647028677187,540,Are you having night deposits? Suspicious withdrawals?
8,17,25,58,100,1.59,0.07666666666666666,540,"Well, the family jewels are fine."
9,13,25,52,90,1.5666666666666667,0.07749189478779536,540,Maybe escape artist wasn't the best career choice for you.
10,11,30,52,93,1.5591397849462365,0.07246150594427025,540,Are you allergic to any explosives?
11,16,21,58,95,1.5578947368421052,0.07878669727256324,540,Well...it could be a combination of things.
12,11,30,53,94,1.553191489361702,0.07193285538902977,540,"In my medical opinion, it's a combination of things."
13,15,29,64,108,1.5462962962962963,0.07008902421353737,540,And now I'm afraid I'm going to have to check the family jewels.
14,16,30,68,114,1.543859649122807,0.06840652077575757,540,I'm going to refer you to a locksmith.
15,10,34,57,101,1.5346534653465347,0.06684451655294354,540,I'm referring you to a locksmith for a second opinion.
16,18,13,61,92,1.5326086956521738,0.08387857660404317,540,Let's talk about safe sex.
17,11,27,55,93,1.5268817204301075,0.0726693309578801,540,"The last time I saw you, you were just a piggy bank."
18,18,14,63,95,1.5263157894736843,0.08175305626699181,540,And how long have you felt you'd rather be sorry?
19,14,25,62,101,1.5247524752475248,0.07256824634379681,540,We need to get your numbers down.
19,13,27,61,101,1.5247524752475248,0.0711908040089012,540,I'd say it's a combination of things
21,12,22,54,88,1.5227272727272727,0.07747530150020544,540,When was your last fiscal?
22,14,22,60,96,1.5208333333333333,0.07547970371241941,540,...and have you been having safe sex?
23,16,22,66,104,1.5192307692307692,0.07355880582657691,540,Have you been engaging in any unsafe behaviors?
23,15,24,65,104,1.5192307692307692,0.07227856817373968,540,Okay. Time to examine the family jewels.
25,13,23,59,95,1.5157894736842106,0.07462209066620011,540,You sound like a million bucks.
26,11,22,53,86,1.5116279069767442,0.07713080907803256,540,"Well, I think we can rule out an iron deficiency."
27,14,20,60,94,1.5106382978723405,0.07674557652790939,540,Is that to my right or your right?
27,11,26,57,94,1.5106382978723405,0.07213557872773799,540,Your problem may be a combination of things.
29,15,21,64,100,1.51,0.07452882297839847,540,"Next time, warn your Mommy before you practice your magic act."
30,15,16,60,91,1.5054945054945055,0.08025238937804632,540,I'm also going to need a jewel sample.
31,12,28,63,103,1.5048543689320388,0.06881248631565717,540,Well it's probably a combination of things
31,16,20,67,103,1.5048543689320388,0.07413924675460869,540,"If you don't open up, I can't help you."
33,15,29,73,117,1.5042735042735043,0.06607153865654862,540,"When I told you to practice safe sex, I didn't mean it literally"
34,16,20,68,104,1.5,0.07358320748783083,540,I'm a bit concerned about the 1250 pounds for your 3' height.
34,14,33,75,122,1.5,0.06295139123842947,540,"Well, I'd say you have a combination of problems."
34,12,24,60,96,1.5,0.07254762501100116,540,I'd say you are suffering from a combination of things.
34,16,27,75,118,1.5,0.0667426772242434,540,The specialist you need is doing 5 to 10.
38,17,20,72,109,1.4954128440366972,0.07213064044988579,540,"Let's face it, Mr. Jenkins ... you're no Houdini."
39,12,24,61,97,1.4948453608247423,0.07198061878231413,540,The chart says you are a dorm room fridge. Tell me what happened.
40,13,34,75,122,1.4918032786885247,0.0618614532951334,540,I think you might be in need of a cash infusion.
41,16,26,76,118,1.4915254237288136,0.06673807856249378,540,It could be a combination of things.
42,10,27,59,96,1.4895833333333333,0.0694508403487402,540,Do you always feel bloated after a large deposit?
43,6,30,50,86,1.4883720930232558,0.06768436047525571,540,You have a combination of problems.
44,12,26,65,103,1.4854368932038835,0.06879905555797765,540,You've got a lot foreign deposits I'll need to remove.
45,12,23,62,97,1.4845360824742269,0.07196523666465109,540,You're suffering from a combination of things.
46,15,20,69,104,1.4807692307692308,0.07227856817373968,540,I think you're healthy enough to have safe sex.
47,8,32,60,100,1.48,0.06432242017658958,540,"Unfortunately, our specialist in this area is currently serving 10 years for burglary."
48,16,23,76,115,1.4782608695652173,0.0680420587019243,540,Spin clockwise and cough.
49,12,26,67,105,1.4761904761904763,0.06779526128971193,540,"Mr. and Mrs. Smith, please come out, that's not what I meant by ""safe sex""."
50,10,29,64,103,1.4757281553398058,0.06594602924304804,540,I'm afraid we'll need to open you up.
51,10,37,73,120,1.475,0.059128237411441194,540,Forgetting your combination is a normal part of aging.
52,13,30,75,118,1.4745762711864407,0.06335982017425042,540,Take 2 sticks of dynamite and see me in the morning
53,10,25,60,95,1.4736842105263157,0.06994175350336927,540,"Open wide, please."
54,10,24,59,93,1.4731182795698925,0.07104278690457831,540,Hmmm ... I'd say it's a combination of things.
55,15,28,80,123,1.4715447154471544,0.06357470987829901,540,And how are the family jewels doing?
56,14,21,69,104,1.4711538461538463,0.07094361692854002,540,"Yes, you are healthy enough for safe sex."
57,10,26,62,98,1.469387755102041,0.06834905282304886,540,It sounds like a combination of things.
58,7,38,66,111,1.4684684684684686,0.0583976874266129,540,I think it's a combination of things.
59,11,20,59,90,1.4666666666666666,0.07445180428336637,540,"It's no wonder you feel terrible. You're overweight, sedentary, and you keep everything locked up inside."
59,12,25,68,105,1.4666666666666666,0.0677566571708241,540,"Well, it appears to be a combination of things."
61,9,22,55,86,1.4651162790697674,0.07341144738394262,540,"Tell me, are you practicing safe sex?"
62,13,27,74,114,1.4649122807017543,0.06496009853524203,540,"Actually, it's a combination of things."
63,5,36,58,99,1.4646464646464648,0.05974095683833895,540,You have a combination of symptoms.
64,14,26,77,117,1.4615384615384615,0.0648497566910738,540,I'm assuming you practice safe sex?
65,18,22,86,126,1.4603174603174602,0.06536908026023491,540,"Relax; I said depository, not suppository."
66,13,23,71,107,1.4579439252336448,0.06807473285037238,540,I can't help you if you don't open up
67,12,28,74,114,1.456140350877193,0.06370581216925368,540,I assume you'll be paying for this visit in cash?
68,10,31,71,112,1.4553571428571428,0.061992330525169816,540,"Let me take a listen, it could be any combination of things."
69,10,25,64,99,1.4545454545454546,0.0677596356818118,540,Is money an issue?
70,11,27,70,108,1.4537037037037037,0.06496299138042354,540,I think you have a combination of ailments....
71,8,28,61,97,1.4536082474226804,0.06557408810055458,540,"Well, your numbers are good."
72,12,19,64,95,1.4526315789473685,0.07296077433700096,540,Now if you could just open wide.
73,12,27,74,113,1.4513274336283186,0.06408841282986728,540,How long has it been since your last fiscal examination ?
74,5,31,55,91,1.4505494505494505,0.06302069792705221,540,The problem is you're keeping everything locked up inside.
75,9,26,63,98,1.4489795918367347,0.06666351784700711,540,Just as I thought--it's a combination of things.
75,13,18,67,98,1.4489795918367347,0.07270212070247647,540,"Of course, it could be a combination of things."
77,11,30,75,116,1.4482758620689655,0.06164271429632317,540,You must avoid crackers
78,8,27,61,96,1.4479166666666667,0.0660106843868201,540,"Worst case scenario, we'll have to open you up."
78,12,19,65,96,1.4479166666666667,0.07235055933213312,540,You can come out now. The election is over.
80,10,27,68,105,1.4476190476190476,0.0648765415041297,540,"I can help you, but you need to open up"
81,10,18,57,85,1.4470588235294117,0.07578881603955955,540,I think we need to talk about safe sex.
82,7,30,62,99,1.4444444444444444,0.06294861215349853,540,I can't tell exactly what's wrong-- it could be a combination of things.
83,9,37,78,124,1.4435483870967742,0.05645161290322582,540,Your case is going to be a tough one to crack.
84,12,15,61,88,1.4431818181818181,0.07727387976274983,540,I believe we'll find it's a combination of things.
85,10,22,63,95,1.4421052631578948,0.06973921904292898,540,"Well, it certainly sounds like an unhealthy combination."
86,18,17,85,120,1.4416666666666667,0.06777354917852516,540,Are you practicing safe sex?
87,12,25,74,111,1.4414414414414414,0.06486258982269294,540,We may have to open you up.
88,9,27,66,102,1.4411764705882353,0.06471647078082306,540,Turn left to 52 and cough.
89,10,21,62,93,1.4408602150537635,0.0708301895593604,540,"I cant help, if you don't open up."
90,7,38,73,118,1.4406779661016949,0.05586346022947444,540,Can you describe the spinning sensations?
90,17,18,83,118,1.4406779661016949,0.06759712793641605,540,"Well, you seem perfectly fine. I only wish I could say the same about that coyote you landed on."
92,10,28,71,109,1.4403669724770642,0.06309385576123867,540,Stay away from crackers.
93,12,27,77,116,1.4396551724137931,0.06278015842104537,540,I have a combination therapy I'd like to prescribe for you
94,12,19,67,98,1.4387755102040816,0.07115755141972316,540,It sounds like it may be a combination of things.
