rank,funny,somewhat_funny,unfunny,count,score,precision,contest,caption
1,77,99,280,456,1.5548245614035088,0.035848078885872686,559,"I can't believe my eye!
"
2,100,70,317,487,1.5544147843942504,0.03678758539110307,559,"Good Riddance, Mankoff, you fancy bastard.
"
3,60,88,303,451,1.4611973392461197,0.03381550405575088,559,"Let's just shoot the next one.
"
4,43,108,287,438,1.4429223744292237,0.0318423309858875,559,"He is part of our catch and release program.
"
5,62,87,328,477,1.4423480083857443,0.032624497135173965,559,"Perfect execution.
"
6,41,117,298,456,1.4364035087719298,0.030590526713849504,559,"I think Long John just earned the silver.
"
7,48,91,292,431,1.4338747099767981,0.033003356596200566,559,"I'll be even more annoyed if he can swim.
"
8,62,73,334,469,1.420042643923241,0.03294644531955626,559,"At least his execution is flawless.
"
9,40,100,301,441,1.4081632653061225,0.031004835028089362,559,"I think we just shoot them from now on
"
10,44,101,320,465,1.4064516129032258,0.030459696770810403,559,"O.K., that's it! We're going back to cruel and unusual!
"
11,49,93,330,472,1.4046610169491525,0.030859506202246544,559,"I said prepare to die, not prepare to dive!
"
12,47,74,310,431,1.3897911832946637,0.03256305027267881,559,"Beautiful execution.
"
13,55,63,331,449,1.3853006681514477,0.032795120479545956,559,"Very bad dive. Very bad. If I walked the plank it would be much better. It would be the best plank walk. He's a loser at dying. Sad. Very sad.
"
14,41,92,325,458,1.3799126637554586,0.030120775595968645,559,"If he adds a twist and nails the entry, I say we fish him out again.
"
15,36,94,309,439,1.3781321184510251,0.030188045770672717,559,"And that, me boys, is grace under pressure.
"
16,36,98,319,453,1.3752759381898454,0.029501173883820037,559,"I'm going to miss his optimism.
"
17,45,81,332,458,1.3733624454148472,0.030691144418295443,559,"Talk about a perfect execution.
"
18,44,86,339,469,1.371002132196162,0.029992620615281424,559,"Nice dive. Now lets see if he can swim 2,000 miles.
"
19,42,89,339,470,1.3680851063829786,0.02961450492793188,559,"Another flawless execution!
"
20,39,86,322,447,1.366890380313199,0.0302003204866038,559,"I like to call this the elimination round.
"
21,41,88,336,465,1.3655913978494623,0.029663283269569102,559,"Technically, he's flawless, but I'm still deducting 2 points for mutiny.
"
22,40,90,336,466,1.3648068669527897,0.02945368649980423,559,"Great execution.
"
23,39,92,341,472,1.3601694915254237,0.028985012093992835,559,"Superb execution.
"
24,38,83,321,442,1.3597285067873304,0.030202251329539735,559,"You know, that's exactly the kind of attitude that made this necessary in the first place.
"
25,38,88,332,458,1.3580786026200873,0.02942918591798833,559,"Outstanding execution.
"
26,38,94,344,476,1.3571428571428572,0.02862666045860829,559,"He's taking it better than I expected.
"
27,36,81,314,431,1.3549883990719258,0.030347790228944894,559,"Nobody walks anymore.
"
28,37,91,337,465,1.3548387096774193,0.028919775507148728,559,"""Who told him to take a flying leap""?
"
29,32,93,318,443,1.3544018058690745,0.02906034803058596,559,"Sometimes you don't really get to know someone until it's too late.
"
30,34,90,322,446,1.3542600896860986,0.029269236304194677,559,"They don't call him Jolly Roger for nothing.
"
31,42,75,334,451,1.352549889135255,0.03035022373794887,559,"I guess when we go low, he goes high.
"
32,42,83,350,475,1.351578947368421,0.02922390272179643,559,"That's going overboard.
"
33,39,75,322,436,1.3509174311926606,0.030575832626386645,559,"Brilliant execution!
"
34,39,82,335,456,1.3508771929824561,0.02960602181121362,559,"It's about the journey, not the destination.
"
35,35,81,316,432,1.349537037037037,0.030057868927885534,559,"'That, me hearties, is panache.""
"
36,43,70,339,452,1.345132743362832,0.030381229601159365,559,"Nice execution!
"
37,39,78,336,453,1.3443708609271523,0.029672437433063567,559,"That's the last time we raid a Cirque du Soleil cruise.
"
38,42,76,349,467,1.342612419700214,0.029484143913231023,559,"You can always tell the ones from Penzance.
"
39,39,78,345,462,1.3376623376623376,0.029178099690646286,559,"Now that's what I call a perfect execution.
"
40,39,82,355,476,1.3361344537815125,0.0285440980711749,559,"Now, that's a perfect execution.
"
41,33,86,335,454,1.3348017621145374,0.028505217815171784,559,"Well, that's a perfect execution!
"
42,28,82,310,420,1.3285714285714285,0.029064391447164613,559,"That's going a bit overboard.
"
43,37,74,340,451,1.328159645232816,0.029232809386786858,559,"I'll give him a 10 for execution.
"
44,32,91,350,473,1.3276955602536997,0.027448632068772783,559,"Oh, to have two legs again.
"
45,30,89,336,455,1.3274725274725274,0.02784880525167724,559,"He always had a flair for execution.
"
46,31,83,331,445,1.3258426966292134,0.028434969128216477,559,"This is the last time we take over a ship from Cirque du Soleil.
"
