rank,funny,somewhat_funny,unfunny,count,score,precision,contest,caption
1,1672,1160,2004,4836,1.9313482216708022,0.01249959067879765,560,That's Bob Mankoff. He used to be the cartoon editor of the New Yorker.
2,1447,1343,1924,4714,1.898812049215104,0.012229374260511298,560,He got the cave but she got the wheel and the fire.
3,727,582,1018,2327,1.8749462827675119,0.01776717355953535,560,He got the man cave in the divorce.
4,1056,1377,2097,4530,1.7701986754966887,0.011917300235100204,560,I couldn't afford that place if I lived to be 30.
5,926,1303,1892,4121,1.7655908760009706,0.012354659616733628,560,So this is how the 1% live.
6,945,1188,1938,4071,1.7560795873249815,0.0126246379828052,560,I invented fire. He invested in it.
7,818,1166,1789,3773,1.7426451099920488,0.012869466191397644,560,She left him for a guy with wheels.
8,691,1129,1690,3510,1.7153846153846153,0.013047272067504417,560,It makes our place look like a pit.
9,783,1145,1922,3850,1.7041558441558442,0.012641237804585285,560,It looks pricey - they have a doorman.
10,655,1023,1775,3453,1.6756443672169128,0.013167620946973485,560,He comes from prehistoric money.
11,288,210,690,1188,1.6616161616161615,0.024435129826374923,560,I knew he'd cave!
12,615,1005,1763,3383,1.6606562222879102,0.013183105208049361,560,I never thought of digging sideways...
13,611,1009,1962,3582,1.6228364042434393,0.012683299043228657,560,Why can't I have a man cave?
14,460,698,1505,2663,1.6075854299662036,0.014810351368956207,560,Wait til the bear wakes up.
15,369,633,1290,2292,1.5981675392670156,0.015667216089239853,560,He drew on the walls so we're keeping the security deposit.
16,420,797,1539,2756,1.5939767779390421,0.014077281065858357,560,Do you think your Dad's been waiting there all night?
17,335,644,1297,2276,1.577328646748682,0.015383684504292276,560,"Sure our place is a pit, but his is a hole in the wall."
18,233,394,926,1553,1.5537669027688346,0.018776587878598646,560,Should we tell him about the bear?
19,273,412,1065,1750,1.5474285714285714,0.017889670937459103,560,He'll be there forever. It's rent controlled.
20,219,400,926,1545,1.5423948220064725,0.018557043840542343,560,"He had a place like ours, but people kept dropping in."
21,213,408,946,1567,1.532227185705169,0.018236744170118297,560,I told you we had the instructions upside down!
22,172,450,875,1497,1.5303941215764862,0.01789132965531276,560,He may be on to something. He looks dry.
23,185,364,844,1393,1.5269203158650395,0.019232565619615675,560,And I heard the kitchen has granite counter tops.
24,174,344,809,1327,1.5214770158251696,0.019645892433896,560,He just came out as homo sapien
25,147,305,717,1169,1.51240376390077,0.02071791860259037,560,"The artists move in, the rents go up, and we end up living in some hole."
26,131,235,605,971,1.5118434603501545,0.023146433343002044,560,Getting past the guard is easy. How do we remove the paintings?
27,134,332,707,1173,1.5115089514066495,0.020202505976337867,560,His place really is a hole in the wall.
28,129,309,677,1115,1.5085201793721974,0.02078611134053777,560,"He says he's ""waiting for inspiration"" but I think he's just gonna paint another bison."
29,130,243,631,1004,1.500996015936255,0.022526447320691156,560,"You know what? ""Cave Man"" does have a better ring to it than ""Hole Man""..."
30,123,250,622,995,1.4984924623115579,0.02236594107466918,560,"No, THIS is a manhole. That's a man cave."
31,142,189,624,955,1.4952879581151832,0.02395313373961228,560,He'll never move. It's rent-controlled.
32,146,168,617,931,1.4940923737916219,0.02461764263594795,560,The real fun starts when the bear wakes up!
33,96,246,551,893,1.490481522956327,0.022829917966803517,560,We've got to move out of your parents' basement.
34,105,219,551,875,1.4902857142857142,0.023675573075906953,560,Very nice. Makes our place look like a hole in the ground.
35,133,173,592,898,1.4888641425389755,0.024673787000166984,560,"He'll never leave, it's rent controlled."
36,138,157,592,887,1.488162344983089,0.025163597617319323,560,We'll see who's laughing when the bears come back
