rank,original,somewhat_original,unoriginal,count,score,precision,contest,caption
1,69,70,45,184,2.130434782608696,0.05738147608020176,560,I invented fire. He invested in it.
2,45,48,36,129,2.0697674418604652,0.06976744186046513,560,He comes from prehistoric money.
3,54,32,45,131,2.068702290076336,0.07600633506885923,560,Getting past the guard is easy. How do we remove the paintings?
4,34,39,31,104,2.0288461538461537,0.07784524724430536,560,"The artists move in, the rents go up, and we end up living in some hole."
5,28,29,29,86,1.9883720930232558,0.08829465971818513,560,He booked it on Lairbnb.
6,21,26,22,69,1.9855072463768115,0.09571544576085309,560,Don't forget to walk upright when I introduce you. Dad is kind of racist.
7,27,30,29,86,1.9767441860465116,0.0874892906263077,560,"He won""t be smiling when the 9:15 comes through."
8,21,28,25,74,1.945945945945946,0.09206160689376564,560,I couldn't afford that place if I lived to be 30.
9,21,22,26,69,1.9275362318840579,0.09969869479648155,560,"I'd yell ""fire"", but I don't think he knows what that is yet."
10,25,13,30,68,1.9264705882352942,0.10950478453510203,560,I hear he once was Caption Editor for the New Yorker.
11,13,32,19,64,1.90625,0.08830061725682617,560,I like the idea. The stairs are killing me.
12,12,24,17,53,1.9056603773584906,0.10174155104976422,560,It's that less primitive than thou attitude that gets me.
13,18,20,24,62,1.903225806451613,0.10465040241804378,560,She got the wheel and fire. All he got was the cave.
14,17,20,23,60,1.9,0.10549854739675263,560,Well... Cavebnb gave it great reviews..
15,17,19,23,59,1.8983050847457628,0.10728822330738023,560,He drew on the walls so we're keeping the security deposit.
16,18,16,25,59,1.88135593220339,0.11100925283729708,560,He went straight from hunting and gathering to border patrol.
16,20,12,27,59,1.88135593220339,0.11615490212377064,560,"He's in line for tickets to Hamilton. It opens in 500,000 years."
16,19,14,26,59,1.88135593220339,0.11361121314130417,560,"I suckled at the breast of an ancient she-ghoul. He drank chocolate milk out of a garden hose. And now look at him, sitting there with his arms folded. As if he invented caves. Nobody did. They happen naturally, when ground-salt erodes the bedrock."
19,13,25,20,58,1.8793103448275863,0.09862204340404065,560,It's been one thing after another since he started walking upright.
20,15,20,22,57,1.8771929824561404,0.10640566273360291,560,"He says he's ""waiting for inspiration"" but I think he's just gonna paint another bison."
21,10,27,17,54,1.8703703703703705,0.09548250448475284,560,We can either tunnel further or pay the cover charge.
22,13,19,21,53,1.849056603773585,0.10908055642663461,560,Apparently Kevin is neither a hunter nor a gatherer.
22,15,15,23,53,1.849056603773585,0.11554196899920649,560,"Jeez, I hate stakeouts."
24,16,12,24,52,1.8461538461538463,0.12090849969128858,560,he'll never expect us to attack from his bathroom
24,15,14,23,52,1.8461538461538463,0.11774853495745494,560,We're a nation of caves and cave nots.
24,13,18,21,52,1.8461538461538463,0.11115944340758595,560,Should we tell him that it's just an allegory?
24,9,26,17,52,1.8461538461538463,0.09664279904265467,560,The doorman is a nice touch but the lobby art was a little too primitive.
24,12,20,20,52,1.8461538461538463,0.10771385261753923,560,Oooohhh...I love his feng shui!
24,13,18,21,52,1.8461538461538463,0.11115944340758595,560,So that's what retired cartoon editors do.
30,17,8,25,50,1.84,0.1289201619734683,560,"You're right, I think that is Bob Mankoff!"
