rank,caption,score,precision,count,unfunny,somewhat_funny,funny,contest
1,"When he starts acting like a king, I'll start acting like a guard.",1.949481865284974,0.009911184884591652,6176.0,2037.0,2414.0,1725.0,580
2,I'm swinging in the reign.,1.905344113587064,0.011199143118069169,5071.0,1875.0,1801.0,1395.0,580
3,I kind of like it when he's away on the Crusades.,1.871825634873025,0.01048101325971656,5001.0,1735.0,2172.0,1094.0,580
4,"Technically, I'm guarding two posts.",1.8689320388349515,0.010906922077191385,5150.0,1959.0,1907.0,1284.0,580
5,"No, I will not push you again.",1.8644382544103992,0.01653811419330704,2154.0,800.0,846.0,508.0,580
6,Wake me when things are great again.,1.863953226894536,0.011777963453781362,4447.0,1715.0,1622.0,1110.0,580
7,"How he ever produced heirs in this thing, I don't know.",1.839388145315488,0.01950039400966468,1569.0,614.0,593.0,362.0,580
8,It's a gift from King Hammacher of Schlemmer.,1.8375026277065376,0.011540912249085643,4757.0,1956.0,1618.0,1183.0,580
9,I'm just swinging in the reign.,1.8222730739893207,0.015378032716693885,2622.0,1087.0,914.0,621.0,580
10,Don't worry. He's never here. He thinks the palace is a dump.,1.791,0.014592981057452206,3000.0,1337.0,953.0,710.0,580
11,Wait! Did he tell me to take the hammock or the hemlock?,1.7858301784748514,0.012512296002603136,3698.0,1551.0,1388.0,759.0,580
12,I've been suspended.,1.7825311942959,0.011957157322843779,3927.0,1622.0,1537.0,768.0,580
13,"He said one knight stand, didn’t he?",1.7732949087415946,0.012544774311455993,4164.0,1943.0,1222.0,999.0,580
14,Nighty knight.,1.7704918032786885,0.01835279865706415,1708.0,732.0,636.0,340.0,580
15,"Dude, it's a hundred years war.",1.764676113360324,0.012462558539074364,3952.0,1787.0,1308.0,857.0,580
16,"I'm telling you, 'standing guard' is just an expression.",1.7555831265508686,0.013049241879375218,3224.0,1375.0,1262.0,587.0,580
17,One trip to Spain and you're all about the siesta.,1.745049504950495,0.018330868793173333,1616.0,697.0,634.0,285.0,580
18,That was one helluva' party. Where'd we leave the King?,1.7407407407407407,0.018840511624145486,1647.0,750.0,574.0,323.0,580
19,Just tell me if you hear the drawbridge.,1.7346938775510203,0.018604109424071542,1519.0,654.0,614.0,251.0,580
20,I was sentenced to hang.,1.728143342601174,0.013133345381220006,3237.0,1463.0,1191.0,583.0,580
21,I shall not be swayed!,1.7200861273454322,0.013020611363112106,3251.0,1478.0,1205.0,568.0,580
22,Me? I'm the Court Rester.,1.71843853820598,0.02143603727400095,1204.0,550.0,443.0,211.0,580
23,"It's fine, he'll be watching Fox for at least the next hour.",1.711645101663586,0.013731529908798666,3246.0,1596.0,990.0,660.0,580
24,Just swing in' in the reign!,1.6974760042659085,0.01446701391937221,2813.0,1382.0,900.0,531.0,580
25,Stop worrying. He doesn't care about hard work. He just expects loyalty.,1.6944045911047343,0.020142137269281518,1394.0,672.0,476.0,246.0,580
26,This time rock me with the blunt end.,1.6888888888888889,0.014019659901579672,3060.0,1544.0,924.0,592.0,580
27,That's not what the king meant when he asked you to work the swing shift.,1.6867184859749915,0.013404046207726202,2959.0,1395.0,1096.0,468.0,580
28,"It's a nice perk, I agree...but I'd prefer health insurance.",1.6841755319148937,0.018443998051920936,1504.0,697.0,585.0,222.0,580
29,"No, all he said was ""no sitting on my throne while I'm gone""",1.6681534344335416,0.015306259885066481,2242.0,1084.0,818.0,340.0,580
30,I've got the knight shift.,1.660105980317941,0.02041013287411205,1321.0,664.0,442.0,215.0,580
