,target_id,mean,precision,count,score,caption,contest,funny,somewhat_funny,unfunny,rank
0,3875,1.9661845589733145,0.01139856545333924,4909,1.9661845589733145,"He did my summer cave in Lascaux, too.",590,1485,1773,1651,1
1,2916,1.9631928097581848,0.01158008351803897,4673,1.9631928097581848,"Well, he can kiss his security deposit goodbye.",590,1381,1739,1553,2
2,5729,1.9435005117707267,0.011405102584496564,4884,1.9435005117707267,"Sure, drawing it is the easy part, it's the caption that's tough.",590,1421,1766,1697,3
3,3381,1.9411764705882355,0.012979334593823085,3604,1.9411764705882355,It will be worth even more when he's extinct.,590,994,1404,1206,4
4,2329,1.921576354679804,0.0109787457435085,5074,1.921576354679804,"The way he tells it, we come out looking like a couple of Neanderthals.",590,1368,1940,1766,5
5,5769,1.9119365609348915,0.0158103611499895,2396,1.9119365609348915,"We're totally taking credit for this later, right?",590,621,943,832,6
6,5403,1.9086503948313,0.010711357815230776,5571,1.9086503948313,"No one will believe this, not in a million years.",590,1549,1964,2058,7
7,4183,1.8990501435829468,0.01166260360814,4527,1.8990501435829468,YOU tell him not to write on the walls.,590,1188,1694,1645,8
8,218,1.8988740174208625,0.011856370495400257,4707,1.8988740174208625,Will the day ever come when you can just have a meal without posting it?,590,1343,1545,1819,9
9,3399,1.8969072164948453,0.020961358534959274,1456,1.8969072164948453,Nobody would believe that in a million years.,590,398,510,548,10
10,4290,1.8962541314726404,0.010553001450908898,5446,1.8962541314726404,I get he's an artist. It's the 'in residence' part I'm not comfortable with.,590,1398,2085,1963,11
11,3963,1.882757226601981,0.011403863787698715,4947,1.882757226601981,You distract him with gentle criticism about his use of perspective and meager color palette while I club him from behind.,590,1335,1697,1915,12
12,2392,1.861618297136268,0.011530297968187286,5203,1.861618297136268,It's a New Yorker cartoon. Just laugh and act like you get it.,590,1489,1505,2209,13
13,4792,1.8592375366568916,0.015766117961444923,2388,1.8592375366568916,"If that's a menu, we're in trouble.",590,564,924,900,14
14,1082,1.8404255319148937,0.013411163578253815,3290,1.8404255319148937,Face it. You are that hairy.,590,752,1260,1278,15
15,5241,1.8368421052631576,0.0122041202562496,4180,1.8368421052631576,They're not going to believe this in a million years!,590,1015,1467,1698,16
16,234,1.835518474374255,0.011755947371777035,4196,1.835518474374255,"For our sake, I hope he's not a starving artist.",590,928,1650,1618,17
17,2526,1.833711949114039,0.016176728406533076,2201,1.833711949114039,"I don't know, it seems primitive to me.",590,481,873,847,18
18,1584,1.832824760244115,0.011309500687257749,4589,1.832824760244115,If it's a grocery list we're in trouble,590,1027,1768,1794,19
19,1699,1.8177387914230017,0.012285844908288738,4104,1.8177387914230017,Still want to brag about your handprint?,590,965,1426,1713,20
20,45,1.8161820480404551,0.012440814004661686,3956,1.8161820480404551,"They go extinct, we take the credit, no one's the wiser.",590,914,1401,1641,21
21,5025,1.8139927623642944,0.0120945171895317,4146,1.8139927623642944,"Let's see--the specials today are bison, fish, and...uh-oh.",590,943,1489,1714,22
22,4241,1.8120048019207684,0.011979318581206615,4164,1.8120048019207684,You go first; I'm the gatherer.,590,926,1529,1709,23
23,3302,1.811023622047244,0.016234130792523036,2160,1.811023622047244,I prefer his Paleolithic period.,590,449,854,857,24
24,1529,1.8103744417725869,0.014283851331987524,2912,1.8103744417725869,"As long as they don't find out he invented the wheel, we're fine.",590,641,1078,1193,25
25,1326,1.8032624814631733,0.012263618320921115,4046,1.8032624814631733,Why does he have to post everything he does to his wall?,590,911,1428,1707,26
26,3424,1.8001684565171614,0.011174047615108571,4749,1.8001684565171614,"Sure he can draw, but can he do captions?",590,1028,1744,1977,27
27,5520,1.7815309180059928,0.013036841750782508,3672,1.7815309180059928,"He calls it, 'The Last Supper.'",590,832,1206,1634,28
28,5702,1.7774122807017545,0.012845397975979871,3648,1.7774122807017545,"If you ask me, his Jurassic period was better",590,782,1272,1594,29
29,946,1.7704491725768319,0.012185228768934738,4230,1.7704491725768319,They'll never believe this in a million years!,590,954,1351,1925,30
30,3261,1.769109535066982,0.02166623345731124,1269,1.769109535066982,"You were supposed to teach him 'fetch,' not 'sketch'.",590,265,446,558,31
31,3328,1.764863957003695,0.014191908647982813,2978,1.764863957003695,He changes the menu daily. It's all locally sourced.,590,625,1028,1325,32
32,1086,1.7623557265463154,0.013362768958892072,3379,1.7623557265463154,Liberal arts are a dead end. The future is hunting and gathering.,590,713,1150,1516,33
33,786,1.7599382477807797,0.014753470385886085,2591,1.7599382477807797,They say his art will be worth a lot more after he's extinct.,590,494,981,1116,34
34,4660,1.75650249031544,0.017876203249140615,1807,1.75650249031544,The worst part is someday they'll say we did that.,590,355,657,795,35
35,697,1.750217076700434,0.013304750201771505,3455,1.750217076700434,Paints like Picasso but tastes like chicken.,590,732,1127,1596,36
36,4053,1.7450394128839362,0.013020014390241513,3680,1.7450394128839362,They'll never believe this! Not in a million years!,590,798,1146,1736,37
37,1971,1.7393068997814551,0.013697763261364682,3203,1.7393068997814551,"You know, once those pictures get posted they're there forever...",590,654,1061,1488,38
38,5572,1.735059760956175,0.022952815778639,1004,1.735059760956175,His technique is really evolving.,590,167,403,434,39
39,3737,1.7339667458432304,0.015037278518945126,2527,1.7339667458432304,"He knows he's going to lose his security deposit, right?",590,475,905,1147,40
40,1278,1.7310901749663523,0.012742611944294506,3715,1.7310901749663523,First he invents the wheel; now this. It's embarrassing.,590,755,1206,1754,41
41,4618,1.7310240963855419,0.013622387499775065,3320,1.7310240963855419,"Let me guess, you didn't invent the wheel either.",590,696,1035,1589,42
42,5120,1.7159487776484283,0.014977111928011069,2578,1.7159487776484283,"Yeah, but it makes the room look dated.",590,483,880,1215,43
43,4709,1.7147461724415791,0.014529950515908304,2482,1.7147461724415791,His work is still evolving...,590,397,980,1105,44
44,1038,1.7101952277657266,0.015344388596028637,2305,1.7101952277657266,"Just remember, he doesn't do well with criticism.",590,388,861,1056,45
45,2123,1.7058426207362378,0.013889276948105858,2961,1.7058426207362378,Think how much they'll be worth when he's extinct.,590,538,1014,1409,46
46,3145,1.7014358108108107,0.015478693601595829,2368,1.7014358108108107,And this is the drawing room.,590,424,814,1130,47
47,541,1.6986863711001643,0.015157711660251726,2436,1.6986863711001643,Critics are calling his work 'evolutionary.',590,425,852,1159,48
48,4892,1.6974708171206223,0.0164392748675247,2056,1.6974708171206223,"He's not extinct, but he is passé.",590,354,726,976,49
49,6030,1.6884589726484325,0.020103379354523332,1499,1.6884589726484325,"OK, now you’ve seen the underground scene. Want to go clubbing?",590,293,446,760,50
50,5569,1.6860330896498654,0.015086426694997344,2600,1.6860330896498654,"No, YOU tell him not to draw on the walls.",590,489,806,1305,51
51,4544,1.6844181459566074,0.019747014859450532,1521,1.6844181459566074,"That's definitely Skrag on the bottom, so we can stop searching for him.",590,286,468,767,52
52,1160,1.6830937713894594,0.019490096591078976,1461,1.6830937713894594,We have to seriously step it up if we want to become the dominant species.,590,247,504,710,53
53,4314,1.682498373454782,0.018557887781626408,1537,1.682498373454782,The upside is after he's extinct they'll be priceless.,590,240,569,728,54
54,490,1.6732588134135855,0.015644966157143912,2326,1.6732588134135855,I love his whimsical juxtaposition of Jurassic and Pleistocene species,590,406,754,1166,55
55,1119,1.6727178423236515,0.017014053664790228,1928,1.6727178423236515,They say talent like his only comes around every billion years or so.,590,326,646,956,56
56,3757,1.6720458094742319,0.016803206593192246,1921,1.6720458094742319,Somehow it's primitive yet derivative.,590,309,673,939,57
57,1960,1.6697121973503883,0.016336280919154716,2189,1.6697121973503883,"I never knew they had such sensitive, intelligent souls. You want the white meat or the dark?",590,397,672,1120,58
58,5795,1.6616915422885572,0.02182109311897128,1206,1.6616915422885572,He's a great artist but he also ate my wife so...my opinion is mixed.,590,211,376,619,59
59,5814,1.658504301786896,0.01953599640835571,1512,1.658504301786896,I've never seen a crayonasaurus rex in action!,590,266,464,782,60
60,445,1.6571271326362136,0.017688318582936853,1818,1.6571271326362136,"Draws like Picasso, but tastes like chicken.",590,312,571,935,61
61,4506,1.6566347469220246,0.01620566318760044,2193,1.6566347469220246,They won't believe this in a million years.,590,384,672,1137,62
62,2297,1.6510560146923785,0.01613112599134269,2179,1.6510560146923785,The moment he goes extinct the value will triple,590,370,679,1130,63
63,300,1.6460234680573664,0.019176606595748127,1534,1.6460234680573664,But is it art?,590,257,477,800,64
64,2205,1.6442748091603054,0.01660694792433268,1965,1.6442748091603054,"Normally, I would just bludgeon and eat him but I'm dying to see how the story ends.",590,307,652,1006,65
65,1180,1.6434108527131783,0.019821646349841373,1420,1.6434108527131783,Of course he agreed to a 50% commission. He's got a brain the size of a walnut.,590,233,448,739,66
66,1882,1.635743519781719,0.018977575289087768,1466,1.635743519781719,Imagine what he could do if he had thumbs.,590,217,498,751,67
67,4988,1.6345628415300546,0.019199102331125862,1464,1.6345628415300546,We are SO not that hairy... but those long pointy stick things seem like a great idea,590,225,479,760,68
68,521,1.6338736724427054,0.01694246911771758,1790,1.6338736724427054,"Me, not so much, but he really nailed you.",590,252,631,907,69
69,1483,1.633587786259542,0.01938225898861964,1442,1.633587786259542,"When he's extinct, they'll be worth a fortune.",590,223,468,751,70
70,3452,1.6318096430807765,0.018416818986647984,1598,1.6318096430807765,I'm worried it might be a menu.,590,247,516,835,71
71,4874,1.6286353467561518,0.017255943327628247,1788,1.6286353467561518,"Uh oh, I think that's his grocery list.",590,267,590,931,72
72,2618,1.6237437185929648,0.018411726193304945,1592,1.6237437185929648,I'm more concerned about him standing on two feet.,590,242,508,842,73
73,2616,1.62273276904474,0.026014513207567008,827,1.62273276904474,"If the dinosaurs keep up this whole ""art as a career"" thing, they'll be wiped out in no time.",590,134,247,446,74
74,3401,1.6216897856242118,0.018710204493556704,1587,1.6216897856242118,They'll never guess this in a million years.,590,254,479,854,75
75,5329,1.621602787456446,0.019110529716759847,1435,1.621602787456446,Looks a little primitive if you ask me.,590,207,478,750,76
76,273,1.621536523929471,0.018360270938883143,1588,1.621536523929471,I much prefer his Jurassic Period.,590,238,511,839,77
77,1857,1.621384750219106,0.021997904101804588,1142,1.621384750219106,"Oh no, you go first - I’m not the one who wrote his last show was “primitive deconstruction fit only for the reptilian brain.”",590,181,348,613,78
78,410,1.6179146256123162,0.01920166121876257,1430,1.6179146256123162,Pre-modernism.,590,208,468,754,79
79,1077,1.6170212765957446,0.025383112860652958,799,1.6170212765957446,I prefer his earlier work.,590,111,271,417,80
80,3087,1.6168478260869563,0.01961267159979464,1473,1.6168478260869563,No one's gonna believe us in a million years!,590,243,423,807,81
81,4801,1.6131597975415763,0.01973027661222255,1383,1.6131597975415763,"Look, if 'you could do that' you would have done it, okay?",590,208,432,743,82
82,4075,1.6128571428571428,0.01860783963327588,1400,1.6128571428571428,"Not yet, I want to see how he ends it.",590,173,512,715,83
83,2993,1.6108228317272053,0.02010012577134545,1349,1.6108228317272053,When he's extinct we can take credit for this.,590,207,410,732,84
