,Unnamed: 0,target_id,mean,precision,count,score,caption,contest,funny,somewhat_funny,unfunny,rank
0,0,1287,2.0122547332185885,0.006904107195754211,14525,2.0122547332185885,"In retrospect, I should have been more specific when I told the genie I wanted to be in a rock group and have women climbing all over me.",629,5118,4467,4940,1
1,1,565,1.8545953360768173,0.01411849232094524,2916,1.8545953360768173,My therapist said I should try to be a little boulder.,629,666,1160,1090,2
2,2,1211,1.853010164190774,0.007582390503279009,11511,1.853010164190774,What makes this worse is that there is a racket ball court on the other side,629,3087,3645,4779,3
3,3,4189,1.8312488990664084,0.009914400498575742,5677,1.8312488990664084,No matter what I say I end up with a foot in my mouth.,629,1185,2348,2144,4
4,4,226,1.812380750476998,0.007932641410710947,9434,1.812380750476998,Be sure to tell your friends you climbed the face of Everett.,629,2081,3502,3851,5
5,5,2343,1.790746900514061,0.012963113530817541,3307,1.790746900514061,Go ahead. Use me to get to the top.,629,645,1325,1337,6
6,6,943,1.7835882031676682,0.008750704029399661,7324,1.7835882031676682,"...and then for my third wish I said, 'I want women climbing all over me!'",629,1433,2874,3018,7
7,7,205,1.7591302870732122,0.009997631160773743,5887,1.7591302870732122,I'm lucky! Most geologists don't find a job in their field right out of college.,629,1194,2082,2612,8
8,8,1075,1.7564336372847011,0.0106103532475676,4935,1.7564336372847011,It's not a career.  It's just a stepping stone.,629,916,1901,2118,9
9,9,170,1.75606701111633,0.010142671536667687,6387,1.75606701111633,"I was desperate. It was this, or White House press secretary.",629,1509,1811,3067,10
10,10,3616,1.7519511849013765,0.009351730687220243,7047,1.7519511849013765,"For the record, I was opposed to the wall.",629,1514,2271,3262,11
11,11,576,1.7449094597640695,0.007369450781544831,13309,1.7449094597640695,"So it’s more than a flesh wound, but I’m still a head.",629,3545,2824,6940,12
12,12,2783,1.7266706803130645,0.010762828164159284,4983,1.7266706803130645,"It's not so bad, my brother's a speed bump.",629,943,1735,2305,13
13,13,751,1.7198697068403908,0.010031464716337457,5526,1.7198697068403908,Sorry I’ve been so hard to get a hold of,629,979,2020,2527,14
14,14,1535,1.712735326688815,0.011210643702990592,4515,1.712735326688815,I wouldn't. It's a toupee.,629,819,1581,2116,15
15,15,3143,1.712,0.017486936731266854,1875,1.712,You'd be even more surprised if you were climbing in the room behind me.,629,345,645,885,16
16,16,1301,1.7082942830365508,0.011235167707421192,4268,1.7082942830365508,They said they needed someone to fill an opening .....,629,708,1606,1954,17
