caption,count,funny,precision,rank,score,somewhat_funny,target_id,unfunny,contest
Still got that new cat smell.,327,58,0.042435217291485784,1,1.6330275229357798,91,163,178,640
My other cat is a Jaguar.,328,70,0.04499259770419771,2,1.6219512195121952,64,1176,194,640
I just love that new cat smell.,312,48,0.04219016697770967,3,1.5641025641025639,80,885,184,640
It's a rental. The jaguar's in the shop.,336,59,0.04224989068149848,4,1.556547619047619,69,4413,208,640
It's a Furrari.,341,55,0.040931698633214116,5,1.5542521994134897,79,2654,207,640
"Trump was right.  If you're rich, they just let you grab 'em.",343,66,0.042985465146673216,6,1.553935860058309,58,4420,219,640
Best part is it’s self washing.,334,49,0.040288330293264084,7,1.5538922155688624,87,721,198,640
"Statistically, it's much safer to be up here than down there.",347,51,0.039556965299138894,8,1.5504322766570606,89,4493,207,640
Mousebroken !!,349,51,0.039382783417622524,9,1.5501432664756447,90,449,208,640
"This is, of course, the final item on my bucket list.",341,57,0.04138217628319637,10,1.5454545454545454,72,3104,212,640
Who hailed a tabby?,321,47,0.04110939829618263,11,1.5451713395638629,81,3363,193,640
I called a cab but...auto-correct.,333,64,0.04364728369665808,12,1.5435435435435436,53,3279,216,640
It's okay. He's mouse broken.,345,47,0.038905719840627115,13,1.5420289855072464,93,681,205,640
Watch the dog's face when I ride by.,336,52,0.04082172012287371,14,1.5357142857142858,76,1419,208,640
"First,  find a really really stupid cat . . .",326,48,0.04089527267740773,15,1.5306748466257667,77,4772,201,640
Listen to this baby purr.,345,50,0.039580973688305474,16,1.5304347826086957,83,1607,212,640
Keep your friends close but your predators closer.,313,40,0.0402185473758234,17,1.5303514376996803,86,2249,187,640
The Jaguar is in the shop - this is a loaner cat.,366,54,0.03861218082839603,18,1.5300546448087433,86,576,226,640
When it purrs it feels like a Harley,340,54,0.04088915900637983,19,1.5294117647058822,72,2220,214,640
"Once you learn how to use a can opener, they'll do anything you want.",308,51,0.04347731361062476,20,1.5292207792207793,61,600,196,640
It was the dog's idea.,294,40,0.042183105303806416,21,1.5272108843537415,75,577,179,640
She says she's taking me to meet my maker. How cool is that?,338,46,0.03911343848236388,22,1.5266272189349113,84,1441,208,640
This is nothing; I've got the dog out shopping for cheese!,344,47,0.039032442301259615,23,1.5261627906976745,87,2007,210,640
It's easy until someone points a laser at the floor.,365,54,0.03870191044886799,24,1.5260273972602743,84,4888,227,640
What are you looking at? Humans drive things that kill them all the time.,304,45,0.04243116811485543,25,1.5230263157894737,69,972,190,640
When you get her up to speed she really purrs.,350,56,0.04039481196724852,26,1.522857142857143,71,4499,223,640
It's a loaner. The dog's at the vet.,329,48,0.04062295545995146,27,1.5227963525835866,76,3458,205,640
Of course he won't eat me. It would destroy his Uber rating.,341,46,0.03908177623446017,28,1.521994134897361,86,2241,209,640
My other ride is a jaguar.,334,54,0.041478459699279775,29,1.520958083832335,66,2596,214,640
I got a nine lifetime warranty.,338,46,0.03934781533197508,30,1.5207100591715976,84,2404,208,640
Keep your enemies close.,365,49,0.037726274570213714,31,1.5205479452054795,92,2624,224,640
I found a website where I could register him as an emotional support cat.,350,51,0.0393728984586245,32,1.52,80,690,219,640
Let's just say there are some pictures he'd rather not have on the Internet.,335,47,0.0398432760199096,33,1.5194029850746271,80,3753,208,640
She's got 4 on the floor and purrs like a kitten!,322,52,0.042236323622256836,34,1.5186335403726707,63,2881,207,640
It’s easy as long as no one brings out a laser pointer.,309,44,0.04165694883858994,35,1.5177993527508091,72,3729,193,640
What could possibly go wrong?,313,40,0.04024294344780974,36,1.5175718849840256,82,2838,191,640
"If I'm not back by sundown, jiggle the can opener.",321,49,0.04164591733045074,37,1.5171339563862931,68,1255,204,640
This is nothing. The real trick is herding them.,332,50,0.040799339800476425,38,1.5150602409638554,71,4517,211,640
This thing really purrs.,342,47,0.03922702577497382,39,1.5116959064327486,81,2331,214,640
I’m saving up for a Jaguar.,359,56,0.03942008521300022,40,1.50974930362117,70,1015,233,640
Turns out we have the same fantasy!,340,51,0.04027641020819458,41,1.508823529411765,71,3123,218,640
I'm a little worried about Harold. That just screams mid-life crisis.,346,49,0.03931153226448153,42,1.5086705202312138,78,1090,219,640
He’s “Mouse” Broken,309,38,0.040125178905107035,43,1.5080906148867317,81,3192,190,640
Curiosity killed my last one.,341,46,0.03909924671039183,44,1.504398826979472,80,947,215,640
Do you mind running in front of us?  I'm in a bit of a hurry.,328,54,0.0420884098474587,45,1.5030487804878048,57,583,217,640
