Unfunny,Somewhat funny,Funny,Caption
46,17,5,A bit much, huh? It's for that six-month stint your mother stayed with us.
36,2,0,HALO - R-US....NO DOUBT....
41,7,2,Let me mansplain it to you.
38,1,1,I got here by playing 'portal'.
44,9,3,Am I holier than thou?
40,8,1,I got my halo at Costco.
39,5,3,Sun protection is so important, especially up here.
40,7,1,You make me downright upright.
40,11,0,Footwear? Size 14 medium, why do you ask?
39,7,1,I cannot bear false witness; I'm overcompensating.
48,12,7,If it lasts over four hours, I have to see St. Peter.
39,7,0,don't say it , I know , I should have got out more
41,14,1,It's not mine, I fell through it
37,5,0,You know what that means.
43,6,4,Remember calling me a 'goddamned overachiever'?
38,7,0,I swear it does not make your butt look big.
40,10,0,What in heaven's name would make you think I'm going through a mid-death crisis?
40,5,2,I'm not one to brag - but - I knew I had you at "halo."
38,6,0,I just wish they'd stop calling me Goody Two Shoes.
40,10,2,As you can see I'm not that kind of guy.
41,6,2,How'd you know I spent 12 years in Catholic school?
44,22,4,I always remembered to put the toilet seat down.
43,6,4,Naw! It's just a hole in the ozone layer.
34,4,0,You were a vice president of sales too?
37,4,0,And you thought you were through the glass ceiling?
39,8,0,I leaned in.
40,5,2,'Holier than thou?' No, it's my hula hoop.
40,5,2,Wow, those pills really do work don't they.
39,10,0,On size fits all, my ass!
43,7,3,Perhaps if you had received equal pay . . .?
38,7,0,Well, if you wanted a normal angel, your profile should have said "Spiritual, but not religious"!
39,8,0,First time here?
43,11,2,What do you mean I'm too halocentric?
39,9,0,Yes ma'am, I actually am holier-than-thou!
42,7,4,I'm afraid that we're incompatible
39,7,1,Rescued orphans from a fire? That sounds pretty cool. I taught my mom how to use her DVR. Hardly even cursed.
39,5,1,I guess I'm just more hole-y than you.
43,8,3,I promise you it's not compensation for anything
43,14,2,Never hurts to ask for an upgrade...
42,11,2,Actually, it's a hula hoop. I didn't qualify for a halo.
38,7,1,Oh...just a lifetime of resistance training.
42,5,4,Yeah that's right. I invented the cloud.
46,6,6,St. Peter likes geometry teachers.
41,8,2,I guess I'm a little holier than I thought.
42,9,2,Enough of the holier-than-though crap, please.
41,10,1,I don't show this to just anybody.
42,13,3,I died with the most toys.
37,4,0,I'm Gabe. Fifth generation.
36,4,0,It turns out they didn't need it for Trump.
36,4,0,yes mine is bigger than yours
41,3,1,I know what you're thinking. Not bad for a guy with such tiny hands, huh?
36,7,1,It happened since I decided to vote independent in the upcoming presidential election.
45,6,3,They ran short of halos, so I had to settle for a hula hoop.
45,14,3,I was having a mid-afterlife crisis....
44,5,3,A massive heart attack while hula hooping.
43,9,4,You know, even up here they say size matters.
36,0,0,This place increased their cover.
35,1,0,I had said I miss you. But believe me, not so soon.
36,1,0,Ooh. Size does count!!
36,4,0,I used to be a Big Man in Washington
43,8,3,I can assure you, I am not compensating for anything.
38,4,0,I've been too 'holier than thou' recently.
39,5,1,I am sure it will shrink over time.
36,0,0,Well, God said it wasn't immaculate this time...
44,10,3,Yes, it's true, even this is a man's world.
46,13,5,As a matter of fact, I am happy to to see you.
37,1,0,You're looking good. I didn't know angles flew so high.
32,1,0,Well, it's really in how you use it...
38,7,0,Does this make my feet look big?
46,7,5,My shrink says overcompensation is common during an afterlife crisis.
61,12,5,Well, you know what they say, the bigger the halo...
40,2,2,Unfortunately, halo size is inversely proportional to that...
43,16,1,It may look impressive, but I haven't been able to sleep a wink in eighty years.
49,24,10,It was the small things, like putting the toilet seat down every time.
38,5,1,WOW ! I was afraid you would be some crazy guy with B.O. and a beard.
39,3,1,Back on earth my shoe size was 13.
37,2,1,Despite the small hands...
44,12,3,My therapist thinks I might be having a mid-death crisis.
38,3,1,Making partner was a death benefit.
41,14,0,This was part of my early retirement package.
41,10,1,If you've got it. Flaunt it
39,3,1,Actually, it's just a projection of the manhole I fell through.
37,2,0,I honestly do not feel anymore blessed than Kanye West
49,11,7,Aaargh! How embarrassing. It'll be back to normal in a bit.
38,2,1,Even above the ceiling, yours is still only 78% of mine.
40,8,1,I assure you, everyone benefits from the newly privatized halo industry.
39,4,1,This is much more accurate than the shoe size analogy.
45,16,5,It's for putting the seat down.
53,24,10,Hey, you had me at halo.
36,0,0,My brother will be here in a minute. He just stopped off to go to the bathroom.
36,2,0,I said I was a Giants fan, not a giant!
42,10,3,So, do you want to see my harp?
42,3,2,I died during a hula hoop contest
39,2,1,Suddenly I feel like a Republican.
36,2,0,I gotta leave now.
37,3,0,Not to brag, but I won the hula hoop contest in Not to brag but I won the hula hoop contest for those here 5000 - 6000 years.
37,1,1,I date back to the HULA HOOP generation of the 1950s.
36,0,0,it's a vapor cloud thing! You haven't soared through yet.
37,8,0,It's just a holier-than-thou fashion statement I'm trying out
47,11,6,Did you wash your's?
41,10,2,Yeah, I HAVE lost a lot of weight since High School.
38,7,1,I'm surprised you got in with your "holier than thou" attitude.
44,10,3,God’s got a good sense of humor. On Earth, I was the hula hoop champion.
31,2,1,Don't worry. I'll explain.
40,3,3,No I’m not over compensating, I’m the inventor of the Hula Hoop.
42,8,2,I got mine from Costco!
38,7,0,No, I don't notice any difference.
42,6,2,There's no overcompensating in heaven.
36,1,0,It's not me; it's you.
43,13,3,Trust me, I can be a bad boy if that's really what you're looking for.
45,10,4,How the hell did you get in here?
36,3,2,How did you know that I made it myself?
37,2,1,Every time I open my mouth, one of these comes out.
40,9,2,I atoned, but steroids have after effects.
38,8,1,Well, if you got equal pay you could have afforded this one.
46,8,4,"Halo affect" trumps "halo effect".
38,5,0,I'm interested.in dating but I think your halo is too big for me.
40,11,1,Sounds like a case of halo envy to me.
40,10,0,When are you going to learn - everything's negotiable.
42,7,2,This sure beats a pitch fork, horns and a tail.
41,7,3,It's true what they say about big halos.
38,7,1,My father gave me a small loan of one-million good deeds.
36,7,1,Why you little devil you.
39,2,1,Yes, dear, even in Heaven, size matters.
36,0,0,It got caught in a propeller.
39,5,2,Big wings, big halo. Do the math.
41,7,2,From having an exaggerated sense of self-importance. Where'd you get your small one?
39,1,3,You oughta see my feet.
38,3,1,..., and there's nothing wrong with the size of my hands.
42,7,2,I know, I know, it's not the size that counts...
41,10,4,Those little blue pills work in mysterious ways.
36,2,0,Wow! You must be best friends with the halo- maker!
44,5,4,Accidental death by hula hoop.
37,6,0,Looks like you are upgraded with the new mini iHalo!
45,15,6,It's true, but please don't refer to me as "St Peter."
36,3,0,I worker for the Hula Hoop company, That's why!
36,1,0,It turns out Trump really was the more skilled negotiator.
43,13,2,It's called "male enhancement".
38,2,1,God stole the idea from Pinocchio.
36,1,0,And you know what they say about men with small hands.
41,6,2,Science said this is impossible.
38,4,1,Actually, I spent most of my time on Twitter explaining things to women.
44,12,3,I doubled my PBS contribution *many* times.
36,1,0,You're no good.
44,14,4,...But how do you know I find you attractive?
42,9,3,I've been taking halo enhancement capsules I found on the internet.
49,9,7,Isn't it obvious that I find you very attractive?
36,4,0,I know we're both single now, but I'm still more partial to bad boys.
41,1,3,I deleted his account.
38,1,1,Uh, could you direct me to the gender-neutral restroom?
54,25,12,I'm just happy to see you.
39,1,2,Oh yeah? Well I can put my head through mine!
40,5,1,I would have been here sooner if i knew about the dating service!
38,8,0,I had house seats for HAMILTON.
43,5,2,The worst part about gastric bypass surgery isn't the loose halo; its buying new robes!
