,rank,caption,score,precision,count,unfunny,somewhat_funny,funny
0,1,He said the patent expired,1.7929292929292933,0.02790734770666641,990.0,505.0,185.0,300.0
1,2,He says the guy with the original idea never took out a patent!,1.7299578059071732,0.03240680276031027,711.0,387.0,129.0,195.0
2,3,He is making a life preserver for my Mother.,1.7268786127167632,0.031129819232105206,692.0,352.0,177.0,163.0
3,4,I hope he discovers fire soon. Dinner is at six.,1.7268786127167632,0.029896135678544943,692.0,334.0,213.0,145.0
4,5,He told me that the patent expired.,1.7109375,0.03322765810371703,640.0,345.0,135.0,160.0
5,6,"There, that's as close to a perfect square as I can get it.",1.662790697674419,0.03636021323476483,516.0,292.0,106.0,118.0
6,7,I don't have the heart to tell him it's been done.,1.643312101910828,0.03814346052703707,471.0,275.0,89.0,107.0
7,8,He 'fears' something might happen to me soon that will send him to prison; so he's learning to use a rock hammer.,1.6408602150537634,0.037845164417047134,465.0,268.0,96.0,101.0
8,9,It came today but we ordered it ages ago.,1.6343612334801765,0.03632043512449254,454.0,249.0,122.0,83.0
9,10,The hole in the middle was my idea.,1.6319290465631928,0.035991582994668835,451.0,245.0,127.0,79.0
10,11,Turns out it was never patented.,1.6300448430493273,0.036191256115430316,446.0,243.0,125.0,78.0
11,12,I don't want to break his heart.,1.6281179138321995,0.041177483241453566,441.0,277.0,51.0,113.0
12,13,I don't have the heart to tell him.,1.6247139588100687,0.03944518770579445,437.0,261.0,79.0,97.0
13,14,"It's been in our family for 12,000 years.",1.6229885057471265,0.035963070185907484,435.0,235.0,129.0,71.0
14,15,Douglas just got his Mechanical Engineering Degree from Trump University!,1.6218097447795825,0.03910142351477832,431.0,254.0,86.0,91.0
15,16,It would break his heart if I told him it had been done already.,1.6120481927710844,0.0395348484665057,415.0,246.0,84.0,85.0
16,17,I'm letting the Patent Office tell him.,1.6025,0.0374464948284528,400.0,223.0,113.0,64.0
17,18,When he's done I'm going to reinvent the divorce.,1.602015113350126,0.039486178050839066,397.0,233.0,89.0,75.0
18,19,"Well, I laughed at him too, but turns out Bruce is the first to actually apply for a patent.",1.5888594164456231,0.04021722100796887,377.0,224.0,84.0,69.0
19,20,"He's not reinventing it, he's making it great again.",1.5877659574468086,0.03887639289919879,376.0,216.0,99.0,61.0
20,21,"His influences are Brancusi, Warhol, and Krispy Kreme.",1.5849056603773586,0.037600836641448636,371.0,206.0,113.0,52.0
21,22,Harry got some discouraging news from the Patent Office this morning.,1.5837837837837838,0.038834433882600564,370.0,212.0,100.0,58.0
22,23,Try to look surprised.,1.5826558265582655,0.03815909705363869,369.0,208.0,107.0,54.0
23,24,"It was supposed to be a square, but he kept cutting corners.",1.578512396694215,0.03827557755213786,363.0,205.0,106.0,52.0
24,25,He's rethinking his choice of font.,1.561764705882353,0.04078261602334213,340.0,203.0,83.0,54.0
25,26,I've got an inkling I'm getting a big rock for our anniversary.,1.5588235294117647,0.03949880449122516,340.0,198.0,94.0,48.0
26,27,I hid the instructions.,1.5548961424332344,0.04044606331612358,337.0,201.0,85.0,51.0
27,28,"For me, it's a lifesaver.",1.5504587155963303,0.04073827505194354,327.0,195.0,84.0,48.0
28,29,"...but the worst of it is, in bed he calls me Wilma.",1.5476923076923077,0.04024034738601416,325.0,192.0,88.0,45.0
29,30,That's not the Big O I was thinking of.,1.5434782608695652,0.0428619659320946,322.0,202.0,65.0,55.0
30,31,"Yes, he's been working on it for over three weeks now. I don't have the heart to tell him it's already been done.",1.5425867507886435,0.044758296480818895,317.0,206.0,50.0,61.0
31,32,Would you like to buy a Vowel?,1.5411392405063291,0.04210471244481377,316.0,194.0,73.0,49.0
32,33,"He asks me, “What kind of ring?” I said, “Just buy the biggest rock you can find.”",1.5369774919614148,0.04240033236000166,311.0,192.0,71.0,48.0
33,34,"Well he did ask what type of ring I wanted and I said ""as long as it's a big stone""",1.5369774919614148,0.041659980510904,311.0,189.0,77.0,45.0
34,35,My first husband invented fire.,1.5324675324675323,0.042733709623530375,308.0,192.0,68.0,48.0
35,36,"Yeah, I know. But I don't have the heart to tell him.",1.5324675324675323,0.042485508720488216,308.0,191.0,70.0,47.0
36,37,We looked it up. Nobody has a patent on it.,1.5311475409836066,0.04230651770676702,305.0,188.0,72.0,45.0
37,38,I would prefer he had reinvented himself.,1.5311475409836066,0.044054893884312836,305.0,195.0,58.0,52.0
38,39,He said he's making me a flotation device.,1.5296052631578947,0.042417699773019166,304.0,188.0,71.0,45.0
39,40,I don't have the heart to tell him he's an idiot.,1.5266666666666666,0.04414260192932723,300.0,192.0,58.0,50.0
40,41,Care to buy a vowel?,1.5220338983050847,0.04208433984127197,295.0,181.0,74.0,40.0
41,42,"Trust me, this one will gather moss.",1.5201342281879195,0.03982584659461425,298.0,176.0,89.0,33.0
42,43,"No, I'm not surprised. He once wrote a poem called 'The Road Already Taken'.",1.5153583617747441,0.04062213243773676,293.0,176.0,83.0,34.0
43,44,He's practicing in case he has to restart civilization after a Trump presidency.,1.5138888888888888,0.04343579367569192,288.0,182.0,64.0,42.0
44,45,Keeping him busy has been a big lifesaver.,1.5053763440860215,0.04274887398295346,279.0,174.0,69.0,36.0
45,46,The other vowels are in the den.,1.5053763440860215,0.04334787045195547,279.0,176.0,65.0,38.0
46,47,I wish Bob would see a doctor about his enlarged vowels.,1.5035971223021585,0.04316763190515688,278.0,175.0,66.0,37.0
47,48,I wish he'd put as much energy into reinventing foreplay.,1.5019157088122606,0.04464369900308191,261.0,165.0,61.0,35.0
48,49,His ex got the X.,1.5018181818181815,0.04321964256874742,275.0,173.0,66.0,36.0
49,50,"I thought ""N"" was his best work.",1.5,0.04144717730062777,274.0,167.0,77.0,30.0
50,51,"He makes them in peppermint, spearmint and wild cherry.",1.5,0.04013626158639059,274.0,163.0,85.0,26.0
51,52,I don't have the heart to tell him it's already been done.,1.4962962962962962,0.04506429025338722,270.0,176.0,54.0,40.0
52,53,I'm actually looking forward to the start of football season.,1.4945054945054943,0.04155745624812317,273.0,168.0,75.0,30.0
53,54,At least yours is a functioning Neanderthal.,1.4924812030075187,0.043353038170990295,266.0,168.0,65.0,33.0
54,55,He also thinks he invented the internet,1.4924812030075187,0.043353038170990295,266.0,168.0,65.0,33.0
55,56,He's so proud. I haven't told him yet.,1.4920634920634919,0.044806145788701325,252.0,160.0,60.0,32.0
56,57,He studied creativity at Trump University.,1.4886363636363635,0.04585069051310056,264.0,175.0,49.0,40.0
57,58,He's got big ideas . . . apparently the guy who invented it never bothered to file a patent.,1.4866920152091254,0.04271152032188067,263.0,165.0,68.0,30.0
58,59,I'd rather he reinvented himself.,1.4865900383141764,0.04463611019394929,261.0,169.0,57.0,35.0
59,60,15 years with Bob and I have zero to show for it.,1.4865900383141764,0.04226198327560547,261.0,162.0,71.0,28.0
60,61,"Jan, I swear it's like he'd rather reinvent the wheel than find my clitoris.",1.4826254826254823,0.049035444260327125,259.0,182.0,29.0,48.0
61,62,The rest of the alphabet is in the basement.,1.4807692307692308,0.043067667341157266,260.0,165.0,65.0,30.0
62,63,Sorry the coffee's cold—he hasn't discovered fire yet.,1.4806201550387597,0.042965492585916566,258.0,163.0,66.0,29.0
63,64,I asked him to make my mom a new toilet seat.,1.48046875,0.04596166477101634,256.0,170.0,49.0,37.0
64,65,"He's been promising me the ""Big O"" for years.",1.48046875,0.046623482691956916,256.0,172.0,45.0,39.0
65,66,I haven’t had the heart to tell him.,1.48046875,0.046623482691956916,256.0,172.0,45.0,39.0
66,67,"When he gets to Z, I'm out of here.",1.48046875,0.045627156098329465,256.0,169.0,51.0,36.0
67,68,I'll let the Patent Office provide the disappointment.,1.48046875,0.044263849290515626,256.0,165.0,59.0,32.0
68,69,He finally made a hole in one.,1.48046875,0.04460858223386438,256.0,166.0,57.0,33.0
69,70,"He's got his nose to the grindstone, shoulder to the wheel, and head up his butt.",1.4784313725490197,0.04709097764137322,255.0,173.0,42.0,40.0
70,71,"It's the fourth piece in Bob's ""I'd Like to Buy a Vowel"" series.",1.4761904761904765,0.041864384403484126,252.0,156.0,72.0,24.0
71,72,"He conceptualized it as a number, but he's experiencing it as a letter.",1.4741035856573703,0.04121301641496635,251.0,154.0,75.0,22.0
72,73,"He's literally 5,000 years behind on his to-do list.",1.4741035856573703,0.043836289666683716,251.0,161.0,61.0,29.0
73,74,"Maybe he didn't invent it, but the Guggenheim is interested.",1.4698795180722892,0.04408681334356813,249.0,161.0,59.0,29.0
74,75,"That wasn't the ""Big O"" I had in mind.",1.4698795180722892,0.047618518042364034,249.0,171.0,39.0,39.0
75,76,I don't have the heart to break it to him.,1.4698795180722892,0.04553237936562013,249.0,165.0,51.0,33.0
76,77,Big shoes to fill. His dad discovered fire.,1.4698795180722892,0.04517532463324106,249.0,164.0,53.0,32.0
77,78,"Well, Marlene, ""paleo"" isn't just a diet; it's a way of life.",1.4696356275303644,0.0443515070022744,247.0,160.0,58.0,29.0
78,79,He's also making a square peg.,1.4696356275303644,0.0443515070022744,247.0,160.0,58.0,29.0
79,80,"Oh, it's nothing.",1.4674796747967482,0.0433459996162729,246.0,157.0,63.0,26.0
80,81,"It keeps him busy, but I have no idea where we're going to put the rest of the alphabet.",1.466942148760331,0.04347550217411993,242.0,154.0,63.0,25.0
81,82,He also believes he invented the internet.,1.4628099173553717,0.044629496248518905,242.0,158.0,56.0,28.0
82,83,"Assuming all goes well at the patent office, we'll be set for life.",1.4628099173553717,0.04539137240716385,242.0,160.0,52.0,30.0
83,84,"""John is starting an immersive course in the history of entrepreneurship at Trump University.",1.4628099173553717,0.046877992664195636,242.0,164.0,44.0,34.0
84,85,"I'm so excited! Bob said I was going to get the big ""O"" tonight!!",1.4579831932773109,0.0443766950902636,238.0,155.0,57.0,26.0
85,86,"Yes, and I'm about to re-invent a divorce lawyer.",1.4579831932773109,0.04594692536597352,238.0,159.0,49.0,30.0
86,87,"When he asked about a ring, I told him I wanted a big rock.",1.4579831932773109,0.04594692536597352,238.0,159.0,49.0,30.0
87,88,"When he discovers fire, then I'll worry.",1.4556962025316456,0.04286810585817129,237.0,151.0,64.0,22.0
88,89,I had a different Big O in mind.,1.4556962025316456,0.045694402724694376,237.0,158.0,50.0,29.0
89,90,"When his Tinder profile said 'early man,' I though it meant he was punctual.",1.4556962025316456,0.045301442963563095,237.0,157.0,52.0,28.0
90,91,Not exactly what I meant by the big O.,1.4556962025316456,0.047233560775246916,237.0,162.0,42.0,33.0
91,92,I haven't got the heart to tell him,1.4556962025316456,0.045301442963563095,237.0,157.0,52.0,28.0
92,93,In his personal ad he mentioned that he wanted to reinvent the wheel - my mistake was to think he had a sense of humor.,1.4556962025316456,0.045694402724694376,237.0,158.0,50.0,29.0
93,94,Only two F's to go and our neighbours should get the hint.,1.4529914529914532,0.0457229216201026,234.0,156.0,50.0,28.0
94,95,Who knew that it had never been patented?,1.4529914529914532,0.04612231565732538,234.0,157.0,48.0,29.0
95,96,"When I ask what he's working on, he says ""nothing"".",1.4514767932489452,0.04528312151594722,237.0,158.0,51.0,28.0
96,97,Sometimes I wish he would just gather moss.,1.4506437768240343,0.04337115107391636,233.0,150.0,61.0,22.0
97,98,I just feel like evolution is something that happens to other women's husbands.,1.4506437768240343,0.047833482980062514,233.0,161.0,39.0,33.0
98,99,He says he's had it with cubism.,1.4478260869565218,0.0415372705661848,230.0,144.0,69.0,17.0
99,100,I'm sorry about dinner. He hasn't discovered fire yet.,1.4454148471615718,0.0438878254649158,229.0,149.0,58.0,22.0
100,101,"I just tell myself, he could be attending a Trump rally.",1.4454148471615718,0.045178062544532695,229.0,152.0,52.0,25.0
101,102,"I'd also like an R, G, A, S and M one of these days.",1.4454148471615718,0.0443220779572872,229.0,150.0,56.0,23.0
102,103,I asked him to give me a concrete example of good circular reasoning.,1.4449339207048455,0.045468653214983286,227.0,151.0,51.0,25.0
103,104,"Whenever I ask him what he's making, he tells me, 'Nothing.'",1.4429824561403508,0.045310832758025575,228.0,152.0,51.0,25.0
104,105,The hardest part is making it minty,1.4429824561403508,0.043571781172826736,228.0,148.0,59.0,21.0
105,106,It all began when we started the Paleo Diet.,1.44,0.0439696865275764,225.0,147.0,57.0,21.0
106,107,My mother predicted he would turn out to be a chiseler.,1.44,0.04573908057737378,225.0,151.0,49.0,25.0
107,108,"Last week it was fire, so I'm fine with this.",1.4375,0.04223994370652685,224.0,143.0,64.0,17.0
108,109,But does it gather moss?,1.4355555555555557,0.04394159985174487,225.0,148.0,56.0,21.0
109,110,Humor him. Just say: Wheel? What's a wheel?,1.4355555555555557,0.04657208858990655,225.0,154.0,44.0,27.0
110,111,He's always cutting corners.,1.4355555555555557,0.04439084069054566,225.0,149.0,54.0,22.0
111,112,"His last work was entitled ""Square Peg"".",1.4349775784753362,0.04187442846438542,223.0,142.0,65.0,16.0
112,113,Wanna buy a vowel.,1.4349775784753362,0.04601152085143833,223.0,151.0,47.0,25.0
113,114,"I told Stanley I've been waiting 23 years for the ""Big O.",1.431818181818182,0.047776911860408486,220.0,153.0,39.0,28.0
114,115,It's a millstone. Dan's making it for our anniversary.,1.431818181818182,0.04906288116450736,220.0,156.0,33.0,31.0
115,116,I've grown. Frank is stuck in the past.,1.431818181818182,0.04369249710397943,220.0,144.0,57.0,19.0
116,117,He works in the house now. Last week he invented fire and burned down the garage.,1.4311926605504588,0.046767556805964734,218.0,149.0,44.0,25.0
117,118,I would have preferred he reinvent himself.,1.4298642533936652,0.045839420668227486,221.0,150.0,47.0,24.0
118,119,It's the emptiness inside that defines his work.,1.4292237442922375,0.044760911413610126,219.0,146.0,52.0,21.0
119,120,It’s not the fact that he keeps reinventing the wheel that bothers me. It’s his literal interpretation of idioms. Last week he tried to kill our cat with curiosity.,1.4292237442922375,0.046143414442593685,219.0,149.0,46.0,24.0
120,121,He's a binary thinker.,1.4292237442922375,0.043815014778206415,219.0,144.0,56.0,19.0
121,122,He's three wheels short in a lot of ways.,1.4285714285714286,0.045991118607390136,217.0,147.0,47.0,23.0
122,123,I don't have the heart to tell him Obama can't serve a third term.,1.4285714285714286,0.046452689785061264,217.0,148.0,45.0,24.0
123,124,"He says it's not about being the first, it's about being the best.",1.4285714285714286,0.045524867855392184,217.0,146.0,49.0,22.0
124,125,You should see the car.,1.4285714285714286,0.04505379224596762,217.0,145.0,51.0,21.0
125,126,"I know, and he still uses a Blackberry!",1.4285714285714286,0.04311805428947813,217.0,141.0,59.0,17.0
