Unfunny,Somewhat funny,Funny,Caption
4,1,0,I'm not sure everything is better with alcohol.
4,0,0,I told you ObamaCare wouldn't end well.
3,0,0,I support universal healthcare, but the waiting rooms have really taken a toll
4,0,0,At least no one can accuse us of not getting back on track.
4,0,0,My HMO assures me this is a highly cost-effective protocol for cast removal.
4,1,0,I thought you told me the "D" Line was not running today.
6,2,1,It's just a train of thought.
4,0,0,I sure hope the food's better this time.
3,0,0,It's just a local pain.
4,0,0,Bronx Pledge Week
6,0,1,Relax. My GPS is almost always correct.
2,0,0,Whiteout!
5,0,0,Are you sure we picked the right injuries for this?
4,0,0,We need to rethink the living room.
5,3,1,The ad said 'office space conveniently located near public transportation'
5,1,0,Be careful. You're toast if you touch the third rail.
4,0,0,I just hope Sol appreciates this.
5,1,0,Finally, the delay is over.
4,0,0,They just don't make cabooses like they used to.
5,2,0,What does it say in our contract about being laid off?
5,2,0,OK, let's see if you can focus and then get back on the right track.
6,1,1,By the way, don't touch that third rail.
6,0,0,Let's see the insurance adjuster pull that 'pre-existing condition' crap on us now!
4,0,0,The train told us to detrain the D train.
6,4,2,Occupy Metro started off pretty strong.
4,1,0,Well, on the bright side, I've already met my deductible.
3,0,0,Glad to see that my life is right on track.
4,0,0,Our Risk Avoidance Support Group will be totally cross with us.
4,0,0,All I can say, Ernie, is that was one lousy hospitality car.
4,0,0,I thought our Orthopod drove a Benz.
5,1,0,Now, this time are you sure that this is the northbound train?
5,2,0,I'd like to step out of your nightmare for just a moment.
4,1,0,Where's the TV?
6,2,1,I hope they appreciate performance art.
4,0,0,A couple more desensitization sessions and you should be over your train phobia.
8,0,0,Frank said it best: "Start spreading the news, I'm leaving today"
5,0,0,It oughta be the F train. That cartoonist really got upset when you told him he left off the right rear bogie.
4,0,0,That was the Bloods train
6,1,1,Well, Mr. Boswell, I'm afraid we may have once again strayed into a dangerous patient-therapist boundary area.
5,2,0,If this video doesn't go viral on YouTube, I may need to go back to work.
5,0,0,I'm hearing you're right on track for that promotion...
