Unfunny,Somewhat funny,Funny,Caption
19,2,0,Welp...fish in a barrel, you're officially on notice.
21,1,1,See how safe guns are in the the good ole USA? I told you so!
18,2,0,He ain't worth us!
15,5,0,I hope he knows what happens to stool pigeons.
19,3,1,Looks like Junior has a new shtick.
21,0,0,Pap's decoys are just getting too pathetic.
17,4,1,Just remember, Cub Scouts was your idea!
19,3,0,Don't be fooled. He does want two in the bush.
16,4,1,Never trust a parrot.
21,0,1,That bird needs to bite the bird seed, not bite the bullet.
11,5,4,Someone should tell him hitchhiking is dangerous
15,4,3,That's what you call going out on a limb.
16,4,0,Well that's one way to "flip him the bird."
19,2,0,Watch out. It's a drone.
18,2,1,She's picketing
22,0,0,The new silent-alarm canary is really hard to hear.
11,6,1,He has neither flight nor fight.
16,2,1,He better hide.............someone else may shoot both of them!
18,2,2,Obviously bred to be a Pointer and not a Retriever.
20,0,0,I hope that's the twitter bird Larry.
15,5,2,I find the new gunsight offensive.
15,6,1,Stay still and no jokes about "riding shotgun"!
14,5,1,His tweet just went viral
15,2,2,He's left the nest. It's not our place to criticize his choice of friends.
18,3,0,He turned out to be a real snake in the grouse.
18,2,0,He must be related to Bernie Sanders.
16,4,2,Darwin at work.
16,5,1,Is he still worth two in the bush?
13,6,2,Believe it or not, he is a sitting duck.
19,3,0,He said he'd whistle if he saw anything dangerous.
15,4,3,He's clearly the one who's 'cuckoo.'
17,1,2,He's a stool pigeon for the gun lobby.
20,1,0,I think that's part of the effette wing of the NRA.
20,0,0,Keith is the dumbest smart bird I've ever met." "100%
20,2,0,' Cooee, he's behind you.'
17,3,0,Safest place our friend could be!!
20,2,0,The rifle's a bluff. He only hunts for worms.
17,4,1,If ya can't beat 'em, join 'em I guess.
13,7,2,Don't you think Junior has taken "riding shotgun" to an extreme.
14,7,1,That's the last place he'll look
16,1,1,Bravery might be a virtue, but far-sightedness is bliss.
14,7,1,Now that's Chutzpah!
14,3,1,Birds of a feather flock together.
15,4,2,I bet him five worms he wouldn't do that.
19,2,0,I tried to tell her that the whole "bird in the hand" thing wasn't about her own self-worth.
20,1,0,Pride of Place, I'd say.
17,3,0,Got her 'big shot' going on again.
14,4,4,Maybe we should get an NRA membership too.
15,4,1,I thought we raised him better than that!
13,5,4,That's his stool pigeon.
13,6,0,Hey! Look behind you!
21,1,0,That's pretty woodcocky.
10,9,2,She's riding shotgun.
20,2,0,It's a hunter's twitter.
16,3,0,They're said to be more agile than Spaniels.
18,2,0,Stay alert - technically, he's not 'in hand.'
12,4,5,I guess it's like being a gay Republican.
15,4,0,Stockholm syndrome strikes again!
16,5,1,Worms! They're hunting worms!
17,1,1,Well, it's what you call the cat bird seat.
11,7,4,Well, you know what they say, "Keep your friends close and your enemies closer!"
19,2,0,Don't fret, he's not one to squawk.
8,5,6,Personally, I prefer not to ride shotgun if I can help it!
19,1,0,That tweet has flown the coop. He's half-cocked.
18,1,2,Very good, but for my 'Truth or Dare' task, I'm going to have to flip him my middle claw.
16,5,1,I knew it when he stopped tweeting.
18,1,1,He's one of those "right to be shot" birdbrains.
14,5,2,Those Bugs Bunny cartoons will be the death of him.
16,4,1,Geez, not sure which one of those two is the bigger birdbrain!
14,1,5,He just keeps re-tweeting it: "The NRA: keeping you safe."
19,1,2,I never figured Ted would turn out to be the stoolpigeon.
14,5,2,Earl is depressed again.
20,1,1,Turntail.
21,1,0,Sure makes living outdoors an adventure.
18,3,1,Guess someone is practicing to be a decoy again.
16,3,2,He's so vain - probably thinks he's worth two of us.
