,rank,caption,score,precision,count,unfunny,somewhat_funny,funny
0,1,I'll never let go.,2.634196185286104,0.019614840242008838,1468.0,244.0,49.0,1175.0
1,2,I had the tailor over for lunch.,2.0150753768844223,0.025684957237520185,1194.0,461.0,254.0,479.0
2,3,You're the one who said I wasn't eating enough fiber.,1.9194244604316544,0.03442162213457425,695.0,316.0,119.0,260.0
3,4,"So I stick the head up a few times, the lifeguard runs in, bingo!",1.713804713804714,0.049184980957831866,297.0,161.0,60.0,76.0
4,5,You're both dummies!,1.7118644067796611,0.04903172610265639,295.0,159.0,62.0,74.0
5,6,... one giant leap for a mannequin.,1.697508896797153,0.04800126251143174,281.0,146.0,74.0,61.0
6,7,I miss the screaming.,1.697508896797153,0.04800126251143174,281.0,146.0,74.0,61.0
7,8,I call it 'A Farewell to Arms'.,1.6769230769230767,0.05182467107421308,260.0,146.0,52.0,62.0
8,9,I miss all the screaming and thrashing.,1.6692913385826766,0.048348994080643935,254.0,131.0,76.0,47.0
9,10,"The dressmaker, however, was delicious.",1.6113744075829384,0.05119486348241045,211.0,115.0,63.0,33.0
10,11,"Fake news, fake people....what's going on up there?",1.6019417475728157,0.054916728838720084,206.0,121.0,46.0,39.0
11,12,"Nooo. I said I wanted a ""man again"".",1.5736842105263158,0.058398858305825474,190.0,119.0,33.0,38.0
12,13,"Yeah, but half an hour later, you want another one.",1.5736842105263158,0.051290345640357234,190.0,105.0,61.0,24.0
13,14,"It's not bad, but all things being equal I'd rather have gotten Steve Bannon.",1.5714285714285714,0.0605534054609278,189.0,123.0,24.0,42.0
14,15,I'm in the placebo group.,1.5675675675675675,0.057719439089508176,185.0,114.0,37.0,34.0
15,16,It was this or kale.,1.5628415300546448,0.05561794875968567,183.0,109.0,45.0,29.0
16,17,It needs a little dressing.,1.5604395604395604,0.054774795401307336,182.0,107.0,48.0,27.0
17,18,You do realize that’s just empty calories.,1.5604395604395604,0.053654940829945034,182.0,105.0,52.0,25.0
18,19,I see two dummies.,1.5604395604395604,0.05532622325037349,182.0,108.0,46.0,28.0
19,20,It needs some dressing,1.558011049723757,0.0561286571221384,181.0,109.0,43.0,29.0
20,21,Just admit it. You need glasses.,1.558011049723757,0.05446341972112545,181.0,106.0,49.0,26.0
21,22,The hardest part for me was getting into the department store.,1.5530726256983238,0.054386925546951286,179.0,105.0,49.0,25.0
22,23,It was this or kale.,1.5505617977528092,0.05635091054869371,178.0,108.0,42.0,28.0
23,24,Needs dressing.,1.5480225988700564,0.058837012493959284,177.0,112.0,33.0,32.0
24,25,They make great lifeguard bait.,1.5459770114942528,0.05738648986411225,174.0,107.0,39.0,28.0
25,26,"Jeez Charlie, I think they got you in the placebo group!",1.5406976744186047,0.05492075949192424,172.0,102.0,47.0,23.0
26,27,I'll thrash it around just beyond the breakers and when the lifeguard comes out you nab him.,1.5380116959064327,0.05761661242561127,171.0,106.0,38.0,27.0
27,28,"I tell you, Steve, it was a frenzy. Everything was at least half off.",1.5380116959064327,0.05701644129370668,171.0,105.0,40.0,26.0
28,29,It's not the same without the flailing.,1.5325443786982251,0.056946029774065314,169.0,104.0,40.0,25.0
29,30,"It doesn't quite have the same texture, but it's the ethical choice.",1.5297619047619049,0.0540131646805062,168.0,99.0,49.0,20.0
30,31,"It's like a person, but without the bitter aftertaste.",1.5297619047619049,0.05721758432468154,168.0,104.0,39.0,25.0
31,32,I try not to eat anything with a face.,1.5294117647058822,0.056696670073039225,170.0,105.0,40.0,25.0
32,33,I poke it through the surface. Shake it a bit. And bingo! Lifeguard for supper.,1.5243902439024388,0.0595830815883695,164.0,105.0,32.0,27.0
33,34,It's true. People have no taste.,1.5243902439024388,0.05568880872350277,164.0,99.0,44.0,21.0
34,35,It's Farewell to Arms and Legs.,1.5240963855421688,0.060845813448088565,166.0,109.0,27.0,30.0
35,36,It looked better in the window.,1.5240963855421688,0.05384236401528049,166.0,98.0,49.0,19.0
36,37,I think I got the placebo.,1.521472392638037,0.0559545476925184,163.0,99.0,43.0,21.0
37,38,"You got it all wrong. I didn't mean ""go eat dummy."" I meant, ""Go eat... Dummy!""",1.5212121212121212,0.053404340287638886,165.0,97.0,50.0,18.0
38,39,"They're less fattening, but I do miss the screaming.",1.516778523489933,0.06142691291966097,149.0,95.0,31.0,23.0
39,40,"I'll thrash around with it near the beach, you yell out ""Won't some meaty lifeguard save me?""",1.5125,0.060127942729278086,160.0,104.0,30.0,26.0
40,41,I liked it better when I saw it in the window.,1.5125,0.05464831817398669,160.0,96.0,46.0,18.0
41,42,Is there someone stuck in my teeth?,1.509433962264151,0.05976623285457072,159.0,103.0,31.0,25.0
42,43,I have no taste for fashion.,1.509433962264151,0.0541766612336595,159.0,95.0,47.0,17.0
43,44,"No, I said I wanted to eat 'a man again.'",1.509433962264151,0.05976623285457072,159.0,103.0,31.0,25.0
44,45,Don't worry. It's armless.,1.5093167701863357,0.0571841937983704,161.0,101.0,38.0,22.0
45,46,"""It needs dressing…."".",1.5064102564102564,0.059981245257274426,156.0,101.0,31.0,24.0
46,47,I miss the struggle.,1.5032258064516129,0.055205897534711626,155.0,94.0,44.0,17.0
47,48,It just needs dressing.,1.5032258064516129,0.05887806913800714,155.0,99.0,34.0,22.0
48,49,"I said bring home take out, dummy, not dummy takeout!",1.5032258064516129,0.05958535227705986,155.0,100.0,32.0,23.0
49,50,I don't know how long I can do this Meatless Monday thing.,1.5031847133757965,0.054687361261646944,157.0,95.0,45.0,17.0
50,51,Macy's went under.,1.5,0.05623051492676937,154.0,95.0,41.0,18.0
51,52,"This new diet is working, but I miss the thrashing and screaming at mealtime.",1.5,0.0584509890626367,154.0,98.0,35.0,21.0
52,53,I hate Meatless Monday.,1.5,0.05988558255580139,154.0,100.0,31.0,23.0
53,54,It's a lifeguard lure.,1.5,0.05988558255580139,154.0,100.0,31.0,23.0
54,55,Do I have someone stuck in my teeth?,1.5,0.05917263354139385,154.0,99.0,33.0,22.0
55,56,This completes your training. Tomorrow we'll head for the beach.,1.4967741935483871,0.058162185695334524,155.0,99.0,35.0,21.0
