,rank,caption,score,precision,count,unfunny,somewhat_funny,funny
0,1,I invented fire. He invested in it.,2.130434782608696,0.05738147608020176,184.0,45.0,70.0,69.0
1,2,He comes from prehistoric money.,2.069767441860465,0.06976744186046509,129.0,36.0,48.0,45.0
2,3,Getting past the guard is easy. How do we remove the paintings?,2.068702290076336,0.07600633506885922,131.0,45.0,32.0,54.0
3,4,"The artists move in, the rents go up, and we end up living in some hole.",2.0288461538461537,0.07784524724430536,104.0,31.0,39.0,34.0
4,5,He booked it on Lairbnb.,1.988372093023256,0.08829465971818512,86.0,29.0,29.0,28.0
5,6,Don't forget to walk upright when I introduce you. Dad is kind of racist.,1.9855072463768115,0.09571544576085307,69.0,22.0,26.0,21.0
6,7,"He won""t be smiling when the 9:15 comes through.",1.976744186046512,0.0874892906263077,86.0,29.0,30.0,27.0
7,8,I couldn't afford that place if I lived to be 30.,1.945945945945946,0.09206160689376558,74.0,25.0,28.0,21.0
8,9,"I'd yell ""fire"", but I don't think he knows what that is yet.",1.9275362318840576,0.09969869479648157,69.0,26.0,22.0,21.0
9,10,I hear he once was Caption Editor for the New Yorker.,1.9264705882352944,0.10950478453510204,68.0,30.0,13.0,25.0
10,11,I like the idea. The stairs are killing me.,1.90625,0.08830061725682617,64.0,19.0,32.0,13.0
11,12,It's that less primitive than thou attitude that gets me.,1.9056603773584904,0.10174155104976422,53.0,17.0,24.0,12.0
12,13,She got the wheel and fire. All he got was the cave.,1.903225806451613,0.10465040241804377,62.0,24.0,20.0,18.0
13,14,Well... Cavebnb gave it great reviews..,1.9,0.10549854739675264,60.0,23.0,20.0,17.0
14,15,He drew on the walls so we're keeping the security deposit.,1.8983050847457628,0.10728822330738023,59.0,23.0,19.0,17.0
15,16,"He's in line for tickets to Hamilton. It opens in 500,000 years.",1.88135593220339,0.11615490212377065,59.0,27.0,12.0,20.0
16,17,"I suckled at the breast of an ancient she-ghoul. He drank chocolate milk out of a garden hose. And now look at him, sitting there with his arms folded. As if he invented caves. Nobody did. They happen naturally, when ground-salt erodes the bedrock.",1.88135593220339,0.11361121314130415,59.0,26.0,14.0,19.0
17,18,He went straight from hunting and gathering to border patrol.,1.88135593220339,0.11100925283729708,59.0,25.0,16.0,18.0
