,rank,caption,score,precision,count,unfunny,somewhat_funny,funny
0,1,"Hold on, the Senate Committee on Women's Health is getting out.",2.1919472405414786,0.01068482012181676,5762.0,1448.0,1760.0,2554.0
1,2,"On second thought, bring the name tags.",2.189596167008898,0.009570955316934431,5844.0,1115.0,2506.0,2223.0
2,3,"Sir, the President's Council on Women's Health has arrived.",2.175617109478048,0.011231769198455541,5307.0,1392.0,1591.0,2324.0
3,4,The sperm bank class action lawsuit clients are here.,2.162433155080214,0.010423796512783938,5984.0,1538.0,1936.0,2510.0
4,5,We may have a problem in the copy room.,2.1119555685472085,0.013359439643167468,3421.0,874.0,1290.0,1257.0
5,6,Remember when you wished we had a hundred just like him?,2.111165166626125,0.011667771516875486,4111.0,947.0,1760.0,1404.0
6,7,"It's Mr. Wilson, sir. I think he's gone viral.",2.077159037281737,0.012032549911100764,4238.0,1149.0,1613.0,1476.0
7,8,"That's correct, sir. The door to accounting was left open and now they're loose.",2.070809248554913,0.011396104691725684,4844.0,1364.0,1773.0,1707.0
8,9,"Okay, describe him again.",2.03484602917342,0.010884725901872876,4936.0,1360.0,2044.0,1532.0
9,10,Tell Jim to stop messing with the 3D printer.,2.0213708124759338,0.010711346788183584,5194.0,1493.0,2097.0,1604.0
10,11,"Sorry, but you never specified the gender of the 72 virgins.",2.0137684854665987,0.01936016841931335,1961.0,707.0,520.0,734.0
11,12,"Hey Jim, on second thought, we're going to need those name tags.",2.011394712853236,0.01112715398541791,4388.0,1167.0,2004.0,1217.0
12,13,The diversity training seminar looks like it's wrapping up.,2.004384133611691,0.011357311851327259,4790.0,1469.0,1831.0,1490.0
13,14,That's right. The Diversity Committee meeting is just breaking up.,1.9980842911877397,0.035616745136875815,522.0,173.0,177.0,172.0
14,15,We might have been too specific in our job description.,1.9891518737672584,0.01375659204259048,3042.0,892.0,1291.0,859.0
15,16,...and I'll be the one in high heels.,1.9594661393969357,0.017246421401740715,2023.0,651.0,803.0,569.0
16,17,Describe him.,1.956199607757681,0.011561294034517763,4589.0,1512.0,1766.0,1311.0
17,18,"Yes, of course we can spare one.",1.941851568477429,0.012111752508188016,3921.0,1248.0,1653.0,1020.0
18,19,Looks like the women's healthcare committee just got out.,1.9369369369369367,0.03472676019895147,555.0,204.0,182.0,169.0
19,20,The 3-D printer is stuck again.,1.936094674556213,0.02691263566155911,845.0,287.0,325.0,233.0
20,21,I'm just not convinced they are as committed to diversity as they say.,1.9311193111931118,0.011806272969017336,4065.0,1301.0,1743.0,1021.0
21,22,I'm just not sure I'm going to fit in at this company.,1.9297205757832343,0.012616345840997271,3543.0,1132.0,1528.0,883.0
22,23,"Yes, this is the office of Haber, Haber, Haber, Haber, Haber, Haber, Haber, Haber, Haber, Haber, Haber, Haber, Haber, Haber, Haber, Haber, Haber, Haber, Haber, Haber, Haber, and Haber.",1.9079324625676968,0.014085872862109,3139.0,1135.0,1158.0,846.0
23,24,We're starting to see the effects of Trump's immigration restrictions.,1.9040084388185652,0.015251670865502612,2844.0,1090.0,937.0,817.0
24,25,"Clowns?? I thought you said ""send in the clones.""",1.9023904382470118,0.02429598966108528,1004.0,351.0,400.0,253.0
25,26,"There was a typo on his resume. Apparently he's ""one AND a million"".",1.9015509103169248,0.014255914396536546,2966.0,1054.0,1150.0,762.0
26,27,The President's council on diversity just arrived!,1.8909774436090223,0.02458018958781533,1064.0,406.0,368.0,290.0
27,28,I definitely stand out from the other applicants so I think I have a shot.,1.8841359773371105,0.012535743136940737,3530.0,1207.0,1525.0,798.0
28,29,I'm not sure... middle-aged white men all look the same to me.,1.8743824982357091,0.02043206089202921,1417.0,519.0,557.0,341.0
29,30,Scones! I clearly said two dozen scones!,1.8670967741935485,0.02000251900548647,1550.0,597.0,562.0,391.0
30,31,we've just figured out how he managed not to miss a day of work!,1.8498376623376624,0.021957841241191347,1232.0,472.0,473.0,287.0
31,32,"You were right. You've seen one accountant, you've seen em all.",1.8456889605157127,0.01533397829380044,2482.0,945.0,975.0,562.0
32,33,"No! I asked for copies of THE bill, not Bill.",1.8423127463863336,0.014033824243401726,3044.0,1190.0,1144.0,710.0
33,34,"We'll need 129 turkey-on-white, mayo only, and one Caesar salad, extra garlic.",1.83206106870229,0.015107489549362698,2620.0,1040.0,980.0,600.0
34,35,This is Acme Cloning. Your Fred's are done.,1.829302987197724,0.030314489553808006,703.0,297.0,229.0,177.0
35,36,I'm not sure we're hitting our diversity goals.,1.8020006898930665,0.013593187278606356,2899.0,1120.0,1233.0,546.0
36,37,Remember how I told Leonard I'd like to see more of him?,1.7910562837316886,0.014696352910542013,2594.0,1054.0,1028.0,512.0
37,38,"Yes, he blends right in.",1.7860576923076923,0.014413465829813312,2496.0,971.0,1088.0,437.0
38,39,"Frankly Mr. Prescott, all the job applicants look pretty much the same.",1.773793103448276,0.019116440539832226,1450.0,585.0,608.0,257.0
39,40,"Trust me Sally, meeting somebody at work is not an option.",1.7608008429926238,0.017710988907391204,1898.0,846.0,660.0,392.0
40,41,There may be a problem with our random sample.,1.7586666666666666,0.01581697102177721,2250.0,970.0,853.0,427.0
41,42,Your request to find someone 'just like Marvin' turned out to be incredibly successful.,1.7505773672055427,0.024676002240914083,866.0,363.0,356.0,147.0
42,43,"Seriously... of all the people to clone, you chose Gus?",1.7466087900162781,0.01777562332472664,1843.0,829.0,652.0,362.0
43,44,It's a clear case of identity theft.,1.7284263959390862,0.0189967375189447,1576.0,720.0,564.0,292.0
44,45,"Is he bald, with mustache and glasses?",1.7229344729344729,0.01978687351124888,1404.0,634.0,525.0,245.0
45,46,"Hello, Overstock.com?",1.7071678321678316,0.022379571844822338,1144.0,544.0,391.0,209.0
46,47,He hasn't come out yet,1.7043618739903068,0.01814448179894775,1857.0,923.0,560.0,374.0
47,48,I just realized I'm the token hire.,1.7030303030303031,0.02038619988871083,1320.0,616.0,480.0,224.0
48,49,Good meeting. Everyone's on the same page,1.6976112920738329,0.01719434097401881,1842.0,864.0,671.0,307.0
49,50,"The bald guy, with the mustache and glasses? Yeah, I see him.",1.6957618567103936,0.017125619119741156,1982.0,969.0,647.0,366.0
50,51,How do I turn off the 3D printer?,1.6952326901248582,0.018301900140885268,1762.0,870.0,559.0,333.0
51,52,They normally don't migrate until tax season.,1.6850715746421268,0.024316905139879892,978.0,485.0,316.0,177.0
52,53,I've got a bunch of Bills here that need to be paid.,1.6845466155810984,0.02779613549199724,783.0,399.0,232.0,152.0
53,54,"Well, it looks like our want ad may have been too narrowly focused",1.6835654596100278,0.016514650491070215,1795.0,813.0,737.0,245.0
54,55,Trump's diversity coalition is here.,1.6752058554437328,0.02340276674821388,1093.0,562.0,324.0,207.0
55,56,Boss? It's about that new 3-D printer?,1.6713995943204867,0.0342640437847334,493.0,250.0,155.0,88.0
56,57,"Ah yes, Mr. Jones your copies have arrived.",1.6688125894134478,0.01959207555042912,1398.0,683.0,495.0,220.0
57,58,This could be a challenge for our facial recognition software.,1.664968152866242,0.01792830013693581,1570.0,747.0,602.0,221.0
58,59,I'm down here in Cloning. Bring a thousand pocket protectors.,1.6623296158612144,0.018478831948515996,1614.0,809.0,541.0,264.0
59,60,Remember when you said this company could use 100 more Bobs?,1.6603260869565215,0.021399211297234426,1104.0,530.0,419.0,155.0
60,61,"Could you please send someone down, the accountants have gotten loose again.",1.6563517915309447,0.021102478693919374,1228.0,619.0,412.0,197.0
61,62,So much for our face recognition cybersecurity system.,1.6562162162162162,0.024395745542159723,925.0,468.0,307.0,150.0
62,63,"Good morning, Doppel, Doppel, Doppel, Doppel and Ganger. This is Maureen, how may I help you?",1.6514215080346106,0.02599466253845813,809.0,411.0,269.0,129.0
63,64,"No, I am not kidding. And the worse part is, they all make 21% more than me.",1.647169811320755,0.03309162518802232,530.0,280.0,157.0,93.0
64,65,"Oh, you said clowns. I thought you said clones.",1.6464937560038424,0.02282247547169566,1041.0,531.0,347.0,163.0
65,66,I'd like to place an order for one hundred pocket protectors.,1.6441717791411044,0.033517578670496435,489.0,252.0,159.0,78.0
66,67,How do I turn off the 3D printer?,1.634090909090909,0.035255526448820136,440.0,230.0,141.0,69.0
67,68,I have to call you back. The Blue Ribbon Panel to Determine Women's Reproductive Rights just adjourned.,1.6319444444444444,0.036383929375558,432.0,232.0,127.0,73.0
68,69,"Okay, the good news is we figured out cloning. The bad news is we tested it on Ed.",1.6275797373358352,0.02387529730099139,1066.0,596.0,271.0,199.0
