,caption,count,funny,precision,rank,score,somewhat_funny,target_id,unfunny,contest
0,Cancel the molten lava cake.,196,43,0.057958409794289616,1,1.683673469387755,48,6060,105,654
1,You know what? Just bring me back the one with the fly in it.,193,40,0.05756116792140065,2,1.6683937823834196,49,2753,104,654
2,"On second thought, let's skip the chocolate lava cake for dessert.",190,40,0.058392583649007075,3,1.6631578947368422,46,5410,104,654
3,Cancel the chocolate lava cake.,172,37,0.06183035396852081,4,1.6627906976744187,40,6780,95,654
4,I’d like to cancel my lava cake.,195,46,0.05988391679675704,5,1.6615384615384616,37,6599,112,654
5,"Pardon me waiter, but there appears to be a fly, a house, and a cow in my soup.",183,41,0.06076894119720564,6,1.6612021857923498,39,1783,103,654
6,Cancel the Lava cake for desert.,203,42,0.05627525287696031,7,1.6551724137931034,49,3451,112,654
7,Is it too late to cancel the lava cake?,168,37,0.06317568618712043,8,1.6547619047619047,36,5744,95,654
8,"On second thought, cancel the lava cake.",190,39,0.058206547476771064,9,1.6421052631578947,44,307,107,654
9,"I see nothing wrong.  
But then, I'm a Republican.",188,35,0.05692867563930923,10,1.627659574468085,48,532,105,654
10,Do you recommend getting under the table or waiting it out?,197,31,0.05299647974066269,11,1.619289340101523,60,5977,106,654
11,I think I want to cancel my lava cake order now,173,38,0.0626574664412682,12,1.6184971098265897,31,5058,104,654
12,I certainly won't be ordering the chocolate lava cake.,224,47,0.05424451701383172,13,1.6160714285714286,44,3381,133,654
13,"No, I’m sure that I said fennel.",203,31,0.05180014528653135,14,1.6157635467980296,63,6801,109,654
14,Cancel the chocolate avalanche cake.,184,34,0.05757102817829654,15,1.6141304347826086,45,2038,105,654
15,What's the forecast for the entrée?,189,30,0.05436752048046852,16,1.6084656084656084,55,5778,104,654
16,I asked for locally sourced. This is clearly from Kansas.,186,32,0.056113976252626305,17,1.60752688172043,49,1402,105,654
17,"Well, it sure looks to me like a recipe for disaster",186,39,0.05968023378562094,18,1.6021505376344085,34,1103,113,654
18,"On second thought, I’ll pass on the chocolate lava cake.",205,34,0.052938519514601975,19,1.6,55,6057,116,654
19,"Let’s cancel the molten lava cake, shall we?",181,35,0.059038232727312095,20,1.5966850828729282,38,6718,108,654
20,Can you move me to a table with a little less atmosphere?,178,28,0.05602085056283936,21,1.595505617977528,50,4861,100,654
21,Any chance you could turn down the celling fan?,184,34,0.05778370562163071,22,1.5923913043478262,41,4322,109,654
22,I want to rethink that chocolate molten lava cake I ordered.,185,32,0.056529678357523004,23,1.5891891891891892,45,3403,108,654
23,"Well, yes, I did say surprise me",204,30,0.05140068523870911,24,1.588235294117647,60,5524,114,654
24,"I had this same soup in Sidney, but it went clockwise.",184,28,0.05466172122509093,25,1.5869565217391304,52,4619,104,654
25,Didn't the cook know this was a recipe for a disaster?,179,28,0.05585650538933021,26,1.5865921787709498,49,4900,102,654
26,This dish is a disaster.,191,32,0.055178796181126574,27,1.581151832460733,47,2989,112,654
27,I can't wait to see the Molten Lava Cake.,224,42,0.05266625307933258,28,1.5803571428571428,46,434,136,654
28,What's the forecast for dessert?,193,30,0.05377598122965562,29,1.5751295336787565,51,268,112,654
29,Is it too late to cancel my molten lava cake dessert?,177,28,0.056477911456484085,30,1.5706214689265536,45,456,104,654
30,Maybe leave the towel.,179,27,0.055424785214028445,31,1.5698324022346368,48,6830,104,654
31,I think I’d better cancel that lava cake,193,35,0.056296256769206396,32,1.5647668393782384,39,6808,119,654
32,Do you have any other seasonal specials?,179,29,0.0565831804057154,33,1.5642458100558658,43,626,107,654
33,Cancel the Baked Alaska.,169,29,0.05922792472597911,34,1.5621301775147929,37,3817,103,654
34,Could you turn off the ceiling fan?,194,28,0.052641798139405324,35,1.5618556701030928,53,6345,113,654
35,I'm declaring a plate of emergency.,208,31,0.05129946749966396,36,1.5576923076923077,54,3827,123,654
36,My friends warned me about the atmosphere in this place.,160,27,0.060622345626907055,37,1.55625,35,3147,98,654
37,"Before you go, describe the iceberg salad.",187,37,0.05877646430535334,38,1.5561497326203209,30,6794,120,654
38,"Reality check, please.",193,31,0.0544041450777202,39,1.5544041450777202,45,3455,117,654
39,That's ok. I'll give it a whirl.,181,25,0.05392836266794226,40,1.5524861878453038,50,6177,106,654
40,The chef  is really cooking up a storm tonight.,192,30,0.05413708247006987,41,1.5520833333333333,46,5811,116,654
41,And for dessert I'd like the lava cake.,169,29,0.05929474365111407,42,1.5502958579881656,35,1759,105,654
42,"I say tomato, you bring tornado; let's call the whole thing off.",182,32,0.05753706443212275,43,1.5494505494505495,36,6142,114,654
43,Our chef has been cooking up a storm.,197,30,0.053080754631892955,44,1.5482233502538072,48,3844,119,654
44,The chef suggests stirring in the opposite direction.,201,25,0.04982581476041506,45,1.5472636815920398,60,5728,116,654
