caption,count,funny,precision,rank,score,somewhat_funny,target_id,unfunny,contest
He went right from crawling to stand-up!,8921,3481,0.007701962198593564,1,2.2068153794417666,3799,648,1641,670
"Thanks, you've been a great audience, I'll be awake all night.",8504,2904,0.008347184206070592,2,2.081726246472248,3385,3238,2215,670
My next guests I have known my entire life.,7031,2186,0.00901432784195008,3,2.043948229270374,2957,956,1888,670
"Look, honey! He skipped crawling and went straight to stand-up!",6982,2035,0.008900737483546627,4,2.028215411057004,3107,3498,1840,670
"I'd like to start off by saying—thanks for having me, folks!",7536,2140,0.008774063944974694,5,1.9856687898089171,3143,2010,2253,670
"America, are you ready for a change?  I know I am",5609,1797,0.010898539860150182,6,1.9739704047067212,1869,3446,1943,670
Let's have a hand for the folks who made this all possible.,1969,540,0.017180559687982357,7,1.9664804469273742,823,1796,606,670
"Thank you, thank you.  Don't miss my next show, at 2 AM.",5231,1379,0.010445793527232669,8,1.9545020072643855,2235,4566,1617,670
... and also big thanks to those tuning in on the baby monitor.,6774,1686,0.009099215186502542,9,1.9298789489223502,2922,2748,2166,670
My next number will be a Number Two.,6284,1831,0.01020796708331298,10,1.9213876511775938,2127,2022,2326,670
"Thank you! I’ll be back at 1am, 3am, and 5am!",3889,883,0.01192013286649852,11,1.889431730521985,1693,1970,1313,670
He's the only candidate actually calling for a change,4440,1113,0.011721408380263837,12,1.8761261261261262,1664,1887,1663,670
I love his bedtime routine.,4389,1035,0.011590524602566743,13,1.863522442469811,1720,3781,1634,670
"'Thanks, you're a great audience and I'll be here all week and at least until my mid-thirties.""",1894,445,0.0177254824521482,14,1.8537486800422387,727,2267,722,670
Look!  He's speaking without crib notes!,4569,1026,0.011351898987065033,15,1.83234843510615,1751,980,1792,670
He went from crawling to stand-up overnight!,3301,701,0.013208647220361809,16,1.814601635867919,1287,1190,1313,670
He's got a million listeners and an eight-word vocabulary. FOX News is offering his own series.,3491,887,0.013811115732776744,17,1.8040676024061872,1033,1844,1571,670
Now we just need to neglect him so he'll have lots of material.,2658,585,0.015030653132084603,18,1.799849510910459,956,1679,1117,670
I'd like to thank my producers...,3203,665,0.013478935956830236,19,1.7889478613799563,1197,4242,1341,670
"And another thing. Why do people say, “Last night I slept like a baby”? I guess that’s fine if they woke up screaming and peed the bed. Heh heh...You guys are great. I’m here all week!",3785,750,0.012436022338447853,20,1.7471598414795244,1328,1064,1707,670
How about a nice round of applause for the couple that lives down the hall.,4326,759,0.011166915591942559,21,1.7424872861766065,1690,4032,1877,670
"Listen, dear, he's learned all the words he needs to be President.",4011,849,0.012426065575387493,22,1.7294938917975566,1226,2643,1936,670
Maybe we should have played Mozart instead of Sinatra.,2558,465,0.014829648595655496,23,1.7263487099296326,928,754,1165,670
The time for a change is now!,2712,500,0.014505692068129013,24,1.71976401179941,952,3307,1260,670
He’s really been working on his bedtime routine.,3568,559,0.012076416741223525,25,1.7015134529147982,1382,2665,1627,670
"Did you hear the one about the dirty diaper? Never mind, it stinks.",2797,474,0.014039166003196145,26,1.6860922416875224,968,3305,1355,670
"And now, for the two people who made it all possible...",2204,310,0.015015520227859555,27,1.6860254083484574,892,5005,1002,670
And none of this would have been possible without two very special people.,909,129,0.02350077068197504,28,1.6798679867986799,360,3474,420,670
Well he can't be any less qualified than our current President.,2808,527,0.01453642376491292,29,1.6794871794871795,854,183,1427,670
I see we have our two regulars here for the late show.,2543,388,0.014174864120185897,30,1.6704679512386944,916,3410,1239,670
So a thumb-sucker and a bed-wetter walk into a bar...,2028,325,0.016320975472803388,31,1.6661735700197238,699,3828,1004,670
"Look Honey, he's already more articulate than Trump.",2617,483,0.015066058524141862,32,1.6591517004203287,759,1422,1375,670
"Incomplete sentences.  Limited vocabulary.  Slurred words.  Ill-fitting clothes. The military as props in the background.  An inauguration-sized crowd.  Honey, I think someday our Joey could be the president!",2267,433,0.01628295387329962,33,1.6568151742390824,618,3255,1216,670
Take my brother. Please.,1145,191,0.0221687783247349,34,1.6462882096069869,358,1318,596,670
I told you Jerry Seinfeld was a great choice for a sperm donor!,1972,345,0.017133041764191857,35,1.6460446247464504,584,482,1043,670
The fake microphone’s a stroke of genius. He’s stopped tweeting!,1312,236,0.021249395685143127,36,1.6333841463414633,359,3710,717,670
When I was born I was so ugly the doctor slapped my mother.,1558,289,0.01971999825416967,37,1.6245186136071887,395,289,874,670
