target_id,score,precision,count,rank,caption,funny,unfunny,somewhat_funny,contest
1514,2.1858961128310974,0.00648042577680323,14535,1,It prints out his tweets. All the new uniforms have them.,6038,3336,5161,686
1452,2.0479655712050078,0.00706405720396011,12780,2,You can't imagine what it's like to have someone stare at your chest and never look you in the eye.,4396,3783,4601,686
690,2.022482814395471,0.007022664290572614,12365,3,"And this, I’m proudest of: a list of all the names the President has called me.",3912,3634,4819,686
2493,1.9718405924193705,0.007624722873827857,10263,4,After the budget cuts we only get a list of the medals,2921,3210,4132,686
1211,1.9474921630094044,0.01157550935634081,5104,5,I was stationed at CVS during the War on Drugs.,1618,1886,1600,686
4010,1.9349763033175356,0.0078598980220992,10550,6,"That, madam, is the price of freedom.",3117,3803,3630,686
2119,1.9216765453005926,0.009346318264775626,7086,7,"I got the blue one in Kosovo, and the long white one at Costco",1937,2492,2657,686
786,1.9099933080526432,0.008391656317018093,8966,8,It’s the Paper Heart for bureaucratic valor.,2463,3270,3233,686
298,1.870928961748634,0.008257834875533795,9150,9,Oh this? It’s a list of all the bosses I’ve had since Trump became President.,2340,3521,3289,686
2960,1.8706598132801846,0.008297075047903975,9533,10,"Wait, if my grocery list is here, I must have left the nuclear codes in my cart.",2591,3824,3118,686
1430,1.8534512070724243,0.01016126700988512,5882,11,"Hopefully soon, China will start making our medals again.",1418,2280,2184,686
1163,1.8376444689047882,0.013342223038443006,3634,12,"Yes, it's a receipt.  I'm General Store.",928,1518,1188,686
3679,1.8208955223880596,0.008325036421779609,8777,13,I was in the merchant marines.,2024,3596,3157,686
2561,1.817317723426452,0.008232977057140484,8627,14,"Everybody has a price, but not everybody offers a detailed invoice.",1878,3454,3295,686
1844,1.7942484435220871,0.012949324798758901,3373,15,This is a list of things I can’t comment on.,678,1372,1323,686
823,1.7669195751138087,0.009530492789248175,6590,16,Live tweets. He likes your dress.,1383,2919,2288,686
34,1.7642149191444967,0.01190511413374507,3834,17,We think it's always important to have a paper trail.,696,1600,1538,686
538,1.7572937625754528,0.01301413396590549,3976,18,I print out the Commander-In-Chief's tweets on toilet paper so I can properly deploy them.,973,1938,1065,686
3496,1.7477864912724512,0.012190359216439217,3953,19,That's the list of subpoenas I've been ordered to ignore.,788,1785,1380,686
3210,1.7368958972112718,0.008876951527113822,6849,20,"Yes, I do know how much this war is going to cost us.",1184,2986,2679,686
2990,1.7294429708222812,0.012645134755589243,3770,21,My resignation speech in case I'm overcome with moral courage.,764,1784,1222,686
3634,1.7267746545974274,0.011824841386739891,4198,22,The medals are for kicking ass. The paper is for taking names.,815,1962,1421,686
1908,1.7043830855377486,0.010189729451339799,5179,23,"They're for valor, loyalty, courage, and my wife's to dos.",853,2384,1942,686
3898,1.6986246761012558,0.007877811401618567,10034,24,That one is for fighting high prices.,2087,5124,2823,686
509,1.6967663209273947,0.010951130938981687,4917,25,"Came with the Uniform. It says ""Do Not Remove Under Penalty of Law.""",930,2421,1566,686
185,1.695837275307474,0.01128216528316626,4228,26,"And at the end of my service, I received an honorable surcharge",690,1976,1562,686
1518,1.6926229508196722,0.010825057694393644,4636,27,"No, not Kosovo. Costco.",770,2198,1668,686
1988,1.692583227981458,0.010999165872226102,4746,28,It was quid pro quo. I have the receipts.,857,2316,1573,686
1551,1.6902204635387224,0.012961929666346225,3538,29,"Dear,when I said wear the President's insults as a badge of honor,I didn't mean literally.",673,1769,1096,686
3807,1.684679505605059,0.013591138450398013,3479,30,And I got red tape coming out of my ass,742,1839,898,686
3440,1.6833013435700577,0.011336196924903468,4168,31,My allowed responses to questions from the President.,665,1985,1518,686
2364,1.6737695643975108,0.009982148896360805,5303,32,"To make things easier, it's a list of topics the White House prohibits me from discussing.",824,2558,1921,686
2135,1.667977126518942,0.014801478003578407,2798,33,"The medals are for service to my country. 
The receipt is for selling out my country to Donald Trump.",547,1476,775,686
670,1.664119066773934,0.015407533192055331,2486,34,Pardon me sir but your slip is showing.,456,1291,739,686
3912,1.6583493282149713,0.012271247449230475,3647,35,Please read and initial the consent form and I'll buy you a drink.,591,1837,1219,686
1292,1.6538695917123705,0.012787395575378184,3282,36,The top one means I qualify as a 4-star general.  The bottom one means I qualify for a free caramel macchiato at Starbucks.,509,1645,1128,686
3084,1.6395592864637984,0.011956295924132417,3812,37,It's proof I'm a survivor - a list of all the Trump officials who resigned before me.,599,1973,1240,686
3065,1.637155297532656,0.014394128994087332,2756,38,I need that to keep track of the President’s positions on foreign policy,468,1468,820,686
