Unfunny,Somewhat funny,Funny,Caption
15,5,0,Ain't it ironic...we brought glue in case of a broken leg.
20,0,1,On your left!
15,8,0,Giddy Up? You try Giddying Up.
16,9,1,Since this is my recurring nightmare, and we know you never catch me; perhaps, just once, you could back off a bit.
21,18,4,I thought those termites we planted on their mounts would be more efficient.
21,15,3,I knew robbing that piggy bank was a mistake!
19,2,0,I'm outa here they're off their rocker
11,0,0,You rock my world!
15,3,1,Better break out those ab cruncher skills--I think they're gaining on us.
26,25,7,This explains why they call you The Kid.
13,4,0,Hey, if you can't keep up, get another hobby!
20,11,3,Stay back! My squirt gun is loaded!
13,1,0,I dunno 'bout you Blackie, but they've got me over a barrel!
14,2,1,Doggone it - just my luck - I'm being chased by a rock star.
18,2,1,Ceesco, thee shereef, he ees getting closer!
15,4,3,Eat my sawdust, Sheriff! You got no proof we robbed the piggy bank or the choo-choo.
16,3,0,Those termites you planted in their manes are starting on the legs! Keep rockin', Zeke!
14,9,0,Geeze, Hobby Lobby is on our tails!
12,0,0,At least Woody from Toy Story sells everybody horses.
13,1,0,You can’t touch us if we make it over the Mexican border.
26,20,8,Don't worry. We'll lose them at nap time.
17,4,2,Those guys are good!
14,2,1,I don't thing those badges are real.
22,4,3,No fair! You have to say, "time in"!
23,14,5,Use your spurs !!
13,3,0,So, they ate some beans... They're good for the heart. Get over it!
16,7,1,I guess the fun and games are pretty much over.
14,1,1,I'm rethinking the carpool.
11,2,0,The mustachioed Magnum P.I. look is so passe. Eat my dust Sheriff.
15,2,0,This would be mighty ridiculous if we weren't using real guns!
11,0,0,Good thing we snagged these rockin' horses!
12,0,0,Give it up, you don't have a chance, Malabar!
13,0,1,Darn, their both riding Paliminos!
11,0,0,Looks like our ex-wife is on our again.
14,2,0,Next stop is Rocking Horse Ranch.
19,3,2,How can there be such a horse shortage in ranch country?
14,2,1,We're in trouble Black Bart; they're ridin' Amish ponies.
30,17,11,That's the last time we rob a toy train.
15,3,1,I reckon this should keep PETA off our backs
12,1,0,No, I'm serious, Sundance. It's Joe Lefors and Lord Baltimore, and they're gaining on us!
16,5,1,You'll never catch us. Really.
15,3,0,Winning by a wooden nose, I say!
14,5,0,And this is what we get for making train robbery a hobby.
14,2,1,Don't worry! Obviously, they'll never catch us!
11,0,0,Howdy Sheriff
12,1,0,Time for milk and cookies then a nap
13,4,0,If you can just get off your high hobby horse and listen for once...
12,2,0,Nyah –you’re hobby hobbled by our Right to Fair Play– as We the People see it.
12,1,0,We need to ride faster. They're going to catch us if we just keep rockin' along.
17,3,2,They're gainin' on us Cleetus, keep rockin'.
11,0,0,Dont warry, they'll never catch us with us!
49,41,28,I'm Billy the Kid. What's your excuse?
18,9,2,Hey! Where's your bodycam?
31,22,10,I go back and forth on whether this was a good idea.
15,4,1,Have you heard of the statute of limitations? It ran out a month ago!
17,8,1,We're gonna need some wheels to lose 'em! Big Wheels!
16,1,2,Ditch the evidence!
15,3,1,You'll never catch us on those nags, lawman!
20,13,3,Where'd you learn to ride--in preschool?
15,3,1,Come on, Rocky!
16,1,0,Hope there are some Steaks left...
23,17,5,By now his pistol should be out of water.
