Unfunny,Somewhat funny,Funny,Caption
24,4,0,He's lost perspective.
25,4,0,there's till five more minutes 'til Kiddy time
25,2,1,Henry's always on the prowl for water.
22,7,0,Crawling hours are between 8 and 10.
19,6,1,It's the newest rage - 'ship wrecked on a desert island' yoga.
26,1,0,My wife is allergic to dogs so we got him.
22,4,0,He lost a contact!
24,3,0,Looks like daddy came down with cat scratch fever again.
25,3,0,Houston, we got a problem here.
22,5,0,We need to start thinking outside the box.
22,2,3,No, we're the mirage.
17,9,1,#firstworldprobz
18,7,2,Hey, Mister. You're in the wrong cartoon. This is our sandbox.
25,1,1,The executive training program really teaches them to conserve resources.
27,1,0,We should've known better than to go into parks and rec in this modern age.
22,6,1,It's our unique treadmill so he can train for his next 100 mile desert race.
17,8,2,Don't say anything. He's our ride home.
23,2,0,The search for the Holy Grail led Sir Galahad to many a new places.
22,5,2,The cat won't be happy about this.
25,2,0,I'll just add a bucket of salt water and a herring and you can enjoy a beach vacation.
24,2,0,this was his last artistic endeavor
25,1,1,Mom was upset, but I don't think she meant for him to take it literally.
25,1,1,Let me introduce you to our new recruiting process for urban planning managers.
24,4,1,Hey Mister, do you wanna Red Bull?
23,4,1,I get the feeling it may be too hot to play in the sandbox today.
20,6,1,Performance art at it's best, if you ask me.
23,3,1,At least it's more spacious than that shoebox he was living in downtown.
26,2,0,Bobby enjoys being hands on at everything he does, even dipping the cat litter box.
20,5,1,Who's he calling a mirage?
26,1,1,He's been practicing for summertime in the Hamptons since February.
26,2,0,We call him Martyr Man.
20,6,0,My Dad would never survive in the real world.
22,6,0,Last time he stayed in there for forty days.
21,6,0,He's inspired me to rethink the medium.
22,3,3,Maybe this is a game we don't want to start playing.
27,2,0,He says he's training for the Sahara Marathon.
25,4,0,Adults seem to forget how hard it is to toil away in the sandbox all day, but someone's got to do it.
24,4,0,He claims it's a form of cognitive therapy called sand-boxing. We'll give him five more minutes then call his wife.
29,0,0,I'm not sure Homer has learned to play well in the sandbox yet...
23,3,0,First time in 25 years he's forgotten his pail and shovel.
24,2,1,Hey Meghan, I think he is looking for his 'Panama papers'!
26,0,1,It must be a case of arrested development.
26,1,1,So much for the government's $10 million dessert survival test!
25,1,0,I want some dirt of my own in the city.
21,5,1,I cleaned the litter box yesterday!!
26,1,0,It is a reverse Tom Sawyer whitewashing fence trick. He makes it look that difficult so he can stay in the sandbox.
25,3,0,Let's see what happens with the volleyball now
28,1,0,Sure , but mom says don't talk to strangers.
19,7,2,And right at five o,clock he gets up and goes home. Then we get to play.
20,2,3,I heard, a neighborhood cat ate his wedding ring.
13,11,4,He said he was looking for his childhood...
23,3,1,Maybe we're both a mirage.
21,5,1,He said he needs to find his authentic self.
27,1,1,He wiped out my juice box supply.
21,6,1,Do you ever think that maybe WE are the mirage?
27,2,0,He does look a bit like Sideshow Bob.
23,1,0,Dad, mom just texted me, "Did your father remember to crawl by Whole Foods for more coconut water?"
26,2,0,My Dad says it's proof this is authentic sand from the Sahara Desert.
18,8,2,Should we give him back his glasses?
26,1,1,Mom said if he's going to be a drama queen when he comes home from the office, he should play outside.
24,3,1,Remind me to learn how to navigate the city without a smartphone
27,1,1,Not really, it' actually a treadmill.
21,7,1,I think this is what adults call eminent domain.
24,4,0,Past life regression's convinced him he's a French legionnaire.
20,4,1,He does the whole Zen thing way better than us.
21,4,2,Hey mister, you’re in the wrong cartoon.
22,4,2,He never passed the preschool entrance exams.
24,5,0,OK so they ran out of "Survivor" locations. The producers still aren't going to like it.
27,2,0,This exhibit is called "Wall Street's American Dream".
23,4,2,I think he's lost.
26,2,2,If you build it, they will come.
26,0,0,Worst case? 50 to Life.
28,1,0,Dad is convinced this is where he lost his new iPhone a week ago. Dad's convinced he lost his new iPhone here a week ago.
26,3,0,He keeps gasping for water.
16,10,1,Be patient--he's nearly there.
26,3,0,That's Morris Garfield he thinks he's a cat... How did you wind up getting stuck with litter box duty ?
15,9,2,Well, they didn't specify who would come if we built it.
23,4,2,And I thought we were getting too old to play in the sandbox.
21,6,1,We can play when my Dad finishes his climate apocalypse training.
26,2,1,He keeps muttering 'Method acting' and a bunch of cuss words.
22,6,1,It's evident that he can't think outside the box.
19,5,5,On the bright side, burying him will be rather easy.
23,5,1,He needs a new therapist.
19,7,1,In fact, it's a skylight. Just a few more seconds now.
23,5,0,I wish I had his imagination.
27,2,0,Seriously? You have a life insurance policy?
20,7,2,This exhibit made no sense the other day when it was raining.
25,4,1,Mom says it's because he can't see the sandbox for the sand.
21,3,1,Perhaps we're all a mirage.
21,6,2,He'll never find water thinking inside the box.
20,5,1,It's supposed to help you get used to living without a cell phone.
23,5,1,A selfie would sober him up.
24,2,0,Hey Mister, that's not the zen box.
13,9,3,Is this what a midlife crisis looks like?
27,1,0,I thought we were the ones with the vivid imagination?
24,4,0,Maybe the cat will show Dad how to use the litter box.
26,2,1,He's been like this ever since he saw Lawrence of Arabia in 70mm
27,1,0,I am in a sandbox
20,3,2,So that's his litter box.
23,6,0,We'll have to bury him fast to avoid the scavengers.
26,2,1,Don't worry, Dad's just feelin' the Bern.
22,5,1,The sad thing is, he thought he'd asked for dessert.
17,6,4,It may be your installation art, but it's our sandbox.
27,0,0,He doesn't play well in any sandbox
24,4,0,As long as we can keep the cats out of it, our "desert simulator" will continue to yield substantial new data on human behavior in extreme environments.
21,3,1,He says it's either this, or read all those stupid cartoon caption entries again this week.
23,5,0,He's searching for lost youth. Or maybe a contact lens.
29,0,0,Just dump the water in, he's playing shipwreck.
25,1,0,I'm reserving this sandbox for my daughter's play date.
27,2,0,They made him leave his camel in the lobby.
25,2,1,His vision is for water reclamation technology but I think his horizons are limited.
20,8,0,This is a tough act to follow.
26,0,1,He never got over his five minutes of fame at Grauman's Chinese Theater.
26,3,0,We think that he believes that he is a camel.
22,4,1,He says the treadmill is for snobs.
29,1,0,Wait until see his impression of the Great Pyramid of Giza
21,6,1,Your dad doesn't seem to quite grasp the concept of virtual reality.
21,5,1,If he doesn't make it, we can bury him.
25,1,0,...??While Mona Lisas and Mad Hatters...
24,2,2,Stephen was vexed by the lack of water in his latest mirage.
26,3,0,I prefer a timeout rather than cleaning out the box.
25,1,1,Wilson needs you in his office.
25,4,0,Does he know it is for cats?
15,11,2,I'm not comfortable playing through.
19,6,2,If he survives he gets tickets to Hamilton!
21,5,0,He does 30 ,minutes of this then 30 of cardio.
27,2,0,It's a Human Resource motivational exercise.
24,2,2,Now, is this your dad's masochism, your mom's sadism, or both?
24,2,1,You still think the class should adopt a hermit crab?
26,1,0,It looks like the teachers are striking again.
